;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.87;0.707;0.818;0.103;0.352;0.198;0.637;0.223;0.497;0.795;0.223
ENST00000285737_90_90;0.87;1.0;0.704;0.948;0.203;0.352;0.197;0.699;0.245;0.545;0.887;0.245
ENST00000416006_90_90;0.707;0.704;1.0;0.742;0.019;0.394;0.278;0.706;0.28;0.582;0.913;0.28
ENST00000535754_90_90;0.818;0.948;0.742;1.0;0.214;0.3;0.208;0.651;0.257;0.536;0.827;0.257
ENST00000565867_90_90;0.103;0.203;0.019;0.214;1.0;0.0;0.0;0.017;0.032;0.02;0.024;0.032
ENST00000566755_90_90;0.352;0.352;0.394;0.3;0.0;1.0;0.009;0.352;0.0;0.219;0.455;0.0
ENST00000570174_90_90;0.198;0.197;0.278;0.208;0.0;0.009;1.0;0.197;0.079;0.197;0.255;0.079
ENSMUST00000034141_90_90;0.637;0.699;0.706;0.651;0.017;0.352;0.197;1.0;0.507;0.833;0.747;0.507
ENSMUST00000121673_90_90;0.223;0.245;0.28;0.257;0.032;0.0;0.079;0.507;1.0;0.608;0.261;1.0
ENSMUST00000122188_90_90;0.497;0.545;0.582;0.536;0.02;0.219;0.197;0.833;0.608;1.0;0.583;0.608
ENSMUST00000155433_90_90;0.795;0.887;0.913;0.827;0.024;0.455;0.255;0.747;0.261;0.583;1.0;0.261
ENSMUST00000163987_90_90;0.223;0.245;0.28;0.257;0.032;0.0;0.079;0.507;1.0;0.608;0.261;1.0
