;ENSCAFT00000027907_90_90;ENST00000344626_90_90;ENST00000413806_90_90;ENST00000429416_90_90;ENST00000444061_90_90;ENST00000450717_90_90;ENST00000541122_90_90;ENST00000586985_90_90;ENST00000589677_90_90;ENST00000590574_90_90;ENST00000592158_90_90;ENSMUST00000034707_90_90;ENSMUST00000098948_90_90;ENSMUST00000172996_90_90;ENSMUST00000174008_90_90
ENSCAFT00000027907_90_90;1.0;0.968;0.968;0.968;0.905;0.968;0.968;0.065;0.937;0.937;0.167;0.937;0.968;0.694;0.905
ENST00000344626_90_90;0.968;1.0;0.857;1.0;0.91;0.943;0.894;0.059;0.87;0.938;0.136;0.911;0.87;0.645;0.884
ENST00000413806_90_90;0.968;0.857;1.0;0.857;0.88;0.816;0.956;0.057;0.93;0.905;0.191;0.92;0.974;0.635;0.893
ENST00000429416_90_90;0.968;1.0;0.857;1.0;0.91;0.943;0.894;0.059;0.87;0.938;0.136;0.911;0.87;0.645;0.884
ENST00000444061_90_90;0.905;0.91;0.88;0.91;1.0;0.861;0.92;0.064;0.944;0.97;0.152;0.941;0.893;0.598;0.969
ENST00000450717_90_90;0.968;0.943;0.816;0.943;0.861;1.0;0.849;0.056;0.827;0.885;0.127;0.938;0.894;0.668;0.91
ENST00000541122_90_90;0.968;0.894;0.956;0.894;0.92;0.849;1.0;0.059;0.973;0.947;0.2;0.92;0.974;0.635;0.893
ENST00000586985_90_90;0.065;0.059;0.057;0.059;0.064;0.056;0.059;1.0;0.06;0.062;0.0;0.064;0.06;0.0;0.065
ENST00000589677_90_90;0.937;0.87;0.93;0.87;0.944;0.827;0.973;0.06;1.0;0.92;0.209;0.893;0.947;0.649;0.915
ENST00000590574_90_90;0.937;0.938;0.905;0.938;0.97;0.885;0.947;0.062;0.92;1.0;0.146;0.97;0.92;0.588;0.941
ENST00000592158_90_90;0.167;0.136;0.191;0.136;0.152;0.127;0.2;0.0;0.209;0.146;1.0;0.12;0.174;0.232;0.124
ENSMUST00000034707_90_90;0.937;0.911;0.92;0.911;0.941;0.938;0.92;0.064;0.893;0.97;0.12;1.0;0.947;0.611;0.97
ENSMUST00000098948_90_90;0.968;0.87;0.974;0.87;0.893;0.894;0.974;0.06;0.947;0.92;0.174;0.947;1.0;0.659;0.92
ENSMUST00000172996_90_90;0.694;0.645;0.635;0.645;0.598;0.668;0.635;0.0;0.649;0.588;0.232;0.611;0.659;1.0;0.623
ENSMUST00000174008_90_90;0.905;0.884;0.893;0.884;0.969;0.91;0.893;0.065;0.915;0.941;0.124;0.97;0.92;0.623;1.0
