;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.45;0.267;0.24;0.273;0.222;0.231;0.24;0.25;0.231;0.231;0.25;0.261;0.261;0.25;0.25;0.24;0.32;0.348;0.231;0.28;0.348;0.364;0.318;0.292;0.304;0.333;0.304;0.292;0.28;0.269;0.333;0.348;0.364;0.4;0.381;0.417;0.0
ENSCAFT00000003727_90_90;0.45;1.0;0.182;0.52;0.591;0.538;0.56;0.583;0.609;0.56;0.5;0.609;0.636;0.565;0.542;0.542;0.52;0.6;0.652;0.444;0.56;0.583;0.609;0.565;0.583;0.609;0.625;0.542;0.52;0.5;0.538;0.625;0.652;0.682;0.667;0.714;0.263;0.211
ENST00000502815_90_90;0.267;0.182;1.0;0.217;0.25;0.364;0.381;0.217;0.421;0.208;0.381;0.227;0.238;0.238;0.227;0.421;0.4;0.154;0.167;0.208;0.16;0.167;0.174;0.182;0.167;0.174;0.16;0.174;0.167;0.16;0.154;0.16;0.167;0.174;0.19;0.182;0.273;0.0
ENST00000504896_90_90;0.24;0.52;0.217;1.0;0.85;0.75;0.708;0.905;0.625;0.952;0.783;0.857;0.81;0.9;0.95;0.696;0.739;0.556;0.6;0.708;0.64;0.6;0.56;0.652;0.667;0.625;0.577;0.696;0.667;0.708;0.68;0.577;0.538;0.56;0.542;0.52;0.13;0.19
ENST00000506700_90_90;0.273;0.591;0.25;0.85;1.0;0.625;0.652;0.85;0.714;0.81;0.652;0.895;0.944;0.944;0.895;0.714;0.682;0.56;0.609;0.652;0.652;0.542;0.565;0.75;0.682;0.714;0.52;0.714;0.682;0.652;0.625;0.52;0.542;0.636;0.619;0.591;0.15;0.222
ENST00000506720_90_90;0.222;0.538;0.364;0.75;0.625;1.0;0.955;0.75;0.864;0.792;0.955;0.708;0.667;0.667;0.708;0.864;0.909;0.517;0.556;0.593;0.536;0.556;0.519;0.481;0.556;0.519;0.593;0.519;0.5;0.536;0.571;0.593;0.556;0.519;0.5;0.538;0.12;0.174
ENST00000506746_90_90;0.231;0.56;0.381;0.708;0.652;0.955;1.0;0.783;0.905;0.75;0.909;0.667;0.696;0.625;0.739;0.818;0.952;0.483;0.519;0.615;0.556;0.519;0.538;0.5;0.519;0.538;0.556;0.481;0.519;0.5;0.536;0.556;0.577;0.538;0.52;0.56;0.125;0.182
ENST00000507164_90_90;0.24;0.583;0.217;0.905;0.85;0.75;0.783;1.0;0.696;0.952;0.708;0.857;0.9;0.81;0.95;0.625;0.739;0.556;0.6;0.708;0.708;0.538;0.56;0.652;0.667;0.696;0.577;0.625;0.667;0.64;0.68;0.577;0.6;0.625;0.542;0.583;0.13;0.19
ENST00000507625_90_90;0.25;0.609;0.421;0.625;0.714;0.864;0.905;0.696;1.0;0.667;0.818;0.727;0.762;0.682;0.652;0.9;0.857;0.519;0.56;0.538;0.538;0.5;0.52;0.542;0.56;0.583;0.538;0.52;0.5;0.481;0.519;0.538;0.56;0.583;0.565;0.609;0.136;0.2
ENST00000508693_90_90;0.231;0.56;0.208;0.952;0.81;0.792;0.75;0.952;0.667;1.0;0.75;0.905;0.857;0.857;0.905;0.667;0.708;0.593;0.64;0.68;0.68;0.577;0.538;0.625;0.708;0.667;0.615;0.667;0.64;0.68;0.72;0.615;0.577;0.6;0.52;0.56;0.125;0.182
