;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.849;0.73;0.359;0.857;0.397;0.936;0.94;0.301;0.181
ENST00000248450_90_90;0.849;1.0;0.748;0.368;0.936;0.409;0.903;0.857;0.308;0.155
ENST00000420660_90_90;0.73;0.748;1.0;0.354;0.802;0.389;0.692;0.74;0.298;0.257
ENST00000422731_90_90;0.359;0.368;0.354;1.0;0.351;0.0;0.359;0.343;0.168;0.0
ENST00000444053_90_90;0.857;0.936;0.802;0.351;1.0;0.387;0.857;0.914;0.295;0.147
ENST00000447885_90_90;0.397;0.409;0.389;0.0;0.387;1.0;0.397;0.377;0.369;0.222
ENSMUST00000006462_90_90;0.936;0.903;0.692;0.359;0.857;0.397;1.0;0.94;0.301;0.181
ENSMUST00000178235_90_90;0.94;0.857;0.74;0.343;0.914;0.377;0.94;1.0;0.288;0.17
ENSMUST00000187046_90_90;0.301;0.308;0.298;0.168;0.295;0.369;0.301;0.288;1.0;0.12
ENSMUST00000190008_90_90;0.181;0.155;0.257;0.0;0.147;0.222;0.181;0.17;0.12;1.0
