;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.914;0.452;0.311;0.474;0.419;0.25;0.182;0.25;0.111;0.436;0.203;0.211;0.32;0.216;0.021;0.0;0.19
ENSCAFT00000045237_90_90;0.914;1.0;0.381;0.244;0.432;0.349;0.268;0.114;0.175;0.057;0.395;0.214;0.222;0.34;0.229;0.023;0.0;0.2
ENST00000323906_90_90;0.452;0.381;1.0;0.429;0.808;0.926;0.353;0.483;0.577;0.192;0.741;0.127;0.132;0.239;0.104;0.026;0.1;0.111
ENST00000391859_90_90;0.311;0.244;0.429;1.0;0.286;0.429;0.048;0.519;0.56;0.208;0.286;0.053;0.055;0.058;0.041;0.0;0.107;0.055
ENST00000426897_90_90;0.474;0.432;0.808;0.286;1.0;0.741;0.414;0.31;0.44;0.238;0.909;0.075;0.078;0.182;0.067;0.03;0.0;0.058
ENST00000535669_90_90;0.419;0.349;0.926;0.429;0.741;1.0;0.353;0.483;0.577;0.192;0.808;0.107;0.111;0.239;0.104;0.026;0.1;0.111
ENST00000594743_90_90;0.25;0.268;0.353;0.048;0.414;0.353;1.0;0.028;0.094;0.0;0.414;0.191;0.2;0.186;0.146;0.269;0.0;0.2
ENST00000595660_90_90;0.182;0.114;0.483;0.519;0.31;0.483;0.028;1.0;0.684;0.294;0.31;0.06;0.062;0.067;0.048;0.0;0.263;0.062
ENST00000595725_90_90;0.25;0.175;0.577;0.56;0.44;0.577;0.094;0.684;1.0;0.333;0.44;0.062;0.065;0.07;0.05;0.0;0.1;0.065
ENST00000597602_90_90;0.111;0.057;0.192;0.208;0.238;0.192;0.0;0.294;0.333;1.0;0.238;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000598095_90_90;0.436;0.395;0.741;0.286;0.909;0.808;0.414;0.31;0.44;0.238;1.0;0.056;0.058;0.182;0.067;0.03;0.0;0.058
ENSMUST00000033063_90_90;0.203;0.214;0.127;0.053;0.075;0.107;0.191;0.06;0.062;0.0;0.056;1.0;0.944;0.489;0.75;0.324;0.075;0.892
ENSMUST00000098461_90_90;0.211;0.222;0.132;0.055;0.078;0.111;0.2;0.062;0.065;0.0;0.058;0.944;1.0;0.512;0.743;0.343;0.079;0.943
ENSMUST00000209779_90_90;0.32;0.34;0.239;0.058;0.182;0.239;0.186;0.067;0.07;0.0;0.182;0.489;0.512;1.0;0.568;0.023;0.086;0.512
ENSMUST00000210078_90_90;0.216;0.229;0.104;0.041;0.067;0.104;0.146;0.048;0.05;0.0;0.067;0.75;0.743;0.568;1.0;0.176;0.062;0.743
ENSMUST00000210226_90_90;0.021;0.023;0.026;0.0;0.03;0.026;0.269;0.0;0.0;0.0;0.03;0.324;0.343;0.023;0.176;1.0;0.0;0.382
ENSMUST00000210372_90_90;0.0;0.0;0.1;0.107;0.0;0.1;0.0;0.263;0.1;0.0;0.0;0.075;0.079;0.086;0.062;0.0;1.0;0.079
ENSMUST00000211373_90_90;0.19;0.2;0.111;0.055;0.058;0.111;0.2;0.062;0.065;0.0;0.058;0.892;0.943;0.512;0.743;0.382;0.079;1.0
