;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript30_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript29_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.962;0.962;0.989;0.624;0.598;0.598;0.598;0.587;0.642;0.642;0.807;0.807;0.791;0.807
transcript10_ENSMLUG00000027828;0.962;1.0;0.925;0.951;0.593;0.567;0.567;0.567;0.556;0.626;0.626;0.776;0.776;0.761;0.776
transcript16_ENSMLUG00000027828;0.962;0.925;1.0;0.951;0.618;0.591;0.591;0.591;0.58;0.611;0.611;0.776;0.776;0.761;0.776
transcript28_ENSMLUG00000027828;0.989;0.951;0.951;1.0;0.623;0.596;0.596;0.596;0.592;0.634;0.634;0.798;0.798;0.798;0.798
transcript1_ENSSTOG00000019743;0.624;0.593;0.618;0.623;1.0;0.946;0.946;0.946;0.932;0.636;0.636;0.8;0.8;0.793;0.8
transcript9_ENSSTOG00000019743;0.598;0.567;0.591;0.596;0.946;1.0;1.0;1.0;0.986;0.606;0.606;0.757;0.757;0.749;0.757
transcript29_ENSSTOG00000019743;0.598;0.567;0.591;0.596;0.946;1.0;1.0;1.0;0.986;0.606;0.606;0.757;0.757;0.749;0.757
transcript30_ENSSTOG00000019743;0.598;0.567;0.591;0.596;0.946;1.0;1.0;1.0;0.986;0.606;0.606;0.757;0.757;0.749;0.757
transcript31_ENSSTOG00000019743;0.587;0.556;0.58;0.592;0.932;0.986;0.986;0.986;1.0;0.598;0.598;0.746;0.746;0.757;0.746
transcript1_ENSCCNG00000000226;0.642;0.626;0.611;0.634;0.636;0.606;0.606;0.606;0.598;1.0;1.0;0.811;0.811;0.8;0.811
transcript30_ENSCCNG00000000226;0.642;0.626;0.611;0.634;0.636;0.606;0.606;0.606;0.598;1.0;1.0;0.811;0.811;0.8;0.811
transcript29_ENSCPOG00000024843;0.807;0.776;0.776;0.798;0.8;0.757;0.757;0.757;0.746;0.811;0.811;1.0;1.0;0.985;1.0
transcript35_ENSCPOG00000024843;0.807;0.776;0.776;0.798;0.8;0.757;0.757;0.757;0.746;0.811;0.811;1.0;1.0;0.985;1.0
transcript36_ENSCPOG00000024843;0.791;0.761;0.761;0.798;0.793;0.749;0.749;0.749;0.757;0.8;0.8;0.985;0.985;1.0;0.985
transcript37_ENSCPOG00000024843;0.807;0.776;0.776;0.798;0.8;0.757;0.757;0.757;0.746;0.811;0.811;1.0;1.0;0.985;1.0
