;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;1.0;0.538;0.536;0.534;0.556;0.534;0.521;0.469;0.538;0.469;0.542;0.274;0.263;0.277;0.271;0.303;0.303;0.309;0.33;0.328;0.336;0.303;0.247;0.314;0.32;0.255;0.255;0.255;0.325;0.325
transcript7_ENSMUSG00000054036;1.0;1.0;0.712;0.709;0.537;0.559;0.537;0.525;0.521;0.712;0.521;0.716;0.429;0.406;0.436;0.424;0.509;0.502;0.521;0.525;0.511;0.537;0.509;0.373;0.519;0.542;0.382;0.382;0.382;0.55;0.55
transcript26_ENSMSIG00000000513;0.538;0.712;1.0;1.0;0.593;0.627;0.593;0.584;0.748;1.0;0.748;0.993;0.444;0.424;0.49;0.398;0.305;0.306;0.31;0.242;0.239;0.247;0.305;0.413;0.64;0.644;0.486;0.418;0.418;0.648;0.648
transcript26_MGP-PahariEiJ-G0020237;0.536;0.709;1.0;1.0;0.592;0.625;0.592;0.582;0.748;1.0;0.748;0.993;0.735;0.686;0.859;0.644;0.492;0.477;0.501;0.388;0.374;0.398;0.492;0.632;0.961;0.993;0.73;0.672;0.672;1.0;1.0
transcript41_ENSMSIG00000000513;0.534;0.537;0.593;0.592;1.0;0.996;1.0;0.982;0.853;0.593;0.853;0.598;0.449;0.443;0.454;0.411;0.297;0.297;0.304;0.323;0.321;0.33;0.297;0.43;0.358;0.353;0.435;0.435;0.435;0.358;0.358
transcript41_MGP-SPRETEiJ-G0021131;0.556;0.559;0.627;0.625;0.996;1.0;0.996;0.978;0.849;0.627;0.849;0.632;0.656;0.642;0.66;0.596;0.43;0.424;0.441;0.485;0.473;0.497;0.43;0.623;0.491;0.493;0.616;0.616;0.616;0.5;0.5
transcript43_ENSMSIG00000000513;0.534;0.537;0.593;0.592;1.0;0.996;1.0;0.982;0.853;0.593;0.853;0.598;0.449;0.443;0.454;0.411;0.297;0.297;0.304;0.323;0.321;0.33;0.297;0.43;0.358;0.353;0.435;0.435;0.435;0.358;0.358
transcript43_MGP-CAROLIEiJ-G0020234;0.521;0.525;0.584;0.582;0.982;0.978;0.982;1.0;0.838;0.584;0.838;0.589;0.441;0.447;0.446;0.414;0.3;0.289;0.296;0.325;0.312;0.321;0.3;0.428;0.352;0.348;0.427;0.427;0.427;0.352;0.352
transcript46_ENSMSIG00000000513;0.469;0.521;0.748;0.748;0.853;0.849;0.853;0.838;1.0;0.748;1.0;0.742;0.527;0.521;0.532;0.489;0.375;0.378;0.382;0.297;0.295;0.304;0.375;0.514;0.49;0.481;0.582;0.514;0.514;0.485;0.485
transcript47_ENSMSIG00000000513;0.538;0.712;1.0;1.0;0.593;0.627;0.593;0.584;0.748;1.0;0.748;0.993;0.444;0.424;0.49;0.398;0.305;0.306;0.31;0.242;0.239;0.247;0.305;0.413;0.64;0.644;0.486;0.418;0.418;0.648;0.648
transcript48_ENSMSIG00000000513;0.469;0.521;0.748;0.748;0.853;0.849;0.853;0.838;1.0;0.748;1.0;0.742;0.527;0.521;0.532;0.489;0.375;0.378;0.382;0.297;0.295;0.304;0.375;0.514;0.49;0.481;0.582;0.514;0.514;0.485;0.485
transcript49_ENSMSIG00000000513;0.542;0.716;0.993;0.993;0.598;0.632;0.598;0.589;0.742;0.993;0.742;1.0;0.439;0.419;0.484;0.393;0.3;0.301;0.305;0.243;0.24;0.248;0.3;0.408;0.636;0.64;0.481;0.413;0.413;0.644;0.644
transcript22_MGP-SPRETEiJ-G0021131;0.274;0.429;0.444;0.735;0.449;0.656;0.449;0.441;0.527;0.444;0.527;0.439;1.0;0.984;0.987;0.952;0.839;0.787;0.851;0.761;0.719;0.773;0.839;0.875;0.785;0.819;0.922;0.922;0.922;0.824;0.824
transcript22_MGP-CAROLIEiJ-G0020234;0.263;0.406;0.424;0.686;0.443;0.642;0.443;0.447;0.521;0.424;0.521;0.419;0.984;1.0;0.979;0.968;0.853;0.779;0.843;0.775;0.711;0.765;0.853;0.874;0.755;0.784;0.912;0.912;0.912;0.789;0.789
transcript36_ENSMUSG00000054036;0.277;0.436;0.49;0.859;0.454;0.66;0.454;0.446;0.532;0.49;0.532;0.484;0.987;0.979;1.0;0.947;0.834;0.796;0.845;0.756;0.714;0.768;0.834;0.884;0.849;0.888;0.915;0.915;0.915;0.893;0.893
transcript8_MGP-CAROLIEiJ-G0020234;0.271;0.424;0.398;0.644;0.411;0.596;0.411;0.414;0.489;0.398;0.489;0.393;0.952;0.968;0.947;1.0;0.881;0.805;0.871;0.8;0.735;0.791;0.881;0.842;0.729;0.759;0.881;0.881;0.881;0.763;0.763
