;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.074;0.118;0.49;0.073;0.876;0.053;0.862;0.861;0.846;0.051;0.912;0.514;0.877;0.053;0.58;0.894;0.074;0.318;0.229;0.051
ENST00000423692_90_90;0.074;1.0;0.0;0.0;0.0;0.074;0.0;0.074;0.075;0.076;0.658;0.074;0.0;0.077;0.0;0.121;0.076;0.0;0.0;0.0;0.658
ENST00000431645_90_90;0.118;0.0;1.0;0.0;0.0;0.133;0.23;0.136;0.136;0.138;0.0;0.102;0.0;0.105;0.312;0.164;0.103;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.49;0.0;0.0;1.0;0.105;0.527;0.0;0.511;0.51;0.494;0.0;0.512;0.794;0.504;0.0;0.158;0.521;0.028;0.205;0.406;0.0
ENST00000449389_90_90;0.073;0.0;0.0;0.105;1.0;0.055;0.0;0.057;0.057;0.057;0.0;0.073;0.076;0.077;0.0;0.11;0.075;0.0;0.213;0.0;0.0
ENST00000611405_90_90;0.876;0.074;0.133;0.527;0.055;1.0;0.037;0.984;0.982;0.966;0.05;0.876;0.507;0.843;0.052;0.528;0.859;0.073;0.292;0.244;0.05
ENST00000614370_90_90;0.053;0.0;0.23;0.0;0.0;0.037;1.0;0.037;0.037;0.038;0.0;0.053;0.0;0.056;0.443;0.081;0.054;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.862;0.074;0.136;0.511;0.057;0.984;0.037;1.0;0.966;0.982;0.051;0.862;0.492;0.829;0.053;0.514;0.845;0.074;0.297;0.248;0.051
ENST00000618262_90_90;0.861;0.075;0.136;0.51;0.057;0.982;0.037;0.966;1.0;0.984;0.051;0.861;0.491;0.855;0.054;0.536;0.843;0.074;0.298;0.248;0.051
ENST00000618411_90_90;0.846;0.076;0.138;0.494;0.057;0.966;0.038;0.982;0.984;1.0;0.052;0.846;0.476;0.84;0.054;0.522;0.829;0.076;0.303;0.252;0.052
ENST00000641476_90_90;0.051;0.658;0.0;0.0;0.0;0.05;0.0;0.051;0.051;0.052;1.0;0.051;0.0;0.052;0.0;0.087;0.052;0.0;0.0;0.0;1.0
ENSMUST00000040873_90_90;0.912;0.074;0.102;0.512;0.073;0.876;0.053;0.862;0.861;0.846;0.051;1.0;0.536;0.962;0.037;0.604;0.98;0.058;0.297;0.248;0.051
ENSMUST00000196109_90_90;0.514;0.0;0.0;0.794;0.076;0.507;0.0;0.492;0.491;0.476;0.0;0.536;1.0;0.5;0.0;0.164;0.518;0.026;0.211;0.427;0.0
ENSMUST00000197466_90_90;0.877;0.077;0.105;0.504;0.077;0.843;0.056;0.829;0.855;0.84;0.052;0.962;0.5;1.0;0.039;0.629;0.982;0.059;0.309;0.231;0.052
ENSMUST00000197484_90_90;0.053;0.0;0.312;0.0;0.0;0.052;0.443;0.053;0.054;0.054;0.0;0.037;0.0;0.039;1.0;0.061;0.038;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.58;0.121;0.164;0.158;0.11;0.528;0.081;0.514;0.536;0.522;0.087;0.604;0.164;0.629;0.061;1.0;0.616;0.135;0.516;0.0;0.087
ENSMUST00000199243_90_90;0.894;0.076;0.103;0.521;0.075;0.859;0.054;0.845;0.843;0.829;0.052;0.98;0.518;0.982;0.038;0.616;1.0;0.059;0.303;0.228;0.052
ENSMUST00000199365_90_90;0.074;0.0;0.0;0.028;0.0;0.073;0.0;0.074;0.074;0.076;0.0;0.058;0.026;0.059;0.0;0.135;0.059;1.0;0.262;0.0;0.0
ENSMUST00000199605_90_90;0.318;0.0;0.0;0.205;0.213;0.292;0.0;0.297;0.298;0.303;0.0;0.297;0.211;0.309;0.0;0.516;0.303;0.262;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.229;0.0;0.0;0.406;0.0;0.244;0.0;0.248;0.248;0.252;0.0;0.248;0.427;0.231;0.0;0.0;0.228;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.051;0.658;0.0;0.0;0.0;0.05;0.0;0.051;0.051;0.052;1.0;0.051;0.0;0.052;0.0;0.087;0.052;0.0;0.0;0.0;1.0
