;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.677;0.533;0.742;0.742;0.536;0.37;0.231;0.154;0.385;0.154;0.08;0.207;0.719;0.516;0.774;0.774;0.71;0.71;0.774;0.719;0.12
ENST00000319770_90_90;0.677;1.0;0.778;0.931;0.931;0.5;0.444;0.259;0.185;0.407;0.103;0.074;0.37;0.727;0.633;0.727;0.727;0.667;0.774;0.727;0.727;0.111
ENST00000355772_90_90;0.533;0.778;1.0;0.724;0.724;0.3;0.32;0.12;0.04;0.185;0.04;0.045;0.476;0.594;0.792;0.594;0.594;0.633;0.633;0.594;0.594;0.091
ENST00000361959_90_90;0.742;0.931;0.724;1.0;1.0;0.516;0.414;0.241;0.172;0.379;0.097;0.069;0.345;0.686;0.594;0.788;0.788;0.727;0.727;0.788;0.686;0.103
ENST00000396801_90_90;0.742;0.931;0.724;1.0;1.0;0.516;0.414;0.241;0.172;0.379;0.097;0.069;0.345;0.686;0.594;0.788;0.788;0.727;0.727;0.788;0.686;0.103
ENST00000417772_90_90;0.536;0.5;0.3;0.516;0.516;1.0;0.667;0.389;0.278;0.611;0.15;0.111;0.0;0.5;0.29;0.455;0.455;0.394;0.438;0.455;0.5;0.167
ENST00000436774_90_90;0.37;0.444;0.32;0.414;0.414;0.667;1.0;0.583;0.214;0.643;0.062;0.077;0.0;0.355;0.308;0.355;0.355;0.379;0.379;0.355;0.355;0.25
ENST00000535485_90_90;0.231;0.259;0.12;0.241;0.241;0.389;0.583;1.0;0.333;0.636;0.091;0.125;0.0;0.194;0.115;0.194;0.194;0.207;0.207;0.194;0.194;0.429
ENST00000538829_90_90;0.154;0.185;0.04;0.172;0.172;0.278;0.214;0.333;1.0;0.455;0.429;0.4;0.0;0.129;0.038;0.129;0.129;0.065;0.138;0.129;0.129;0.143
ENST00000540915_90_90;0.385;0.407;0.185;0.379;0.379;0.611;0.643;0.636;0.455;1.0;0.231;0.182;0.0;0.323;0.179;0.323;0.323;0.258;0.345;0.323;0.323;0.273
ENST00000542351_90_90;0.154;0.103;0.04;0.097;0.097;0.15;0.062;0.091;0.429;0.231;1.0;0.4;0.0;0.129;0.038;0.129;0.129;0.065;0.138;0.129;0.129;0.143
ENST00000544482_90_90;0.08;0.074;0.045;0.069;0.069;0.111;0.077;0.125;0.4;0.182;0.4;1.0;0.0;0.067;0.043;0.067;0.067;0.034;0.071;0.067;0.067;0.25
ENST00000545946_90_90;0.207;0.37;0.476;0.345;0.345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;0.333;0.25;0.25;0.267;0.267;0.25;0.25;0.0
ENSMUST00000046064_90_90;0.719;0.727;0.594;0.686;0.686;0.5;0.355;0.194;0.129;0.323;0.129;0.067;0.25;1.0;0.733;0.875;0.875;0.812;0.933;0.875;1.0;0.1
ENSMUST00000054553_90_90;0.516;0.633;0.792;0.594;0.594;0.29;0.308;0.115;0.038;0.179;0.038;0.043;0.333;0.733;1.0;0.733;0.733;0.786;0.786;0.733;0.733;0.087
ENSMUST00000084275_90_90;0.774;0.727;0.594;0.788;0.788;0.455;0.355;0.194;0.129;0.323;0.129;0.067;0.25;0.875;0.733;1.0;1.0;0.933;0.933;1.0;0.875;0.1
ENSMUST00000088308_90_90;0.774;0.727;0.594;0.788;0.788;0.455;0.355;0.194;0.129;0.323;0.129;0.067;0.25;0.875;0.733;1.0;1.0;0.933;0.933;1.0;0.875;0.1
ENSMUST00000112424_90_90;0.71;0.667;0.633;0.727;0.727;0.394;0.379;0.207;0.065;0.258;0.065;0.034;0.267;0.812;0.786;0.933;0.933;1.0;0.867;0.933;0.812;0.107
ENSMUST00000112425_90_90;0.71;0.774;0.633;0.727;0.727;0.438;0.379;0.207;0.138;0.345;0.138;0.071;0.267;0.933;0.786;0.933;0.933;0.867;1.0;0.933;0.933;0.107
ENSMUST00000112427_90_90;0.774;0.727;0.594;0.788;0.788;0.455;0.355;0.194;0.129;0.323;0.129;0.067;0.25;0.875;0.733;1.0;1.0;0.933;0.933;1.0;0.875;0.1
ENSMUST00000112428_90_90;0.719;0.727;0.594;0.686;0.686;0.5;0.355;0.194;0.129;0.323;0.129;0.067;0.25;1.0;0.733;0.875;0.875;0.812;0.933;0.875;1.0;0.1
ENSMUST00000152752_90_90;0.12;0.111;0.091;0.103;0.103;0.167;0.25;0.429;0.143;0.273;0.143;0.25;0.0;0.1;0.087;0.1;0.1;0.107;0.107;0.1;0.1;1.0
