;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.812;0.438;0.625;0.625;0.812;0.188;0.625;0.944;0.944;0.944;1.0;0.278;0.222
ENST00000342203_90_90;0.812;1.0;0.333;0.824;0.722;0.889;0.053;0.824;0.722;0.722;0.722;0.833;0.333;0.267
ENST00000422026_90_90;0.438;0.333;1.0;0.167;0.312;0.333;0.0;0.167;0.438;0.438;0.438;0.389;0.714;0.571
ENST00000437941_90_90;0.625;0.824;0.167;1.0;0.647;0.722;0.062;1.0;0.556;0.556;0.556;0.667;0.133;0.067
ENST00000476905_90_90;0.625;0.722;0.312;0.647;1.0;0.722;0.0;0.647;0.556;0.556;0.556;0.667;0.308;0.231
ENST00000481102_90_90;0.812;0.889;0.333;0.722;0.722;1.0;0.053;0.722;0.722;0.722;0.722;0.833;0.333;0.267
ENST00000603677_90_90;0.188;0.053;0.0;0.062;0.0;0.053;1.0;0.062;0.188;0.188;0.188;0.167;0.0;0.0
ENST00000605755_90_90;0.625;0.824;0.167;1.0;0.647;0.722;0.062;1.0;0.556;0.556;0.556;0.667;0.133;0.067
ENSMUST00000039021_90_90;0.944;0.722;0.438;0.556;0.556;0.722;0.188;0.556;1.0;1.0;1.0;0.905;0.263;0.211
ENSMUST00000106149_90_90;0.944;0.722;0.438;0.556;0.556;0.722;0.188;0.556;1.0;1.0;1.0;0.905;0.263;0.211
ENSMUST00000106151_90_90;0.944;0.722;0.438;0.556;0.556;0.722;0.188;0.556;1.0;1.0;1.0;0.905;0.263;0.211
ENSMUST00000106153_90_90;1.0;0.833;0.389;0.667;0.667;0.833;0.167;0.667;0.905;0.905;0.905;1.0;0.238;0.19
ENSMUST00000129978_90_90;0.278;0.333;0.714;0.133;0.308;0.333;0.0;0.133;0.263;0.263;0.263;0.238;1.0;0.8
ENSMUST00000149262_90_90;0.222;0.267;0.571;0.067;0.231;0.267;0.0;0.067;0.211;0.211;0.211;0.19;0.8;1.0
