;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.825;0.65;0.76;0.825;0.798;0.865;0.76;0.718;0.286;0.865;0.212;0.068;0.565;0.678;0.345;0.906;0.8;0.837;0.69;0.865;0.444;0.068;0.372;0.758;0.906
ENST00000242066_90_90;0.825;1.0;0.61;0.719;1.0;0.882;0.956;0.83;0.75;0.31;0.956;0.231;0.101;0.589;0.716;0.272;0.865;0.682;0.796;0.576;0.903;0.5;0.101;0.363;0.71;0.865
ENST00000399357_90_90;0.65;0.61;1.0;0.869;0.61;0.583;0.651;0.617;0.819;0.142;0.651;0.09;0.0;0.641;0.444;0.531;0.615;0.816;0.549;0.935;0.576;0.198;0.0;0.191;0.767;0.615
ENST00000403527_90_90;0.76;0.719;0.869;1.0;0.719;0.692;0.76;0.72;0.95;0.154;0.76;0.081;0.0;0.771;0.546;0.463;0.722;0.943;0.655;0.816;0.682;0.307;0.0;0.293;0.894;0.722
ENST00000403685_90_90;0.825;1.0;0.61;0.719;1.0;0.882;0.956;0.83;0.75;0.31;0.956;0.231;0.101;0.589;0.716;0.272;0.865;0.682;0.796;0.576;0.903;0.5;0.101;0.363;0.71;0.865
ENST00000405192_90_90;0.798;0.882;0.583;0.692;0.882;1.0;0.926;0.803;0.65;0.386;0.926;0.299;0.106;0.496;0.687;0.292;0.837;0.655;0.898;0.549;0.796;0.516;0.106;0.428;0.615;0.837
ENST00000405218_90_90;0.865;0.956;0.651;0.76;0.956;0.926;1.0;0.869;0.719;0.354;1.0;0.275;0.096;0.565;0.756;0.312;0.907;0.722;0.837;0.615;0.865;0.478;0.096;0.401;0.682;0.907
ENST00000405358_90_90;0.76;0.83;0.617;0.72;0.83;0.803;0.869;1.0;0.681;0.28;0.869;0.21;0.048;0.533;0.653;0.295;0.794;0.686;0.732;0.585;0.757;0.399;0.048;0.478;0.649;0.794
ENST00000420159_90_90;0.718;0.75;0.819;0.95;0.75;0.65;0.719;0.681;1.0;0.113;0.719;0.04;0.0;0.813;0.508;0.413;0.682;0.894;0.615;0.767;0.71;0.32;0.0;0.255;0.94;0.682
ENST00000421381_90_90;0.286;0.31;0.142;0.154;0.31;0.386;0.354;0.28;0.113;1.0;0.354;0.776;0.248;0.133;0.393;0.231;0.319;0.154;0.346;0.142;0.276;0.48;0.248;0.437;0.113;0.319
