;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;1.0;0.929;1.0;0.929;1.0;0.071;1.0;1.0;0.929;0.929
ENST00000307972_90_90;1.0;1.0;0.933;1.0;0.867;0.933;0.062;1.0;0.929;0.929;0.857
ENST00000373057_90_90;0.929;0.933;1.0;0.933;0.8;0.867;0.067;0.929;0.857;1.0;0.786
ENST00000373060_90_90;1.0;1.0;0.933;1.0;0.867;0.933;0.062;1.0;0.929;0.929;0.857
ENST00000373063_90_90;0.929;0.867;0.8;0.867;1.0;0.929;0.071;0.857;0.923;0.786;1.0
ENST00000409208_90_90;1.0;0.933;0.867;0.933;0.929;1.0;0.067;0.929;1.0;0.857;0.923
ENST00000451305_90_90;0.071;0.062;0.067;0.062;0.071;0.067;1.0;0.071;0.077;0.077;0.083
ENSMUST00000097311_90_90;1.0;1.0;0.929;1.0;0.857;0.929;0.071;1.0;0.944;0.944;0.889
ENSMUST00000113262_90_90;1.0;0.929;0.857;0.929;0.923;1.0;0.077;0.944;1.0;0.889;0.941
ENSMUST00000113263_90_90;0.929;0.929;1.0;0.929;0.786;0.857;0.077;0.944;0.889;1.0;0.833
ENSMUST00000113265_90_90;0.929;0.857;0.786;0.857;1.0;0.923;0.083;0.889;0.941;0.833;1.0
