;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.477;0.475;0.388;0.209;0.06;0.255;0.235;0.63;0.648;0.208;0.02;0.118
ENST00000237247_90_90;0.477;1.0;0.737;0.379;0.123;0.032;0.226;0.21;0.471;0.485;0.111;0.086;0.131
ENST00000371037_90_90;0.475;0.737;1.0;0.449;0.222;0.037;0.196;0.179;0.422;0.438;0.13;0.019;0.132
ENST00000371039_90_90;0.388;0.379;0.449;1.0;0.241;0.028;0.2;0.205;0.333;0.327;0.167;0.029;0.108
ENST00000424320_90_90;0.209;0.123;0.222;0.241;1.0;0.0;0.28;0.292;0.191;0.188;0.182;0.056;0.389
ENST00000435165_90_90;0.06;0.032;0.037;0.028;0.0;1.0;0.065;0.032;0.018;0.036;0.35;0.0;0.0
ENSMUST00000066824_90_90;0.255;0.226;0.196;0.2;0.28;0.065;1.0;0.955;0.447;0.468;0.357;0.409;0.542
ENSMUST00000072481_90_90;0.235;0.21;0.179;0.205;0.292;0.032;0.955;1.0;0.457;0.447;0.321;0.429;0.565
ENSMUST00000080728_90_90;0.63;0.471;0.422;0.333;0.191;0.018;0.447;0.457;1.0;0.979;0.17;0.196;0.326
ENSMUST00000106882_90_90;0.648;0.485;0.438;0.327;0.188;0.036;0.468;0.447;0.979;1.0;0.189;0.191;0.319
ENSMUST00000149547_90_90;0.208;0.111;0.13;0.167;0.182;0.35;0.357;0.321;0.17;0.189;1.0;0.0;0.069
ENSMUST00000156596_90_90;0.02;0.086;0.019;0.029;0.056;0.0;0.409;0.429;0.196;0.191;0.0;1.0;0.6
ENSMUST00000183855_90_90;0.118;0.131;0.132;0.108;0.389;0.0;0.542;0.565;0.326;0.319;0.069;0.6;1.0
