;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.992;1.0;0.992;1.0;1.0;0.9;0.418;0.678;0.239;0.42;1.0;0.281;1.0;0.257;0.992
ENST00000221222_90_90;0.992;1.0;0.992;1.0;0.992;0.992;0.892;0.413;0.68;0.239;0.421;0.992;0.284;0.992;0.249;0.983
ENST00000392351_90_90;1.0;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;1.0;0.281;1.0;0.257;0.992
ENST00000433218_90_90;0.992;1.0;0.992;1.0;0.992;0.992;0.892;0.413;0.68;0.239;0.421;0.992;0.284;0.992;0.249;0.983
ENST00000539827_90_90;1.0;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;1.0;0.281;1.0;0.257;0.992
ENST00000542541_90_90;1.0;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;1.0;0.281;1.0;0.257;0.992
ENST00000594439_90_90;0.9;0.892;0.9;0.892;0.9;0.9;1.0;0.468;0.574;0.264;0.318;0.9;0.313;0.9;0.286;0.891
ENST00000594794_90_90;0.418;0.413;0.421;0.413;0.421;0.421;0.468;1.0;0.095;0.02;0.016;0.418;0.019;0.418;0.487;0.409
ENST00000596482_90_90;0.678;0.68;0.674;0.68;0.674;0.674;0.574;0.095;1.0;0.352;0.619;0.678;0.415;0.678;0.096;0.684
ENST00000599097_90_90;0.239;0.239;0.237;0.239;0.237;0.237;0.264;0.02;0.352;1.0;0.569;0.239;0.848;0.239;0.0;0.241
ENST00000600077_90_90;0.42;0.421;0.417;0.421;0.417;0.417;0.318;0.016;0.619;0.569;1.0;0.42;0.67;0.42;0.0;0.423
ENSMUST00000003669_90_90;1.0;0.992;1.0;0.992;1.0;1.0;0.9;0.418;0.678;0.239;0.42;1.0;0.266;1.0;0.257;0.992
ENSMUST00000087467_90_90;0.281;0.284;0.281;0.284;0.281;0.281;0.313;0.019;0.415;0.848;0.67;0.266;1.0;0.266;0.0;0.268
ENSMUST00000110124_90_90;1.0;0.992;1.0;0.992;1.0;1.0;0.9;0.418;0.678;0.239;0.42;1.0;0.266;1.0;0.257;0.992
ENSMUST00000135368_90_90;0.257;0.249;0.257;0.249;0.257;0.257;0.286;0.487;0.096;0.0;0.0;0.257;0.0;0.257;1.0;0.259
ENSMUST00000140212_90_90;0.992;0.983;0.992;0.983;0.992;0.992;0.891;0.409;0.684;0.241;0.423;0.992;0.268;0.992;0.259;1.0
