;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;;0.505;0.516;0.045;0.286;0.175;0.702;0.204;0.702;0.176;0.204;0.401;0.548;0.871;0.24;0.294
ENST00000320694_90_90;0.505;;;;;;;;;;;;0.797;0.525;0.357;0.455
ENST00000336483_90_90;0.516;;;;;;;;;;;;0.931;0.504;0.335;0.424
ENST00000517698_90_90;0.045;;;;;;;;;;;;0.149;0.024;0.054;0.057
ENST00000519025_90_90;0.286;;;;;;;;;;;;0.456;0.301;0.352;0.648
ENST00000520675_90_90;0.175;;;;;;;;;;;;0.0;0.159;0.0;0.0
ENST00000521381_90_90;0.702;;;;;;;;;;;;0.447;0.723;0.186;0.236
ENST00000521409_90_90;0.204;;;;;;;;;;;;0.33;0.214;0.261;0.591
ENST00000521657_90_90;0.702;;;;;;;;;;;;0.447;0.723;0.186;0.236
ENST00000522084_90_90;0.176;;;;;;;;;;;;0.193;0.136;0.389;0.245
ENST00000523807_90_90;0.204;;;;;;;;;;;;0.232;0.165;0.472;0.31
ENST00000523872_90_90;0.401;;;;;;;;;;;;0.647;0.416;0.174;0.347
ENSMUST00000035532_90_90;0.548;0.797;0.931;0.149;0.456;0.0;0.447;0.33;0.447;0.193;0.232;0.647;;;;
ENSMUST00000055518_90_90;0.871;0.525;0.504;0.024;0.301;0.159;0.723;0.214;0.723;0.136;0.165;0.416;;;;
ENSMUST00000185795_90_90;0.24;0.357;0.335;0.054;0.352;0.0;0.186;0.261;0.186;0.389;0.472;0.174;;;;
ENSMUST00000187009_90_90;0.294;0.455;0.424;0.057;0.648;0.0;0.236;0.591;0.236;0.245;0.31;0.347;;;;
