;ENSCAFT00000028733_90_90;ENST00000288381_90_90;ENST00000372068_90_90;ENST00000372072_90_90;ENST00000372073_90_90;ENSMUST00000087333_90_90;ENSMUST00000101198_90_90;ENSMUST00000112888_90_90;ENSMUST00000112889_90_90;ENSMUST00000112891_90_90;ENSMUST00000112896_90_90;ENSMUST00000133634_90_90;ENSMUST00000151914_90_90
ENSCAFT00000028733_90_90;;0.768;1.0;0.54;1.0;0.881;0.48;0.222;0.48;0.454;0.881;0.881;0.249
ENST00000288381_90_90;0.768;;;;;0.662;0.411;0.284;0.411;0.3;0.662;0.662;0.23
ENST00000372068_90_90;1.0;;;;;0.881;0.48;0.222;0.48;0.454;0.881;0.881;0.249
ENST00000372072_90_90;0.54;;;;;0.499;0.873;0.42;0.873;0.658;0.499;0.499;0.409
ENST00000372073_90_90;1.0;;;;;0.881;0.48;0.222;0.48;0.454;0.881;0.881;0.249
ENSMUST00000087333_90_90;0.881;0.662;0.881;0.499;0.881;;;;;;;;
ENSMUST00000101198_90_90;0.48;0.411;0.48;0.873;0.48;;;;;;;;
ENSMUST00000112888_90_90;0.222;0.284;0.222;0.42;0.222;;;;;;;;
ENSMUST00000112889_90_90;0.48;0.411;0.48;0.873;0.48;;;;;;;;
ENSMUST00000112891_90_90;0.454;0.3;0.454;0.658;0.454;;;;;;;;
ENSMUST00000112896_90_90;0.881;0.662;0.881;0.499;0.881;;;;;;;;
ENSMUST00000133634_90_90;0.881;0.662;0.881;0.499;0.881;;;;;;;;
ENSMUST00000151914_90_90;0.249;0.23;0.249;0.409;0.249;;;;;;;;
