;transcript2_ENSMLUG00000027828;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript7_ENSNGAG00000018584;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;0.748;0.823;1.0;0.403;0.89;0.891;0.889;0.851;0.862;1.0;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;0.996;0.996;1.0;0.454;0.875;0.875;0.867;0.867;0.867;1.0;1.0
transcript17_ENSMUGG00000013592;0.748;0.996;1.0;0.921;0.919;0.419;0.687;0.687;0.68;0.692;0.689;0.749;0.749
transcript29_ENSMUGG00000013592;0.823;0.996;0.921;1.0;0.996;0.387;0.755;0.755;0.748;0.76;0.758;0.824;0.824
transcript8_ENSPEMG00000024651;1.0;1.0;0.919;0.996;1.0;0.423;0.881;0.881;0.873;0.873;0.873;1.0;1.0
transcript7_ENSNGAG00000018584;0.403;0.454;0.419;0.387;0.423;1.0;0.371;0.373;0.453;0.407;0.469;0.4;0.4
transcript8_ENSNGAG00000018584;0.89;0.875;0.687;0.755;0.881;0.371;1.0;0.998;0.89;0.847;0.861;0.892;0.892
transcript9_ENSNGAG00000018584;0.891;0.875;0.687;0.755;0.881;0.373;0.998;1.0;0.891;0.849;0.862;0.893;0.893
transcript10_ENSNGAG00000018584;0.889;0.867;0.68;0.748;0.873;0.453;0.89;0.891;1.0;0.956;0.969;0.889;0.889
transcript18_ENSNGAG00000018584;0.851;0.867;0.692;0.76;0.873;0.407;0.847;0.849;0.956;1.0;0.925;0.85;0.85
transcript19_ENSNGAG00000018584;0.862;0.867;0.689;0.758;0.873;0.469;0.861;0.862;0.969;0.925;1.0;0.861;0.861
transcript2_ENSSTOG00000019743;1.0;1.0;0.749;0.824;1.0;0.4;0.892;0.893;0.889;0.85;0.861;1.0;1.0
transcript15_ENSSTOG00000019743;1.0;1.0;0.749;0.824;1.0;0.4;0.892;0.893;0.889;0.85;0.861;1.0;1.0
