;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.287;0.287;0.287;0.457;0.457;0.287;0.457;0.457;0.457;0.714;0.714
transcript7_ENSMUNG00000007775;0.287;1.0;1.0;1.0;0.722;0.722;1.0;0.722;0.722;0.722;0.423;0.423
transcript7_ENSMUNG00000002377;0.287;1.0;1.0;1.0;0.722;0.722;1.0;0.722;0.722;0.722;0.423;0.423
transcript7_ENSMUNG00000002391;0.287;1.0;1.0;1.0;0.722;0.722;1.0;0.722;0.722;0.722;0.423;0.423
transcript19_ENSMUNG00000007775;0.457;0.722;0.722;0.722;1.0;1.0;0.722;1.0;1.0;1.0;0.572;0.572
transcript19_ENSMUNG00000002377;0.457;0.722;0.722;0.722;1.0;1.0;0.722;1.0;1.0;1.0;0.572;0.572
transcript22_ENSMUNG00000007775;0.287;1.0;1.0;1.0;0.722;0.722;1.0;0.722;0.722;0.722;0.423;0.423
transcript23_ENSMUNG00000007775;0.457;0.722;0.722;0.722;1.0;1.0;0.722;1.0;1.0;1.0;0.572;0.572
transcript27_ENSMUNG00000002377;0.457;0.722;0.722;0.722;1.0;1.0;0.722;1.0;1.0;1.0;0.572;0.572
transcript28_ENSMUNG00000002377;0.457;0.722;0.722;0.722;1.0;1.0;0.722;1.0;1.0;1.0;0.572;0.572
transcript3_ENSPNYG00000024266;0.714;0.423;0.423;0.423;0.572;0.572;0.423;0.572;0.572;0.572;1.0;1.0
transcript3_ENSXMAG00000026005;0.714;0.423;0.423;0.423;0.572;0.572;0.423;0.572;0.572;0.572;1.0;1.0
