;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.225;0.255;0.314;0.191;0.179;0.168;0.193;0.264;0.161;0.194;0.177;0.247;0.865;0.957;0.933;0.057;0.643;0.573;0.59;0.362;0.205;0.34;0.621
ENST00000391851_90_90;0.225;1.0;0.948;0.645;0.556;0.648;0.246;0.541;0.465;0.846;0.072;0.664;0.832;0.242;0.225;0.231;0.0;0.261;0.129;0.205;0.292;0.0;0.056;0.232
ENST00000454376_90_90;0.255;0.948;1.0;0.693;0.527;0.615;0.234;0.513;0.441;0.803;0.117;0.631;0.79;0.275;0.255;0.263;0.0;0.251;0.124;0.221;0.28;0.0;0.054;0.269
ENST00000524771_90_90;0.314;0.645;0.693;1.0;0.649;0.664;0.275;0.634;0.516;0.539;0.115;0.654;0.585;0.343;0.314;0.325;0.0;0.263;0.168;0.295;0.338;0.0;0.092;0.362
ENST00000526224_90_90;0.191;0.556;0.527;0.649;1.0;0.851;0.28;0.976;0.611;0.673;0.0;0.831;0.554;0.21;0.191;0.198;0.0;0.264;0.058;0.16;0.387;0.0;0.0;0.275
ENST00000527382_90_90;0.179;0.648;0.615;0.664;0.851;1.0;0.246;0.83;0.538;0.779;0.0;0.977;0.507;0.196;0.179;0.185;0.0;0.243;0.055;0.146;0.34;0.0;0.0;0.251
ENST00000528623_90_90;0.168;0.246;0.234;0.275;0.28;0.246;1.0;0.286;0.559;0.204;0.0;0.24;0.292;0.19;0.168;0.176;0.0;0.25;0.166;0.282;0.429;0.0;0.0;0.268
ENST00000529284_90_90;0.193;0.541;0.513;0.634;0.976;0.83;0.286;1.0;0.627;0.653;0.0;0.809;0.566;0.212;0.193;0.2;0.0;0.267;0.059;0.162;0.394;0.0;0.0;0.279
ENST00000529836_90_90;0.264;0.465;0.441;0.516;0.611;0.538;0.559;0.627;1.0;0.45;0.0;0.526;0.549;0.294;0.264;0.275;0.0;0.38;0.132;0.267;0.631;0.0;0.0;0.409
ENST00000532489_90_90;0.161;0.846;0.803;0.539;0.673;0.779;0.204;0.653;0.45;1.0;0.0;0.8;0.678;0.173;0.161;0.166;0.0;0.212;0.05;0.124;0.279;0.0;0.0;0.214
ENST00000534280_90_90;0.194;0.072;0.117;0.115;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.083;0.217;0.194;0.203;0.0;0.088;0.159;0.273;0.019;0.0;0.113;0.2
ENST00000534465_90_90;0.177;0.664;0.631;0.654;0.831;0.977;0.24;0.809;0.526;0.8;0.0;1.0;0.497;0.194;0.177;0.183;0.0;0.239;0.053;0.144;0.334;0.0;0.0;0.247
ENST00000610806_90_90;0.247;0.832;0.79;0.585;0.554;0.507;0.292;0.566;0.549;0.678;0.083;0.497;1.0;0.268;0.247;0.256;0.0;0.294;0.144;0.232;0.343;0.0;0.064;0.263
ENSMUST00000045325_90_90;0.865;0.242;0.275;0.343;0.21;0.196;0.19;0.212;0.294;0.173;0.217;0.194;0.268;1.0;0.886;0.928;0.038;0.621;0.547;0.663;0.424;0.177;0.285;0.699
ENSMUST00000107843_90_90;0.957;0.225;0.255;0.314;0.191;0.179;0.168;0.193;0.264;0.161;0.194;0.177;0.247;0.886;1.0;0.954;0.08;0.661;0.591;0.59;0.378;0.205;0.34;0.621
ENSMUST00000207370_90_90;0.933;0.231;0.263;0.325;0.198;0.185;0.176;0.2;0.275;0.166;0.203;0.183;0.256;0.928;0.954;1.0;0.036;0.694;0.619;0.617;0.395;0.215;0.356;0.65
ENSMUST00000207522_90_90;0.057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.08;0.036;1.0;0.051;0.056;0.0;0.08;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.643;0.261;0.251;0.263;0.264;0.243;0.25;0.267;0.38;0.212;0.088;0.239;0.294;0.621;0.661;0.694;0.051;1.0;0.611;0.368;0.574;0.24;0.309;0.407
ENSMUST00000208312_90_90;0.573;0.129;0.124;0.168;0.058;0.055;0.166;0.059;0.132;0.05;0.159;0.053;0.144;0.547;0.591;0.619;0.056;0.611;1.0;0.433;0.244;0.272;0.573;0.269
ENSMUST00000208778_90_90;0.59;0.205;0.221;0.295;0.16;0.146;0.282;0.162;0.267;0.124;0.273;0.144;0.232;0.663;0.59;0.617;0.0;0.368;0.433;1.0;0.35;0.045;0.205;0.686
ENSMUST00000208829_90_90;0.362;0.292;0.28;0.338;0.387;0.34;0.429;0.394;0.631;0.279;0.019;0.334;0.343;0.424;0.378;0.395;0.08;0.574;0.244;0.35;1.0;0.0;0.0;0.514
ENSMUST00000208938_90_90;0.205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.177;0.205;0.215;0.0;0.24;0.272;0.045;0.0;1.0;0.361;0.043
ENSMUST00000209056_90_90;0.34;0.056;0.054;0.092;0.0;0.0;0.0;0.0;0.0;0.0;0.113;0.0;0.064;0.285;0.34;0.356;0.0;0.309;0.573;0.205;0.0;0.361;1.0;0.068
ENSMUST00000209124_90_90;0.621;0.232;0.269;0.362;0.275;0.251;0.268;0.279;0.409;0.214;0.2;0.247;0.263;0.699;0.621;0.65;0.0;0.407;0.269;0.686;0.514;0.043;0.068;1.0
