;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.535;0.304;0.535;0.426;0.535;0.535;0.994;0.894;0.994;0.997;0.897
ENST00000422393_90_90;0.535;1.0;0.538;0.91;0.653;0.905;0.855;0.521;0.541;0.521;0.5;0.512
ENST00000433491_90_90;0.304;0.538;1.0;0.577;0.784;0.494;0.479;0.265;0.374;0.265;0.225;0.305
ENST00000434483_90_90;0.535;0.91;0.577;1.0;0.705;0.825;0.782;0.472;0.59;0.472;0.447;0.564
ENST00000443502_90_90;0.426;0.653;0.784;0.705;1.0;0.597;0.575;0.327;0.481;0.327;0.29;0.428
ENST00000455268_90_90;0.535;0.905;0.494;0.825;0.597;1.0;0.944;0.58;0.499;0.58;0.561;0.469
ENST00000494475_90_90;0.535;0.855;0.479;0.782;0.575;0.944;1.0;0.621;0.471;0.621;0.608;0.441
ENST00000612423_90_90;0.994;0.521;0.265;0.472;0.327;0.58;0.621;1.0;0.687;1.0;0.998;0.662
ENST00000619236_90_90;0.894;0.541;0.374;0.59;0.481;0.499;0.471;0.687;1.0;0.687;0.662;0.997
ENST00000621218_90_90;0.994;0.521;0.265;0.472;0.327;0.58;0.621;1.0;0.687;1.0;0.998;0.662
ENSMUST00000033800_90_90;0.997;0.5;0.225;0.447;0.29;0.561;0.608;0.998;0.662;0.998;1.0;0.687
ENSMUST00000113085_90_90;0.897;0.512;0.305;0.564;0.428;0.469;0.441;0.662;0.997;0.662;0.687;1.0
