;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.409;0.474;0.65;0.619;0.5;0.167;0.0;0.65;0.556;0.526;0.588;0.684;0.222;0.333;0.25
ENST00000373064_90_90;0.409;1.0;0.588;0.455;0.435;0.625;0.25;0.312;0.391;0.5;0.647;0.529;0.409;0.235;0.353;0.267
ENST00000373066_90_90;0.474;0.588;1.0;0.526;0.579;0.917;0.308;0.0;0.526;0.846;0.562;0.769;0.474;0.385;0.429;0.333
ENST00000373068_90_90;0.65;0.455;0.526;1.0;0.944;0.556;0.222;0.0;0.789;0.45;0.429;0.474;0.833;0.211;0.316;0.235
ENST00000373069_90_90;0.619;0.435;0.579;0.944;1.0;0.526;0.211;0.0;0.842;0.5;0.409;0.45;0.789;0.263;0.3;0.222
ENST00000432073_90_90;0.5;0.625;0.917;0.556;0.526;1.0;0.333;0.0;0.474;0.769;0.6;0.833;0.5;0.308;0.462;0.364
ENST00000466983_90_90;0.167;0.25;0.308;0.222;0.211;0.333;1.0;0.0;0.158;0.214;0.2;0.231;0.167;0.1;0.182;0.286
ENST00000472769_90_90;0.0;0.312;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.118;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;0.65;0.391;0.526;0.789;0.842;0.474;0.158;0.0;1.0;0.611;0.5;0.556;0.941;0.278;0.316;0.235
ENSMUST00000052119_90_90;0.556;0.5;0.846;0.45;0.5;0.769;0.214;0.0;0.611;1.0;0.667;0.917;0.556;0.385;0.429;0.333
ENSMUST00000113307_90_90;0.526;0.647;0.562;0.429;0.409;0.6;0.2;0.118;0.5;0.667;1.0;0.714;0.526;0.267;0.4;0.308
ENSMUST00000113308_90_90;0.588;0.529;0.769;0.474;0.45;0.833;0.231;0.0;0.556;0.917;0.714;1.0;0.588;0.308;0.462;0.364
ENSMUST00000113310_90_90;0.684;0.409;0.474;0.833;0.789;0.5;0.167;0.0;0.941;0.556;0.526;0.588;1.0;0.222;0.333;0.25
ENSMUST00000127961_90_90;0.222;0.235;0.385;0.211;0.263;0.308;0.1;0.0;0.278;0.385;0.267;0.308;0.222;1.0;0.556;0.429
ENSMUST00000136361_90_90;0.333;0.353;0.429;0.316;0.3;0.462;0.182;0.0;0.316;0.429;0.4;0.462;0.333;0.556;1.0;0.5
ENSMUST00000153886_90_90;0.25;0.267;0.333;0.235;0.222;0.364;0.286;0.0;0.235;0.333;0.308;0.364;0.25;0.429;0.5;1.0
