;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.897;0.826;0.889;0.889;0.924;0.808;0.998;1.0;1.0;0.881;0.982;1.0;0.932;0.938;0.919;0.906;0.932;0.905;0.986;0.986;0.881;0.912;0.974;0.883;0.929;0.91;0.724;0.945;1.0;1.0;1.0;0.982;0.982;0.894;1.0
transcript37_ENSMUGG00000013649;0.897;1.0;0.925;0.992;0.972;0.992;0.877;0.877;0.879;0.852;1.0;0.823;0.844;0.81;0.786;0.797;1.0;0.811;0.778;0.851;0.851;0.985;0.77;0.839;0.739;0.798;0.768;0.578;0.854;0.913;0.913;0.913;0.894;0.838;0.924;0.913
transcript57_ENSMUGG00000013649;0.826;0.925;1.0;0.917;0.897;0.918;0.802;0.805;0.806;0.78;0.925;0.75;0.772;0.738;0.714;0.726;0.925;0.739;0.699;0.774;0.774;0.903;0.692;0.761;0.66;0.72;0.69;0.512;0.792;0.843;0.843;0.843;0.824;0.768;0.852;0.843
transcript58_ENSMUGG00000013649;0.889;0.992;0.917;1.0;0.98;0.983;0.868;0.869;0.871;0.843;0.992;0.815;0.836;0.802;0.778;0.789;0.992;0.803;0.77;0.843;0.843;0.978;0.762;0.831;0.732;0.79;0.76;0.585;0.843;0.905;0.905;0.905;0.886;0.83;0.916;0.905
transcript59_ENSMUGG00000013649;0.889;0.972;0.897;0.98;1.0;0.964;0.848;0.87;0.871;0.845;0.972;0.815;0.836;0.802;0.778;0.789;0.972;0.81;0.779;0.853;0.853;0.958;0.771;0.841;0.74;0.798;0.77;0.585;0.843;0.889;0.889;0.889;0.869;0.841;0.898;0.889
transcript37_ENSMUGG00000013592;0.924;0.992;0.918;0.983;0.964;1.0;0.884;0.898;0.9;0.873;0.992;0.843;0.865;0.829;0.804;0.815;0.992;0.83;0.794;0.87;0.87;0.976;0.785;0.867;0.757;0.815;0.783;0.594;0.877;0.936;0.936;0.936;0.918;0.859;0.953;0.936
transcript51_ENSMUGG00000013592;0.808;0.877;0.802;0.868;0.848;0.884;1.0;0.785;0.787;0.76;0.877;0.769;0.752;0.717;0.693;0.704;0.877;0.718;0.671;0.75;0.75;0.851;0.663;0.747;0.858;0.694;0.661;0.498;0.784;0.826;0.826;0.826;0.808;0.748;0.839;0.826
transcript8_ENSCGRG00015005362;0.998;0.877;0.805;0.869;0.87;0.898;0.785;1.0;0.998;0.974;0.857;0.949;0.969;0.938;0.913;0.925;0.875;0.938;0.906;0.984;0.984;0.853;0.911;0.972;0.88;0.933;0.911;0.691;0.947;0.969;0.969;0.969;0.951;0.98;0.865;0.969
transcript9_ENSCGRG00015005362;1.0;0.879;0.806;0.871;0.871;0.9;0.787;0.998;1.0;0.975;0.857;0.95;0.97;0.94;0.915;0.927;0.877;0.94;0.907;0.986;0.986;0.855;0.913;0.974;0.882;0.935;0.911;0.693;0.949;0.971;0.971;0.971;0.953;0.982;0.867;0.971
transcript38_ENSCGRG00015005362;1.0;0.852;0.78;0.843;0.845;0.873;0.76;0.974;0.975;1.0;0.832;0.98;1.0;0.914;0.943;0.901;0.851;0.914;0.887;0.966;0.966;0.834;0.893;0.954;0.861;0.915;0.891;0.718;0.918;0.947;0.947;0.947;0.928;0.956;0.842;0.947
transcript54_ENSCGRG00015005362;0.881;1.0;0.925;0.992;0.972;0.992;0.877;0.857;0.857;0.832;1.0;0.801;0.821;0.79;0.766;0.778;1.0;0.791;0.758;0.826;0.826;0.985;0.75;0.814;0.72;0.774;0.748;0.562;0.829;0.893;0.893;0.893;0.875;0.814;0.935;0.893
transcript8_ENSCGRG00000018457;0.982;0.823;0.75;0.815;0.815;0.843;0.769;0.949;0.95;0.98;0.801;1.0;0.98;0.889;0.923;0.877;0.819;0.889;0.861;0.94;0.94;0.801;0.867;0.928;0.875;0.889;0.865;0.703;0.9;0.916;0.916;0.916;0.899;0.933;0.812;0.916
transcript38_ENSCGRG00000018457;1.0;0.844;0.772;0.836;0.836;0.865;0.752;0.969;0.97;1.0;0.821;0.98;1.0;0.909;0.943;0.897;0.839;0.909;0.883;0.962;0.962;0.823;0.889;0.95;0.857;0.911;0.887;0.718;0.914;0.935;0.935;0.935;0.917;0.952;0.831;0.935
transcript52_ENSCGRG00000018457;0.932;0.81;0.738;0.802;0.802;0.829;0.717;0.938;0.94;0.914;0.79;0.889;0.909;1.0;0.855;0.986;0.807;1.0;0.851;0.931;0.931;0.792;0.858;0.919;0.827;0.986;0.857;0.641;0.899;0.905;0.905;0.905;0.887;0.921;0.802;0.905
transcript56_ENSCGRG00000018457;0.938;0.786;0.714;0.778;0.778;0.804;0.693;0.913;0.915;0.943;0.766;0.923;0.943;0.855;1.0;0.842;0.782;0.855;0.828;0.909;0.909;0.769;0.835;0.897;0.804;0.858;0.833;0.671;0.871;0.883;0.883;0.883;0.864;0.897;0.778;0.883
transcript65_ENSCGRG00000018457;0.919;0.797;0.726;0.789;0.789;0.815;0.704;0.925;0.927;0.901;0.778;0.877;0.897;0.986;0.842;1.0;0.794;0.986;0.839;0.919;0.919;0.78;0.845;0.907;0.815;0.974;0.844;0.647;0.887;0.893;0.893;0.893;0.875;0.909;0.789;0.893
transcript37_ENSCGRG00001010245;0.906;1.0;0.925;0.992;0.972;0.992;0.877;0.875;0.877;0.851;1.0;0.819;0.839;0.807;0.782;0.794;1.0;0.808;0.774;0.844;0.844;0.985;0.768;0.831;0.736;0.791;0.766;0.577;0.849;0.912;0.912;0.912;0.893;0.831;0.967;0.912
transcript52_ENSCGRG00001010245;0.932;0.811;0.739;0.803;0.81;0.83;0.718;0.938;0.94;0.914;0.791;0.889;0.909;1.0;0.855;0.986;0.808;1.0;0.851;0.931;0.931;0.793;0.858;0.919;0.827;0.986;0.857;0.641;0.899;0.907;0.907;0.907;0.889;0.921;0.802;0.907
