;transcript8_ENSMSIG00000000513;transcript47_MGP-SPRETEiJ-G0021131;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript47_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript42_ENSRNOG00000031503;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;1.0;0.958;0.125;0.917;0.792;0.667;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;0.667;1.0;0.333;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;1.0;0.958;0.125;0.917;0.792;0.667;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript42_ENSMUSG00000054036;0.958;0.667;0.958;1.0;0.083;0.957;0.75;0.667;1.0;0.958;0.958;0.958;0.958;0.955;0.955;0.955;0.955;0.955;0.958
transcript47_ENSMUSG00000054036;0.125;1.0;0.125;0.083;1.0;0.042;0.158;0.2;0.133;0.125;0.125;0.125;0.125;0.136;0.136;0.136;0.136;0.136;0.125
transcript54_ENSMUSG00000054036;0.917;0.333;0.917;0.957;0.042;1.0;0.708;0.6;0.933;0.917;0.917;0.917;0.917;0.909;0.909;0.909;0.909;0.909;0.917
transcript55_ENSMUSG00000054036;0.792;1.0;0.792;0.75;0.158;0.708;1.0;0.467;0.8;0.792;0.792;0.792;0.792;0.818;0.818;0.818;0.818;0.818;0.792
transcript8_ENSRNOG00000031503;0.667;1.0;0.667;0.667;0.2;0.6;0.467;1.0;0.795;0.789;0.78;0.578;0.734;0.681;0.791;0.692;0.725;0.648;0.803
transcript42_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.133;0.933;0.8;0.795;1.0;0.991;0.982;0.78;0.936;0.879;0.989;0.89;0.923;0.846;0.991
transcript7_ENSMUGG00000013649;1.0;1.0;1.0;0.958;0.125;0.917;0.792;0.789;0.991;1.0;0.994;0.783;0.943;0.898;1.0;0.904;0.936;0.841;1.0
transcript44_ENSMUGG00000013649;1.0;1.0;1.0;0.958;0.125;0.917;0.792;0.78;0.982;0.994;1.0;0.787;0.948;0.892;0.994;0.898;0.93;0.834;0.994
transcript47_ENSMUGG00000013649;1.0;1.0;1.0;0.958;0.125;0.917;0.792;0.578;0.78;0.783;0.787;1.0;0.736;0.675;0.777;0.682;0.713;0.618;0.783
transcript48_ENSMUGG00000013649;1.0;1.0;1.0;0.958;0.125;0.917;0.792;0.734;0.936;0.943;0.948;0.736;1.0;0.841;0.943;0.847;0.879;0.783;0.943
transcript7_ENSMUGG00000013592;1.0;1.0;1.0;0.955;0.136;0.909;0.818;0.681;0.879;0.898;0.892;0.675;0.841;1.0;0.898;0.993;0.834;0.739;0.898
transcript28_ENSMUGG00000013592;1.0;1.0;1.0;0.955;0.136;0.909;0.818;0.791;0.989;1.0;0.994;0.777;0.943;0.898;1.0;0.904;0.936;0.841;1.0
transcript52_ENSMUGG00000013592;1.0;1.0;1.0;0.955;0.136;0.909;0.818;0.692;0.89;0.904;0.898;0.682;0.847;0.993;0.904;1.0;0.841;0.745;0.904
transcript53_ENSMUGG00000013592;1.0;1.0;1.0;0.955;0.136;0.909;0.818;0.725;0.923;0.936;0.93;0.713;0.879;0.834;0.936;0.841;1.0;0.777;0.936
transcript54_ENSMUGG00000013592;1.0;1.0;1.0;0.955;0.136;0.909;0.818;0.648;0.846;0.841;0.834;0.618;0.783;0.739;0.841;0.745;0.777;1.0;0.841
transcript25_ENSPEMG00000024651;1.0;1.0;1.0;0.958;0.125;0.917;0.792;0.803;0.991;1.0;0.994;0.783;0.943;0.898;1.0;0.904;0.936;0.841;1.0
