;transcript7_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651
transcript7_MGP-CAROLIEiJ-G0020234;1.0;1.0;1.0;1.0;0.346;0.346;0.346;0.356;0.356;0.216;0.293;0.293;0.31;0.293;0.312;0.31;0.346
transcript57_MGP-CAROLIEiJ-G0020234;1.0;1.0;1.0;1.0;0.309;0.309;0.309;0.318;0.318;0.168;0.253;0.253;0.268;0.253;0.27;0.268;0.309
transcript58_MGP-CAROLIEiJ-G0020234;1.0;1.0;1.0;1.0;0.346;0.346;0.346;0.356;0.356;0.216;0.293;0.293;0.31;0.293;0.312;0.31;0.346
transcript59_MGP-CAROLIEiJ-G0020234;1.0;1.0;1.0;1.0;0.309;0.309;0.309;0.318;0.318;0.168;0.253;0.253;0.268;0.253;0.27;0.268;0.309
transcript7_ENSMUGG00000013649;0.346;0.309;0.346;0.309;1.0;0.986;1.0;0.975;0.975;0.924;0.963;0.963;0.891;0.963;0.929;0.985;0.986
transcript28_ENSMUGG00000013649;0.346;0.309;0.346;0.309;0.986;1.0;0.986;0.961;0.961;0.911;0.978;0.978;0.906;0.978;0.943;1.0;1.0
transcript42_ENSMUGG00000013649;0.346;0.309;0.346;0.309;1.0;0.986;1.0;0.975;0.975;0.924;0.963;0.963;0.891;0.963;0.929;0.985;0.986
transcript7_ENSMUGG00000013592;0.356;0.318;0.356;0.318;0.975;0.961;0.975;1.0;1.0;0.948;0.939;0.939;0.87;0.939;0.904;0.96;0.961
transcript42_ENSMUGG00000013592;0.356;0.318;0.356;0.318;0.975;0.961;0.975;1.0;1.0;0.948;0.939;0.939;0.87;0.939;0.904;0.96;0.961
transcript52_ENSMUGG00000013592;0.216;0.168;0.216;0.168;0.924;0.911;0.924;0.948;0.948;1.0;0.888;0.888;0.818;0.888;0.853;0.909;0.911
transcript7_ENSCGRG00015005362;0.293;0.253;0.293;0.253;0.963;0.978;0.963;0.939;0.939;0.888;1.0;1.0;0.927;1.0;0.965;1.0;0.978
transcript52_ENSCGRG00015005362;0.293;0.253;0.293;0.253;0.963;0.978;0.963;0.939;0.939;0.888;1.0;1.0;0.927;1.0;0.965;1.0;0.978
transcript53_ENSCGRG00015005362;0.31;0.268;0.31;0.268;0.891;0.906;0.891;0.87;0.87;0.818;0.927;0.927;1.0;0.927;0.892;0.927;0.906
transcript54_ENSCGRG00015005362;0.293;0.253;0.293;0.253;0.963;0.978;0.963;0.939;0.939;0.888;1.0;1.0;0.927;1.0;0.965;1.0;0.978
transcript55_ENSCGRG00015005362;0.312;0.27;0.312;0.27;0.929;0.943;0.929;0.904;0.904;0.853;0.965;0.965;0.892;0.965;1.0;0.965;0.943
transcript7_ENSCGRG00000018457;0.31;0.268;0.31;0.268;0.985;1.0;0.985;0.96;0.96;0.909;1.0;1.0;0.927;1.0;0.965;1.0;1.0
transcript7_ENSPEMG00000024651;0.346;0.309;0.346;0.309;0.986;1.0;0.986;0.961;0.961;0.911;0.978;0.978;0.906;0.978;0.943;1.0;1.0
