;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.647;0.692;0.769;0.714;0.786;0.846;0.857;0.692;0.083;0.857;0.5;0.786;0.857;0.5
ENSCAFT00000018912_90_90;0.647;1.0;0.643;0.714;0.786;0.857;0.923;0.929;0.643;0.077;0.929;0.462;0.857;0.929;0.462
ENST00000400304_90_90;0.692;0.643;1.0;0.692;0.643;0.714;0.533;0.667;1.0;0.091;0.714;0.6;0.769;0.714;0.6
ENST00000400305_90_90;0.769;0.714;0.692;1.0;0.769;0.714;0.643;0.786;0.692;0.091;0.786;0.417;0.714;0.786;0.417
ENST00000400308_90_90;0.714;0.786;0.643;0.769;1.0;0.923;0.714;0.857;0.643;0.083;0.857;0.385;0.923;0.857;0.385
ENST00000400309_90_90;0.786;0.857;0.714;0.714;0.923;1.0;0.786;0.929;0.714;0.077;0.929;0.462;1.0;0.929;0.462
ENST00000400310_90_90;0.846;0.923;0.533;0.643;0.714;0.786;1.0;0.857;0.533;0.083;0.857;0.5;0.786;0.857;0.5
ENST00000400314_90_90;0.857;0.929;0.667;0.786;0.857;0.929;0.857;1.0;0.667;0.071;1.0;0.429;0.929;1.0;0.429
ENST00000449640_90_90;0.692;0.643;1.0;0.692;0.643;0.714;0.533;0.667;1.0;0.091;0.714;0.6;0.769;0.714;0.6
ENST00000549265_90_90;0.083;0.077;0.091;0.091;0.083;0.077;0.083;0.071;0.091;1.0;0.071;0.167;0.077;0.071;0.0
ENSMUST00000001148_90_90;0.857;0.929;0.714;0.786;0.857;0.929;0.857;1.0;0.714;0.071;1.0;0.429;0.929;1.0;0.429
ENSMUST00000092393_90_90;0.5;0.462;0.6;0.417;0.385;0.462;0.5;0.429;0.6;0.167;0.429;1.0;0.462;0.429;0.5
ENSMUST00000105411_90_90;0.786;0.857;0.769;0.714;0.923;1.0;0.786;0.929;0.769;0.077;0.929;0.462;1.0;0.929;0.462
ENSMUST00000168465_90_90;0.857;0.929;0.714;0.786;0.857;0.929;0.857;1.0;0.714;0.071;1.0;0.429;0.929;1.0;0.429
ENSMUST00000173854_90_90;0.5;0.462;0.6;0.417;0.385;0.462;0.5;0.429;0.6;0.0;0.429;0.5;0.462;0.429;1.0
