;ENSCAFT00000026865_90_90;ENST00000355560_90_90;ENST00000361168_90_90;ENST00000368361_90_90;ENSMUST00000090927_90_90;ENSMUST00000121212_90_90;ENSMUST00000121931_90_90;ENSMUST00000128318_90_90;ENSMUST00000148265_90_90;ENSMUST00000152205_90_90
ENSCAFT00000026865_90_90;1.0;0.842;0.844;0.846;0.833;0.834;0.836;0.227;0.418;0.095
ENST00000355560_90_90;0.842;1.0;0.998;0.996;1.0;0.998;0.996;0.271;0.499;0.114
ENST00000361168_90_90;0.844;0.998;1.0;0.998;0.998;1.0;0.998;0.273;0.501;0.114
ENST00000368361_90_90;0.846;0.996;0.998;1.0;0.996;0.998;1.0;0.273;0.5;0.114
ENSMUST00000090927_90_90;0.833;1.0;0.998;0.996;1.0;0.998;0.996;0.271;0.498;0.114
ENSMUST00000121212_90_90;0.834;0.998;1.0;0.998;0.998;1.0;0.998;0.273;0.5;0.114
ENSMUST00000121931_90_90;0.836;0.996;0.998;1.0;0.996;0.998;1.0;0.272;0.499;0.113
ENSMUST00000128318_90_90;0.227;0.271;0.273;0.273;0.271;0.273;0.272;1.0;0.545;0.417
ENSMUST00000148265_90_90;0.418;0.499;0.501;0.5;0.498;0.5;0.499;0.545;1.0;0.227
ENSMUST00000152205_90_90;0.095;0.114;0.114;0.114;0.114;0.114;0.113;0.417;0.227;1.0
