;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.746;0.746;1.0;0.978;0.978;0.746;0.978;0.978;0.978;1.0;1.0
transcript7_ENSMUNG00000007775;0.746;1.0;1.0;1.0;0.774;0.774;1.0;0.774;0.774;0.774;0.684;0.672
transcript7_ENSMUNG00000002377;0.746;1.0;1.0;1.0;0.774;0.774;1.0;0.774;0.774;0.774;0.684;0.672
transcript7_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript19_ENSMUNG00000007775;0.978;0.774;0.774;1.0;1.0;1.0;0.774;1.0;1.0;1.0;0.884;0.883
transcript19_ENSMUNG00000002377;0.978;0.774;0.774;1.0;1.0;1.0;0.774;1.0;1.0;1.0;0.884;0.883
transcript22_ENSMUNG00000007775;0.746;1.0;1.0;1.0;0.774;0.774;1.0;0.774;0.774;0.774;0.684;0.672
transcript23_ENSMUNG00000007775;0.978;0.774;0.774;1.0;1.0;1.0;0.774;1.0;1.0;1.0;0.884;0.883
transcript27_ENSMUNG00000002377;0.978;0.774;0.774;1.0;1.0;1.0;0.774;1.0;1.0;1.0;0.884;0.883
transcript28_ENSMUNG00000002377;0.978;0.774;0.774;1.0;1.0;1.0;0.774;1.0;1.0;1.0;0.884;0.883
transcript3_ENSPNYG00000024266;1.0;0.684;0.684;1.0;0.884;0.884;0.684;0.884;0.884;0.884;1.0;1.0
transcript3_ENSXMAG00000026005;1.0;0.672;0.672;1.0;0.883;0.883;0.672;0.883;0.883;0.883;1.0;1.0
