;ENSCAFT00000020369_90_90;ENST00000281171_90_90;ENST00000348962_90_90;ENST00000442921_90_90;ENST00000445537_90_90;ENST00000535311_90_90;ENST00000535322_90_90;ENST00000542557_90_90;ENST00000543886_90_90;ENST00000544244_90_90;ENSMUST00000077115_90_90;ENSMUST00000167002_90_90;ENSMUST00000167679_90_90;ENSMUST00000203914_90_90
ENSCAFT00000020369_90_90;1.0;0.998;0.975;0.332;0.332;0.072;0.094;0.309;0.486;0.309;0.991;0.333;0.968;0.31
ENST00000281171_90_90;0.998;1.0;0.977;0.333;0.333;0.072;0.095;0.31;0.486;0.31;0.99;0.332;0.967;0.309
ENST00000348962_90_90;0.975;0.977;1.0;0.31;0.31;0.074;0.097;0.317;0.497;0.317;0.967;0.309;0.989;0.317
ENST00000442921_90_90;0.332;0.333;0.31;1.0;1.0;0.026;0.285;0.931;0.001;0.931;0.33;0.997;0.307;0.928
ENST00000445537_90_90;0.332;0.333;0.31;1.0;1.0;0.026;0.285;0.931;0.001;0.931;0.33;0.997;0.307;0.928
ENST00000535311_90_90;0.072;0.072;0.074;0.026;0.026;1.0;0.0;0.028;0.0;0.028;0.071;0.026;0.073;0.028
ENST00000535322_90_90;0.094;0.095;0.097;0.285;0.285;0.0;1.0;0.307;0.0;0.307;0.094;0.283;0.096;0.304
ENST00000542557_90_90;0.309;0.31;0.317;0.931;0.931;0.028;0.307;1.0;0.001;1.0;0.307;0.928;0.314;0.996
ENST00000543886_90_90;0.486;0.486;0.497;0.001;0.001;0.0;0.0;0.001;1.0;0.001;0.482;0.001;0.493;0.001
ENST00000544244_90_90;0.309;0.31;0.317;0.931;0.931;0.028;0.307;1.0;0.001;1.0;0.307;0.928;0.314;0.996
ENSMUST00000077115_90_90;0.991;0.99;0.967;0.33;0.33;0.071;0.094;0.307;0.482;0.307;1.0;0.33;0.977;0.308
ENSMUST00000167002_90_90;0.333;0.332;0.309;0.997;0.997;0.026;0.283;0.928;0.001;0.928;0.33;1.0;0.308;0.931
ENSMUST00000167679_90_90;0.968;0.967;0.989;0.307;0.307;0.073;0.096;0.314;0.493;0.314;0.977;0.308;1.0;0.315
ENSMUST00000203914_90_90;0.31;0.309;0.317;0.928;0.928;0.028;0.304;0.996;0.001;0.996;0.308;0.931;0.315;1.0
