;ENSBTAT00000020514_98;ENSBTAT00000074331_98;ENSBTAT00000034148_98;ENSCAFT00000023844_98;ENSCAFT00000031802_98;ENSCAFT00000088467_98;ENSCAFT00020032516_98;ENSCAFT00020034974_98;ENSCAFT00020034975_98;ENST00000372480_98;ENST00000372481_98;ENST00000372483_98;ENST00000372486_98;ENST00000459968_98;ENST00000481189_98;ENST00000482347_98;ENST00000611055_98;ENST00000613644_98;ENST00000617943_98;ENST00000439373_98;ENSGALT00000085663_98;ENSGALT00000089974_98;ENSGALT00000105253_98;ENSMUST00000041830_98;ENSMUST00000127566_98;ENSMUST00000128303_98;ENSMUST00000129712_98;ENSMUST00000138889_98;ENSMUST00000143970_98;ENSMUST00000152374_98;ENSMUST00000159679_98;ENSMUST00000160495_98
ENSBTAT00000020514_98;1.0;1.0;0.899;0.608;1.0;0.955;0.899;0.458;0.996;0.427;0.427;0.427;0.427;0.599;0.274;0.07;0.427;0.427;0.07;0.889;0.952;0.952;0.587;0.611;0.559;0.495;0.42;0.42;0.613;0.627;0.907;0.0
ENSBTAT00000074331_98;1.0;1.0;0.899;0.608;1.0;0.955;0.899;0.458;0.996;0.427;0.427;0.427;0.427;0.599;0.274;0.07;0.427;0.427;0.07;0.889;0.952;0.952;0.587;0.611;0.559;0.495;0.42;0.42;0.613;0.627;0.907;0.0
ENSBTAT00000034148_98;0.899;0.899;1.0;0.634;0.836;0.878;1.0;0.546;0.815;0.402;0.34;0.402;0.402;0.59;0.197;0.097;0.402;0.402;0.097;0.939;0.851;0.851;0.677;0.622;0.543;0.498;0.425;0.425;0.504;0.543;0.885;0.088
ENSCAFT00000023844_98;0.608;0.608;0.634;1.0;0.61;0.603;0.634;0.428;0.344;0.661;0.314;0.661;0.661;0.0;0.158;0.556;0.661;0.661;0.556;0.632;0.557;0.557;0.0;0.732;0.368;0.28;0.258;0.258;0.501;0.482;0.568;0.0
ENSCAFT00000031802_98;1.0;1.0;0.836;0.61;1.0;0.889;0.836;0.458;0.996;0.427;0.427;0.427;0.427;0.599;0.274;0.07;0.427;0.427;0.07;0.799;0.952;0.952;0.31;0.611;0.559;0.495;0.42;0.42;0.613;0.627;0.842;0.0
ENSCAFT00000088467_98;0.955;0.955;0.878;0.603;0.889;1.0;0.878;0.443;0.951;0.417;0.414;0.417;0.417;0.58;0.267;0.069;0.417;0.417;0.069;0.901;0.91;0.91;0.605;0.601;0.548;0.485;0.413;0.413;0.6;0.615;0.876;0.014
ENSCAFT00020032516_98;0.899;0.899;1.0;0.634;0.836;0.878;1.0;0.546;0.815;0.402;0.34;0.402;0.402;0.59;0.197;0.097;0.402;0.402;0.097;0.939;0.851;0.851;0.677;0.622;0.543;0.498;0.425;0.425;0.504;0.543;0.885;0.088
ENSCAFT00020034974_98;0.458;0.458;0.546;0.428;0.458;0.443;0.546;1.0;0.373;0.439;0.289;0.439;0.439;0.548;0.17;0.221;0.439;0.439;0.221;0.542;0.49;0.49;0.569;0.146;0.0;0.0;0.0;0.0;0.0;0.0;0.455;0.0
ENSCAFT00020034975_98;0.996;0.996;0.815;0.344;0.996;0.951;0.815;0.373;1.0;0.374;0.4;0.374;0.374;0.558;0.274;0.081;0.374;0.374;0.081;0.816;0.946;0.946;0.569;0.52;0.54;0.477;0.402;0.402;0.613;0.628;0.867;0.0
ENST00000372480_98;0.427;0.427;0.402;0.661;0.427;0.417;0.402;0.439;0.374;1.0;0.629;1.0;1.0;0.153;0.328;0.631;1.0;1.0;0.631;0.402;0.325;0.325;0.56;0.625;0.049;0.0;0.0;0.0;0.269;0.23;0.316;0.0
ENST00000372481_98;0.427;0.427;0.34;0.314;0.427;0.414;0.34;0.289;0.4;0.629;1.0;0.629;0.629;0.217;0.522;0.261;0.629;0.629;0.261;0.34;0.342;0.342;0.574;0.376;0.072;0.0;0.0;0.0;0.403;0.341;0.327;0.0
ENST00000372483_98;0.427;0.427;0.402;0.661;0.427;0.417;0.402;0.439;0.374;1.0;0.629;1.0;1.0;0.153;0.328;0.631;1.0;1.0;0.631;0.402;0.325;0.325;0.56;0.625;0.049;0.0;0.0;0.0;0.269;0.23;0.316;0.0
ENST00000372486_98;0.427;0.427;0.402;0.661;0.427;0.417;0.402;0.439;0.374;1.0;0.629;1.0;1.0;0.153;0.328;0.631;1.0;1.0;0.631;0.402;0.325;0.325;0.56;0.625;0.049;0.0;0.0;0.0;0.269;0.23;0.316;0.0
ENST00000459968_98;0.599;0.599;0.59;0.0;0.599;0.58;0.59;0.548;0.558;0.153;0.217;0.153;0.153;1.0;0.193;0.0;0.153;0.153;0.0;0.59;0.711;0.711;0.586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.661;0.0
ENST00000481189_98;0.274;0.274;0.197;0.158;0.274;0.267;0.197;0.17;0.274;0.328;0.522;0.328;0.328;0.193;1.0;0.028;0.328;0.328;0.028;0.197;0.246;0.246;0.461;0.22;0.126;0.0;0.0;0.0;0.494;0.475;0.217;0.0
