;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;1.0;0.941;1.0;0.529;0.235;0.941;0.941;0.588;0.765;0.059;0.765;0.882;1.0;0.059;0.944;0.944;0.444;1.0;0.056;0.111
ENST00000283256_90_90;1.0;1.0;0.889;1.0;0.529;0.222;0.889;0.889;0.556;0.722;0.056;0.722;0.882;1.0;0.056;0.889;0.889;0.471;1.0;0.059;0.118
ENST00000375427_90_90;0.941;0.889;1.0;0.889;0.444;0.158;1.0;1.0;0.474;0.632;0.056;0.632;0.778;0.889;0.056;1.0;1.0;0.389;0.889;0.059;0.118
ENST00000375437_90_90;1.0;1.0;0.889;1.0;0.529;0.222;0.889;0.889;0.556;0.722;0.056;0.722;0.882;1.0;0.056;0.889;0.889;0.471;1.0;0.059;0.118
ENST00000424833_90_90;0.529;0.529;0.444;0.529;1.0;0.4;0.444;0.444;0.667;0.643;0.1;0.643;0.412;0.529;0.1;0.444;0.444;0.889;0.529;0.0;0.0
ENST00000486878_90_90;0.235;0.222;0.158;0.222;0.4;1.0;0.158;0.158;0.231;0.267;0.0;0.267;0.25;0.222;0.0;0.167;0.167;0.5;0.235;0.0;0.0
ENST00000631182_90_90;0.941;0.889;1.0;0.889;0.444;0.158;1.0;1.0;0.474;0.632;0.056;0.632;0.778;0.889;0.056;1.0;1.0;0.389;0.889;0.059;0.118
ENST00000636071_90_90;0.941;0.889;1.0;0.889;0.444;0.158;1.0;1.0;0.474;0.632;0.056;0.632;0.778;0.889;0.056;1.0;1.0;0.389;0.889;0.059;0.118
ENST00000636135_90_90;0.588;0.556;0.474;0.556;0.667;0.231;0.474;0.474;1.0;0.667;0.083;0.667;0.444;0.556;0.083;0.5;0.5;0.636;0.588;0.0;0.0
ENST00000636384_90_90;0.765;0.722;0.632;0.722;0.643;0.267;0.632;0.632;0.667;1.0;0.067;0.867;0.611;0.722;0.067;0.667;0.667;0.615;0.765;0.0;0.0
ENST00000636662_90_90;0.059;0.056;0.056;0.056;0.1;0.0;0.056;0.056;0.083;0.067;1.0;0.067;0.0;0.056;1.0;0.059;0.059;0.125;0.059;0.0;0.0
ENST00000636769_90_90;0.765;0.722;0.632;0.722;0.643;0.267;0.632;0.632;0.667;0.867;0.067;1.0;0.611;0.722;0.067;0.667;0.667;0.615;0.765;0.0;0.0
ENST00000636985_90_90;0.882;0.882;0.778;0.882;0.412;0.25;0.778;0.778;0.444;0.611;0.0;0.611;1.0;0.882;0.0;0.778;0.778;0.353;0.882;0.067;0.133
ENST00000637266_90_90;1.0;1.0;0.889;1.0;0.529;0.222;0.889;0.889;0.556;0.722;0.056;0.722;0.882;1.0;0.056;0.889;0.889;0.471;1.0;0.059;0.118
ENST00000637367_90_90;0.059;0.056;0.056;0.056;0.1;0.0;0.056;0.056;0.083;0.067;1.0;0.067;0.0;0.056;1.0;0.059;0.059;0.125;0.059;0.0;0.0
ENSMUST00000028377_90_90;0.944;0.889;1.0;0.889;0.444;0.167;1.0;1.0;0.5;0.667;0.059;0.667;0.778;0.889;0.059;1.0;1.0;0.368;0.895;0.053;0.105
ENSMUST00000100067_90_90;0.944;0.889;1.0;0.889;0.444;0.167;1.0;1.0;0.5;0.667;0.059;0.667;0.778;0.889;0.059;1.0;1.0;0.368;0.895;0.053;0.105
ENSMUST00000144254_90_90;0.444;0.471;0.389;0.471;0.889;0.5;0.389;0.389;0.636;0.615;0.125;0.615;0.353;0.471;0.125;0.368;0.368;1.0;0.444;0.0;0.0
ENSMUST00000200829_90_90;1.0;1.0;0.889;1.0;0.529;0.235;0.889;0.889;0.588;0.765;0.059;0.765;0.882;1.0;0.059;0.895;0.895;0.444;1.0;0.053;0.105
ENSMUST00000202162_90_90;0.056;0.059;0.059;0.059;0.0;0.0;0.059;0.059;0.0;0.0;0.0;0.0;0.067;0.059;0.0;0.053;0.053;0.0;0.053;1.0;0.667
ENSMUST00000202508_90_90;0.111;0.118;0.118;0.118;0.0;0.0;0.118;0.118;0.0;0.0;0.0;0.0;0.133;0.118;0.0;0.105;0.105;0.0;0.105;0.667;1.0
