;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.966;0.342;0.641;0.184;0.998;0.942;0.868;1.0;0.971;0.588
ENST00000222597_90_90;0.966;1.0;0.361;0.591;0.244;0.972;0.932;0.827;0.966;0.998;0.604
ENST00000415884_90_90;0.342;0.361;1.0;0.298;0.55;0.389;0.308;0.395;0.342;0.309;0.425
ENST00000420796_90_90;0.641;0.591;0.298;1.0;0.107;0.618;0.607;0.571;0.641;0.608;0.449
ENST00000432748_90_90;0.184;0.244;0.55;0.107;1.0;0.235;0.15;0.213;0.184;0.193;0.249
ENST00000440859_90_90;0.998;0.972;0.389;0.618;0.235;1.0;0.964;0.859;0.998;0.966;0.587
ENSMUST00000064240_90_90;0.942;0.932;0.308;0.607;0.15;0.964;1.0;0.809;0.942;0.912;0.621
ENSMUST00000085487_90_90;0.868;0.827;0.395;0.571;0.213;0.859;0.809;1.0;0.868;0.839;0.68
ENSMUST00000101499_90_90;1.0;0.966;0.342;0.641;0.184;0.998;0.942;0.868;1.0;0.971;0.588
ENSMUST00000185739_90_90;0.971;0.998;0.309;0.608;0.193;0.966;0.912;0.839;0.971;1.0;0.604
ENSMUST00000188326_90_90;0.588;0.604;0.425;0.449;0.249;0.587;0.621;0.68;0.588;0.604;1.0
