;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript18_ENSPCIG00000036398;1.0;0.9;0.804;0.804;0.804;0.804;0.8;0.812;1.0;1.0;0.915;0.915;0.909;0.794;0.078;0.059;0.078;0.909;0.909;0.909;0.909;0.909;0.909;0.891;0.794
transcript8_ENSMUNG00000002377;0.9;1.0;0.917;0.917;0.917;0.917;0.877;0.893;0.9;0.9;1.0;1.0;1.0;0.906;0.065;0.052;0.065;1.0;1.0;1.0;1.0;1.0;1.0;0.987;0.905
transcript23_ENSMUNG00000002377;0.804;0.917;1.0;1.0;0.976;0.976;0.982;1.0;0.804;0.804;1.0;1.0;0.917;0.988;0.065;0.052;0.065;1.0;1.0;1.0;1.0;1.0;1.0;0.987;0.988
transcript15_ENSMUNG00000002377;0.804;0.917;1.0;1.0;0.976;0.976;0.982;1.0;0.804;0.804;1.0;1.0;0.917;0.988;0.065;0.052;0.065;1.0;1.0;1.0;1.0;1.0;1.0;0.987;0.988
transcript16_ENSMUNG00000002377;0.804;0.917;0.976;0.976;1.0;0.976;0.982;0.965;0.804;0.804;1.0;1.0;0.917;0.988;0.065;0.052;0.065;1.0;1.0;1.0;1.0;1.0;1.0;0.987;0.988
transcript22_ENSMUNG00000002377;0.804;0.917;0.976;0.976;0.976;1.0;0.982;0.965;0.804;0.804;1.0;1.0;0.917;0.988;0.065;0.052;0.065;1.0;1.0;1.0;1.0;1.0;1.0;0.987;0.988
transcript3_ENSPCIG00000036398;0.8;0.877;0.982;0.982;0.982;0.982;1.0;0.985;0.8;0.8;1.0;1.0;0.873;1.0;0.091;0.073;0.091;1.0;1.0;1.0;1.0;1.0;1.0;0.982;1.0
transcript15_ENSPCIG00000036398;0.812;0.893;1.0;1.0;0.965;0.965;0.985;1.0;0.812;0.812;1.0;1.0;0.887;0.984;0.091;0.073;0.091;1.0;1.0;1.0;1.0;1.0;1.0;0.982;0.984
transcript7_ENSPCIG00000036398;1.0;0.9;0.804;0.804;0.804;0.804;0.8;0.812;1.0;1.0;0.915;0.915;0.909;0.794;0.078;0.059;0.078;0.909;0.909;0.909;0.909;0.909;0.909;0.891;0.794
transcript8_ENSPCIG00000036398;1.0;0.9;0.804;0.804;0.804;0.804;0.8;0.812;1.0;1.0;0.915;0.915;0.909;0.794;0.078;0.059;0.078;0.909;0.909;0.909;0.909;0.909;0.909;0.891;0.794
transcript7_ENSHGLG00100006079;0.915;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.915;0.915;1.0;1.0;1.0;1.0;0.074;0.059;0.074;1.0;1.0;1.0;1.0;1.0;1.0;0.985;1.0
transcript10_ENSHGLG00100006079;0.915;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.915;0.915;1.0;1.0;1.0;1.0;0.074;0.059;0.074;1.0;1.0;1.0;1.0;1.0;1.0;0.985;1.0
transcript10_ENSMUNG00000002391;0.909;1.0;0.917;0.917;0.917;0.917;0.873;0.887;0.909;0.909;1.0;1.0;1.0;0.897;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.896
transcript3_ENSMUNG00000002391;0.794;0.906;0.988;0.988;0.988;0.988;1.0;0.984;0.794;0.794;1.0;1.0;0.897;1.0;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;1.0
transcript11_ENSHGLG00000019563;0.078;0.065;0.065;0.065;0.065;0.065;0.091;0.091;0.078;0.078;0.074;0.074;0.057;0.057;1.0;0.8;1.0;0.057;0.057;0.057;0.057;0.057;0.057;0.046;0.058
transcript26_ENSHGLG00000019563;0.059;0.052;0.052;0.052;0.052;0.052;0.073;0.073;0.059;0.059;0.059;0.059;0.046;0.046;0.8;1.0;0.8;0.046;0.046;0.046;0.046;0.046;0.046;0.034;0.047
transcript27_ENSHGLG00000019563;0.078;0.065;0.065;0.065;0.065;0.065;0.091;0.091;0.078;0.078;0.074;0.074;0.057;0.057;1.0;0.8;1.0;0.057;0.057;0.057;0.057;0.057;0.057;0.046;0.058
transcript8_ENSHGLG00100003156;0.909;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.909;0.909;1.0;1.0;1.0;1.0;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;1.0
transcript10_ENSHGLG00100003156;0.909;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.909;0.909;1.0;1.0;1.0;1.0;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;1.0
transcript20_ENSHGLG00100003156;0.909;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.909;0.909;1.0;1.0;1.0;1.0;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;1.0
transcript8_ENSHGLG00000019563;0.909;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.909;0.909;1.0;1.0;1.0;1.0;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;1.0
transcript10_ENSHGLG00000019563;0.909;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.909;0.909;1.0;1.0;1.0;1.0;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;1.0
transcript13_ENSHGLG00000019563;0.909;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.909;0.909;1.0;1.0;1.0;1.0;0.057;0.046;0.057;1.0;1.0;1.0;1.0;1.0;1.0;0.989;1.0
transcript28_ENSHGLG00000019563;0.891;0.987;0.987;0.987;0.987;0.987;0.982;0.982;0.891;0.891;0.985;0.985;0.989;0.989;0.046;0.034;0.046;0.989;0.989;0.989;0.989;0.989;0.989;1.0;0.988
transcript3_ENSMUNG00000007775;0.794;0.905;0.988;0.988;0.988;0.988;1.0;0.984;0.794;0.794;1.0;1.0;0.896;1.0;0.058;0.047;0.058;1.0;1.0;1.0;1.0;1.0;1.0;0.988;1.0
