;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.869;0.946;0.873;1.0;1.0;1.0;1.0;1.0;1.0;0.918;1.0;1.0
transcript47_ENSRNOG00000031503;0.869;1.0;1.0;1.0;0.946;0.945;0.873;0.873;0.919;0.869;0.946;0.869;0.869
transcript47_ENSMUGG00000013649;0.946;1.0;1.0;1.0;0.955;0.954;0.945;0.945;0.957;0.955;0.97;0.955;0.955
transcript47_ENSPEMG00000024651;0.873;1.0;1.0;1.0;0.945;0.944;0.881;0.881;0.917;0.881;0.945;0.881;0.881
transcript20_ENSMUGG00000013649;1.0;0.946;0.955;0.945;1.0;1.0;1.0;1.0;1.0;1.0;0.985;1.0;1.0
transcript20_ENSMUGG00000013592;1.0;0.945;0.954;0.944;1.0;1.0;1.0;1.0;1.0;1.0;0.985;1.0;1.0
transcript19_ENSPEMG00000024651;1.0;0.873;0.945;0.881;1.0;1.0;1.0;1.0;1.0;1.0;0.932;1.0;1.0
transcript38_ENSPEMG00000024651;1.0;0.873;0.945;0.881;1.0;1.0;1.0;1.0;1.0;1.0;0.932;1.0;1.0
transcript27_ENSNGAG00000018584;1.0;0.919;0.957;0.917;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;1.0;0.869;0.955;0.881;1.0;1.0;1.0;1.0;1.0;1.0;0.918;1.0;1.0
transcript24_ENSSTOG00000019743;0.918;0.946;0.97;0.945;0.985;0.985;0.932;0.932;1.0;0.918;1.0;0.918;0.918
transcript25_ENSSTOG00000019743;1.0;0.869;0.955;0.881;1.0;1.0;1.0;1.0;1.0;1.0;0.918;1.0;1.0
transcript32_ENSSTOG00000019743;1.0;0.869;0.955;0.881;1.0;1.0;1.0;1.0;1.0;1.0;0.918;1.0;1.0
