;ENSCAFT00000017386_90_90;ENST00000233892_90_90;ENST00000323303_90_90;ENST00000409355_90_90;ENST00000409360_90_90;ENST00000409916_90_90;ENST00000417097_90_90;ENST00000448447_90_90;ENSMUST00000027122_90_90;ENSMUST00000159311_90_90;ENSMUST00000161122_90_90;ENSMUST00000162364_90_90;ENSMUST00000162553_90_90
ENSCAFT00000017386_90_90;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000233892_90_90;0.0;;;;;;;;0.468;0.832;0.113;0.804;0.927
ENST00000323303_90_90;0.0;;;;;;;;0.478;0.683;0.158;0.774;0.748
ENST00000409355_90_90;0.0;;;;;;;;0.0;0.219;0.084;0.179;0.241
ENST00000409360_90_90;0.0;;;;;;;;0.468;0.832;0.113;0.804;0.927
ENST00000409916_90_90;0.0;;;;;;;;0.469;0.42;0.0;0.364;0.364
ENST00000417097_90_90;0.0;;;;;;;;0.141;0.046;0.403;0.158;0.121
ENST00000448447_90_90;0.0;;;;;;;;0.378;0.81;0.046;0.683;0.766
ENSMUST00000027122_90_90;0.0;0.468;0.478;0.0;0.468;0.469;0.141;0.378;;;;;
ENSMUST00000159311_90_90;0.0;0.832;0.683;0.219;0.832;0.42;0.046;0.81;;;;;
ENSMUST00000161122_90_90;0.0;0.113;0.158;0.084;0.113;0.0;0.403;0.046;;;;;
ENSMUST00000162364_90_90;0.0;0.804;0.774;0.179;0.804;0.364;0.158;0.683;;;;;
ENSMUST00000162553_90_90;0.0;0.927;0.748;0.241;0.927;0.364;0.121;0.766;;;;;
