;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.221;0.211;0.25;0.225;0.111;0.111;0.111;0.115;0.122;0.128;0.105;0.085;0.112;0.0;0.094;0.21;0.194;0.0;0.211;0.195;0.195;0.183;0.068;0.133;0.124;0.17;0.126;0.068;0.138;0.166;0.126;0.147;0.085;0.0;0.0;0.0;0.112;0.088;0.084;0.116;0.094;0.096;0.246;0.194;0.211;0.123;0.111;0.0;0.123;0.0;0.0;0.111;0.0;0.212;0.226;0.226;0.226;0.226;0.226;0.133;0.226;0.004;0.013
ENSCAFT00000013439_90_90;0.221;1.0;0.849;0.535;0.768;0.55;0.55;0.55;0.503;0.576;0.524;0.127;0.515;0.56;0.132;0.535;0.71;0.799;0.194;0.769;0.096;0.096;0.103;0.06;0.164;0.124;0.119;0.109;0.06;0.157;0.064;0.134;0.151;0.515;0.041;0.07;0.149;0.56;0.466;0.513;0.513;0.535;0.357;0.71;0.799;0.769;0.579;0.553;0.08;0.579;0.259;0.04;0.553;0.031;0.103;0.096;0.096;0.096;0.096;0.096;0.163;0.096;0.004;0.017
ENSCAFT00000037016_90_90;0.211;0.849;1.0;0.557;0.757;0.587;0.587;0.588;0.538;0.62;0.564;0.138;0.547;0.599;0.143;0.572;0.769;0.864;0.213;0.903;0.05;0.05;0.053;0.086;0.086;0.091;0.062;0.093;0.086;0.081;0.018;0.089;0.078;0.547;0.044;0.077;0.161;0.599;0.495;0.547;0.548;0.572;0.378;0.769;0.864;0.903;0.624;0.591;0.087;0.624;0.28;0.044;0.591;0.034;0.053;0.05;0.05;0.05;0.05;0.05;0.086;0.05;0.005;0.018
ENSCAFT00000021145_90_90;0.25;0.535;0.557;1.0;0.517;0.56;0.56;0.56;0.513;0.457;0.409;0.098;0.596;0.569;0.275;0.482;0.53;0.554;0.21;0.559;0.073;0.073;0.069;0.041;0.066;0.055;0.067;0.056;0.041;0.066;0.053;0.058;0.065;0.596;0.134;0.106;0.292;0.569;0.549;0.595;0.526;0.482;0.444;0.58;0.554;0.559;0.459;0.563;0.114;0.459;0.401;0.139;0.563;0.096;0.08;0.086;0.086;0.086;0.086;0.086;0.066;0.086;0.003;0.005
ENSCAFT00000025193_90_90;0.225;0.768;0.757;0.517;1.0;0.599;0.599;0.6;0.554;0.668;0.616;0.142;0.541;0.61;0.138;0.6;0.708;0.791;0.225;0.816;0.097;0.097;0.104;0.081;0.163;0.166;0.119;0.151;0.081;0.154;0.067;0.168;0.149;0.541;0.008;0.109;0.153;0.61;0.494;0.541;0.564;0.6;0.389;0.708;0.791;0.816;0.672;0.603;0.118;0.672;0.255;0.015;0.603;0.0;0.104;0.097;0.097;0.097;0.097;0.097;0.163;0.097;0.004;0.015
ENST00000302271_90_90;0.111;0.55;0.587;0.56;0.599;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.838;0.971;0.286;0.695;0.55;0.6;0.21;0.587;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.825;0.136;0.106;0.295;0.957;0.772;0.827;0.903;0.695;0.655;0.55;0.6;0.587;0.835;0.994;0.114;0.835;0.424;0.16;0.994;0.116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374612_90_90;0.111;0.55;0.587;0.56;0.599;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.838;0.971;0.286;0.695;0.55;0.6;0.21;0.587;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.825;0.136;0.106;0.295;0.957;0.772;0.827;0.903;0.695;0.655;0.55;0.6;0.587;0.835;0.994;0.114;0.835;0.424;0.16;0.994;0.116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374616_90_90;0.111;0.55;0.588;0.56;0.6;0.995;0.995;1.0;0.936;0.841;0.777;0.214;0.837;0.97;0.285;0.695;0.55;0.601;0.209;0.588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.825;0.136;0.105;0.294;0.957;0.772;0.827;0.903;0.695;0.652;0.55;0.601;0.588;0.835;0.994;0.114;0.835;0.425;0.159;0.994;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000427764_90_90;0.115;0.503;0.538;0.513;0.554;0.94;0.94;0.936;1.0;0.777;0.83;0.228;0.779;0.911;0.226;0.636;0.503;0.549;0.154;0.538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.767;0.145;0.06;0.236;0.898;0.714;0.768;0.844;0.636;0.596;0.503;0.549;0.538;0.775;0.934;0.054;0.775;0.364;0.17;0.934;0.123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000478691_90_90;0.122;0.576;0.62;0.457;0.668;0.836;0.836;0.841;0.777;1.0;0.923;0.254;0.698;0.829;0.137;0.823;0.63;0.697;0.243;0.679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.698;0.0;0.125;0.155;0.829;0.644;0.699;0.774;0.823;0.522;0.63;0.697;0.679;0.993;0.835;0.135;0.993;0.266;0.001;0.835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
