;nº dataset;splicing_orthologs
1;1;"transcript16_ggor:0;transcript17_ggor:0;transcript12_ppan:0;transcript20_ppan:0;transcript12_ptro:0;transcript12_hsap:0;transcript12_ggor:0;transcript8_pabe:0;transcript21_hsap:0;transcript11_ggor:1;transcript18_hsap:1;transcript18_ggor:1;transcript19_ppan:2;transcript19_ggor:2;transcript19_hsap:2;transcript20_hsap:3"
2;2;"transcript9_ptro:0;transcript11_hsap:0;transcript11_ggor:0;transcript13_hsap:0;transcript31_hsap:0;transcript18_pabe:0;transcript8_pabe:0;transcript12_ggor:0"
3;3;"transcript0_ppan:0;transcript0_ptro:0;transcript0_pabe:0;transcript0_ggor:0;transcript0_hsap:0"
4;4;"transcript9_ppan:0;transcript10_ppan:0;transcript15_ppan:0;transcript9_ptro:0;transcript10_ptro:0;transcript17_ptro:0;transcript18_ggor:0;transcript14_ggor:0;transcript10_ggor:0;transcript9_ggor:0;transcript10_hsap:0;transcript17_ggor:1"
5;5;"transcript24_ENSAPOG00000023408:0;transcript7_ENSAPOG00000023408:0;transcript22_ENSHGLG00100006079:1;transcript17_ENSAPOG00000016134:1;transcript10_ENSHGLG00100003156:1;transcript20_ENSAPOG00000016134:1;transcript17_ENSHGLG00100003156:1;transcript17_ENSHGLG00000019563:1;transcript22_ENSAPOG00000023408:1;transcript22_ENSMUNG00000002391:1;transcript10_ENSAPOG00000016134:1;transcript23_ENSAPOG00000023408:2;transcript12_ENSAPOG00000023408:3;transcript12_ENSAPOG00000016134:3;transcript0_ENSHGLG00100006079:4;transcript0_ENSPNYG00000024266:4;transcript0_ENSMUNG00000002391:4;transcript0_ENSXMAG00000026005:4;transcript8_ENSAPOG00000016134:4;transcript21_ENSMUNG00000002391:5;transcript21_ENSHGLG00100006079:5;transcript20_ENSHGLG00100006079:5;transcript13_ENSHGLG00100006079:5;transcript20_ENSHGLG00100003156:5;transcript25_ENSHGLG00000019563:5;transcript13_ENSHGLG00000019563:5;transcript26_ENSHGLG00000019563:6;transcript27_ENSHGLG00000019563:7"
6;6;"transcript6_ENSPCIG00000036398:0;transcript16_ENSMUNG00000007775:0;transcript23_ENSMUNG00000007775:0;transcript16_ENSMUNG00000002377:0;transcript10_ENSMUNG00000002391:0;transcript2_ENSHGLG00100006079:0;transcript2_ENSXMAG00000026005:0;transcript9_ENSXMAG00000026005:0;transcript10_ENSXMAG00000026005:0;transcript7_ENSPCIG00000036398:1;transcript7_ENSXMAG00000026005:1;transcript8_ENSXMAG00000026005:2;transcript7_ENSMUNG00000007775:2;transcript8_ENSHGLG00100006079:2"
7;7;"transcript10_ENSHGLG00100006079:0;transcript7_ENSPCIG00000036398:0;transcript8_ENSPCIG00000036398:0;transcript11_ENSHGLG00000019563:0;transcript27_ENSHGLG00000019563:0;transcript18_ENSPCIG00000036398:0;transcript26_ENSHGLG00000019563:0;transcript7_ENSHGLG00100006079:0;transcript10_ENSHGLG00000019563:1;transcript13_ENSHGLG00000019563:1;transcript8_ENSHGLG00100003156:1;transcript8_ENSHGLG00000019563:1;transcript20_ENSHGLG00100003156:1;transcript10_ENSHGLG00100003156:1;transcript10_ENSMUNG00000002391:1;transcript8_ENSMUNG00000002377:1;transcript15_ENSPCIG00000036398:2;transcript22_ENSMUNG00000002377:2;transcript3_ENSMUNG00000007775:2;transcript3_ENSMUNG00000002391:2;transcript3_ENSPCIG00000036398:2;transcript15_ENSMUNG00000002377:2;transcript23_ENSMUNG00000002377:2;transcript16_ENSMUNG00000002377:2;transcript28_ENSHGLG00000019563:3"
8;8;"transcript8_ENSAPOG00000023408:0;transcript8_ENSAOCG00000015695:0;transcript42_ENSAPOG00000023408:1;transcript26_ENSAOCG00000015695:2;transcript7_ENSAPOG00000016134:3;transcript7_ENSAPOG00000023408:3;transcript25_ENSAOCG00000015695:4;transcript27_ENSAPOG00000016134:4;transcript27_ENSAPOG00000023408:4;transcript1_ENSAOCG00000015695:5;transcript33_ENSAPOG00000016134:5;transcript22_ENSPNYG00000024266:5;transcript35_ENSAPOG00000016134:6;transcript36_ENSAPOG00000016134:7;transcript37_ENSAOCG00000015695:8;transcript37_ENSAPOG00000016134:8;transcript38_ENSAOCG00000015695:9;transcript38_ENSAPOG00000016134:9;transcript40_ENSAPOG00000023408:10;transcript30_ENSAPOG00000023408:10;transcript32_ENSAPOG00000016134:11;transcript32_ENSAPOG00000023408:11;transcript41_ENSAPOG00000023408:12;transcript43_ENSAPOG00000023408:13;transcript36_ENSAOCG00000015695:14"
9;9;"transcript9_ENSMUNG00000002377:0;transcript31_ENSMUNG00000007775:0;transcript9_ENSMUNG00000007775:0;transcript33_ENSMUNG00000007775:0;transcript33_ENSMUNG00000002391:0;transcript25_ENSMUNG00000007775:1;transcript37_ENSMUNG00000002377:2;transcript38_ENSMUNG00000002377:2;transcript36_ENSMUNG00000002377:3;transcript30_ENSMUNG00000007775:3;transcript30_ENSMUNG00000002391:3;transcript35_ENSMUNG00000002377:4;transcript27_ENSMUNG00000002377:4;transcript21_ENSMUNG00000007775:5;transcript23_ENSMUNG00000007775:6;transcript23_ENSMUNG00000002377:6;transcript26_ENSMUNG00000007775:6;transcript23_ENSMUNG00000002391:6;transcript32_ENSMUNG00000007775:7;transcript13_ENSMUNG00000002377:8;transcript10_ENSMUNG00000002391:9"
10;10;"transcript5_ENSHGLG00100006079:0;transcript5_ENSHGLG00100003156:0;transcript18_ENSHGLG00100003156:0;transcript5_ENSPCIG00000036398:0;transcript7_ENSXMAG00000026005:0;transcript5_ENSXMAG00000026005:0;transcript34_ENSHGLG00100003156:1;transcript35_ENSHGLG00100003156:2;transcript30_ENSHGLG00100006079:2;transcript36_ENSHGLG00100003156:3;transcript33_ENSHGLG00100003156:4"
