;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.721;0.736;0.85;0.85;0.843;0.619;0.696;0.826;0.696;0.71;0.682;0.857;0.841;0.857
transcript1_ENSSTOG00000019743;0.721;1.0;0.731;0.621;0.621;0.62;0.848;0.954;0.818;0.954;0.703;0.939;0.851;0.841;0.851
transcript1_ENSCCNG00000000226;0.736;0.731;1.0;0.625;0.625;0.619;0.622;0.703;0.828;0.703;0.955;0.692;0.861;0.848;0.861
transcript10_ENSMLUG00000027828;0.85;0.621;0.625;1.0;1.0;0.992;0.717;0.645;0.76;0.645;0.65;0.631;0.726;0.71;0.726
transcript16_ENSMLUG00000027828;0.85;0.621;0.625;1.0;1.0;0.992;0.717;0.645;0.76;0.645;0.65;0.631;0.726;0.71;0.726
transcript28_ENSMLUG00000027828;0.843;0.62;0.619;0.992;0.992;1.0;0.716;0.644;0.754;0.644;0.644;0.636;0.72;0.715;0.72
transcript9_ENSSTOG00000019743;0.619;0.848;0.622;0.717;0.717;0.716;1.0;0.889;0.754;0.889;0.646;0.873;0.72;0.71;0.72
transcript29_ENSSTOG00000019743;0.696;0.954;0.703;0.645;0.645;0.644;0.889;1.0;0.851;1.0;0.73;0.984;0.813;0.802;0.813
transcript29_ENSCPOG00000024843;0.826;0.818;0.828;0.76;0.76;0.754;0.754;0.851;1.0;0.851;0.861;0.837;0.956;0.939;0.956
transcript30_ENSSTOG00000019743;0.696;0.954;0.703;0.645;0.645;0.644;0.889;1.0;0.851;1.0;0.73;0.984;0.813;0.802;0.813
transcript30_ENSCCNG00000000226;0.71;0.703;0.955;0.65;0.65;0.644;0.646;0.73;0.861;0.73;1.0;0.72;0.823;0.809;0.823
transcript31_ENSSTOG00000019743;0.682;0.939;0.692;0.631;0.631;0.636;0.873;0.984;0.837;0.984;0.72;1.0;0.8;0.814;0.8
transcript35_ENSCPOG00000024843;0.857;0.851;0.861;0.726;0.726;0.72;0.72;0.813;0.956;0.813;0.823;0.8;1.0;0.984;1.0
transcript36_ENSCPOG00000024843;0.841;0.841;0.848;0.71;0.71;0.715;0.71;0.802;0.939;0.802;0.809;0.814;0.984;1.0;0.984
transcript37_ENSCPOG00000024843;0.857;0.851;0.861;0.726;0.726;0.72;0.72;0.813;0.956;0.813;0.823;0.8;1.0;0.984;1.0
