;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.808;0.779;0.974;0.974;0.974;0.935;0.863;0.935;0.24;0.244;0.26;0.277;0.26;0.252;0.245;0.259
transcript7_ENSMUGG00000013649;0.808;1.0;0.967;0.832;0.832;0.832;0.754;0.774;0.754;0.248;0.253;0.269;0.287;0.269;0.261;0.254;0.268
transcript7_ENSMUGG00000013592;0.779;0.967;1.0;0.802;0.802;0.802;0.725;0.748;0.725;0.238;0.242;0.262;0.279;0.258;0.249;0.242;0.257
transcript7_ENSCGRG00015005362;0.974;0.832;0.802;1.0;1.0;1.0;0.911;0.843;0.911;0.248;0.253;0.269;0.287;0.269;0.261;0.254;0.268
transcript7_ENSCGRG00000018457;0.974;0.832;0.802;1.0;1.0;1.0;0.911;0.843;0.911;0.248;0.253;0.269;0.287;0.269;0.261;0.254;0.268
transcript7_ENSPEMG00000024651;0.974;0.832;0.802;1.0;1.0;1.0;0.911;0.843;0.911;0.248;0.253;0.269;0.287;0.269;0.261;0.254;0.268
transcript57_MGP-CAROLIEiJ-G0020234;0.935;0.754;0.725;0.911;0.911;0.911;1.0;0.837;1.0;0.231;0.235;0.249;0.266;0.249;0.24;0.235;0.248
transcript58_MGP-CAROLIEiJ-G0020234;0.863;0.774;0.748;0.843;0.843;0.843;0.837;1.0;0.837;0.273;0.278;0.295;0.315;0.295;0.287;0.278;0.294
transcript59_MGP-CAROLIEiJ-G0020234;0.935;0.754;0.725;0.911;0.911;0.911;1.0;0.837;1.0;0.231;0.235;0.249;0.266;0.249;0.24;0.235;0.248
transcript28_ENSMUGG00000013649;0.24;0.248;0.238;0.248;0.248;0.248;0.231;0.273;0.231;1.0;0.978;0.916;0.861;0.912;0.887;0.979;0.932
transcript42_ENSMUGG00000013649;0.244;0.253;0.242;0.253;0.253;0.253;0.235;0.278;0.235;0.978;1.0;0.937;0.879;0.927;0.865;0.958;0.934
transcript42_ENSMUGG00000013592;0.26;0.269;0.262;0.269;0.269;0.269;0.249;0.295;0.249;0.916;0.937;1.0;0.929;0.88;0.825;0.901;0.878
transcript52_ENSMUGG00000013592;0.277;0.287;0.279;0.287;0.287;0.287;0.266;0.315;0.266;0.861;0.879;0.929;1.0;0.934;0.879;0.879;0.855
transcript52_ENSCGRG00015005362;0.26;0.269;0.258;0.269;0.269;0.269;0.249;0.295;0.249;0.912;0.927;0.88;0.934;1.0;0.928;0.931;0.908
transcript53_ENSCGRG00015005362;0.252;0.261;0.249;0.261;0.261;0.261;0.24;0.287;0.24;0.887;0.865;0.825;0.879;0.928;1.0;0.906;0.859
transcript54_ENSCGRG00015005362;0.245;0.254;0.242;0.254;0.254;0.254;0.235;0.278;0.235;0.979;0.958;0.901;0.879;0.931;0.906;1.0;0.952
transcript55_ENSCGRG00015005362;0.259;0.268;0.257;0.268;0.268;0.268;0.248;0.294;0.248;0.932;0.934;0.878;0.855;0.908;0.859;0.952;1.0
