;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.87;0.87;0.927;0.773;0.393;0.361;0.927;0.236;0.961;0.9;0.9;0.239
ENST00000347662_90_90;0.87;1.0;1.0;0.94;0.822;0.389;0.433;0.94;0.253;0.833;0.883;0.883;0.256
ENST00000351691_90_90;0.87;1.0;1.0;0.94;0.822;0.389;0.433;0.94;0.253;0.833;0.883;0.883;0.256
ENST00000392745_90_90;0.927;0.94;0.94;1.0;0.773;0.446;0.409;1.0;0.236;0.891;0.833;0.833;0.239
ENST00000539721_90_90;0.773;0.822;0.822;0.773;1.0;0.232;0.342;0.773;0.319;0.734;0.779;0.779;0.322
ENST00000558700_90_90;0.393;0.389;0.389;0.446;0.232;1.0;0.277;0.446;0.057;0.409;0.353;0.353;0.113
ENST00000559734_90_90;0.361;0.433;0.433;0.409;0.342;0.277;1.0;0.409;0.0;0.37;0.392;0.392;0.0
ENST00000560371_90_90;0.927;0.94;0.94;1.0;0.773;0.446;0.409;1.0;0.236;0.891;0.833;0.833;0.239
ENST00000560463_90_90;0.236;0.253;0.253;0.236;0.319;0.057;0.0;0.236;1.0;0.198;0.211;0.211;0.774
ENSMUST00000021706_90_90;0.961;0.833;0.833;0.891;0.734;0.409;0.37;0.891;0.198;1.0;0.936;0.936;0.252
ENSMUST00000060274_90_90;0.9;0.883;0.883;0.833;0.779;0.353;0.392;0.833;0.211;0.936;1.0;1.0;0.271
ENSMUST00000117269_90_90;0.9;0.883;0.883;0.833;0.779;0.353;0.392;0.833;0.211;0.936;1.0;1.0;0.271
ENSMUST00000139162_90_90;0.239;0.256;0.256;0.239;0.322;0.113;0.0;0.239;0.774;0.252;0.271;0.271;1.0
