;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.753;0.998;0.753;0.264;0.753;0.489;0.923;0.821;0.821;0.336;0.268
ENST00000329008_90_90;0.753;1.0;0.705;1.0;0.314;1.0;0.66;0.81;1.0;1.0;0.41;0.158
ENST00000395275_90_90;0.998;0.705;1.0;0.705;0.242;0.705;0.454;0.912;0.754;0.754;0.302;0.319
ENST00000395276_90_90;0.753;1.0;0.705;1.0;0.314;1.0;0.66;0.81;1.0;1.0;0.41;0.158
ENST00000405452_90_90;0.264;0.314;0.242;0.314;1.0;0.314;0.0;0.288;0.34;0.34;0.0;0.0
ENST00000431984_90_90;0.753;1.0;0.705;1.0;0.314;1.0;0.66;0.81;1.0;1.0;0.41;0.158
ENST00000446128_90_90;0.489;0.66;0.454;0.66;0.0;0.66;1.0;0.522;0.66;0.66;0.615;0.227
ENSMUST00000086029_90_90;0.923;0.81;0.912;0.81;0.288;0.81;0.522;1.0;0.705;0.705;0.277;0.431
ENSMUST00000111287_90_90;0.821;1.0;0.754;1.0;0.34;1.0;0.66;0.705;1.0;1.0;0.41;0.138
ENSMUST00000111288_90_90;0.821;1.0;0.754;1.0;0.34;1.0;0.66;0.705;1.0;1.0;0.41;0.138
ENSMUST00000141131_90_90;0.336;0.41;0.302;0.41;0.0;0.41;0.615;0.277;0.41;0.41;1.0;0.253
ENSMUST00000202728_90_90;0.268;0.158;0.319;0.158;0.0;0.158;0.227;0.431;0.138;0.138;0.253;1.0
