;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.37;0.75;0.36;0.6;0.9;0.1;0.35;0.05;0.15;0.05;0.15;0.15;1.0;0.72
ENSCAFT00000025875_90_90;0.37;1.0;0.45;0.474;0.7;0.391;0.0;0.167;0.071;0.0;0.071;0.0;0.0;0.4;0.652
ENST00000315266_90_90;0.75;0.45;1.0;0.44;0.783;0.857;0.05;0.316;0.053;0.15;0.053;0.222;0.15;0.789;0.714
ENST00000459628_90_90;0.36;0.474;0.44;1.0;0.64;0.444;0.05;0.19;0.0;0.15;0.0;0.158;0.15;0.348;0.571
ENST00000478722_90_90;0.6;0.7;0.783;0.64;1.0;0.692;0.04;0.25;0.042;0.12;0.042;0.174;0.12;0.652;0.905
ENST00000543237_90_90;0.9;0.391;0.857;0.444;0.692;1.0;0.043;0.333;0.045;0.13;0.045;0.19;0.13;0.895;0.652
ENST00000553936_90_90;0.1;0.0;0.05;0.05;0.04;0.043;1.0;0.0;0.0;0.143;0.0;0.167;0.143;0.105;0.095
ENST00000555456_90_90;0.35;0.167;0.316;0.19;0.25;0.333;0.0;1.0;0.0;0.0;0.0;0.1;0.0;0.368;0.273
ENST00000555503_90_90;0.05;0.071;0.053;0.0;0.042;0.045;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.053;0.048
ENST00000555668_90_90;0.15;0.0;0.15;0.15;0.12;0.13;0.143;0.0;0.0;1.0;0.0;0.5;1.0;0.158;0.143
ENST00000556240_90_90;0.05;0.071;0.053;0.0;0.042;0.045;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.053;0.048
ENST00000556633_90_90;0.15;0.0;0.222;0.158;0.174;0.19;0.167;0.1;0.0;0.5;0.0;1.0;0.5;0.158;0.143
ENST00000557654_90_90;0.15;0.0;0.15;0.15;0.12;0.13;0.143;0.0;0.0;1.0;0.0;0.5;1.0;0.158;0.143
ENSMUST00000052472_90_90;1.0;0.4;0.789;0.348;0.652;0.895;0.105;0.368;0.053;0.158;0.053;0.158;0.158;1.0;0.692
ENSMUST00000110388_90_90;0.72;0.652;0.714;0.571;0.905;0.652;0.095;0.273;0.048;0.143;0.048;0.143;0.143;0.692;1.0
