;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.837;0.581;0.904;0.876;0.974;0.169;0.18;0.946;0.842;0.972;0.872;0.183;0.206;0.072;0.839
ENSCAFT00000001399_90_90;0.837;1.0;0.623;0.966;0.998;0.896;0.186;0.199;0.869;0.963;0.841;0.93;0.204;0.234;0.088;0.891
ENSCAFT00000001401_90_90;0.581;0.623;1.0;0.66;0.684;0.611;0.277;0.0;0.584;0.639;0.555;0.616;0.0;0.347;0.127;0.578
ENST00000378735_90_90;0.904;0.966;0.66;1.0;0.968;0.908;0.175;0.191;0.883;0.929;0.871;0.965;0.199;0.227;0.084;0.927
ENST00000378746_90_90;0.876;0.998;0.684;0.968;1.0;0.881;0.179;0.195;0.855;0.963;0.841;0.929;0.205;0.234;0.088;0.891
ENST00000403231_90_90;0.974;0.896;0.611;0.908;0.881;1.0;0.163;0.177;0.884;0.863;0.943;0.894;0.187;0.21;0.075;0.859
ENST00000428744_90_90;0.169;0.186;0.277;0.175;0.179;0.163;1.0;0.0;0.166;0.197;0.175;0.191;0.0;0.803;0.236;0.198
ENST00000450441_90_90;0.18;0.199;0.0;0.191;0.195;0.177;0.0;1.0;0.18;0.21;0.186;0.204;1.0;0.0;0.0;0.211
ENST00000618515_90_90;0.946;0.869;0.584;0.883;0.855;0.884;0.166;0.18;1.0;0.833;0.913;0.865;0.191;0.216;0.079;0.83
ENSMUST00000057330_90_90;0.842;0.963;0.639;0.929;0.963;0.863;0.197;0.21;0.833;1.0;0.881;0.968;0.195;0.283;0.044;0.934
ENSMUST00000118353_90_90;0.972;0.841;0.555;0.871;0.841;0.943;0.175;0.186;0.913;0.881;1.0;0.908;0.177;0.248;0.038;0.879
ENSMUST00000120613_90_90;0.872;0.93;0.616;0.965;0.929;0.894;0.191;0.204;0.865;0.968;0.908;1.0;0.191;0.274;0.043;0.966
ENSMUST00000130037_90_90;0.183;0.204;0.0;0.199;0.205;0.187;0.0;1.0;0.191;0.195;0.177;0.191;1.0;0.0;0.0;0.196
ENSMUST00000132496_90_90;0.206;0.234;0.347;0.227;0.234;0.21;0.803;0.0;0.216;0.283;0.248;0.274;0.0;1.0;0.137;0.284
ENSMUST00000132653_90_90;0.072;0.088;0.127;0.084;0.088;0.075;0.236;0.0;0.079;0.044;0.038;0.043;0.0;0.137;1.0;0.045
ENSMUST00000173744_90_90;0.839;0.891;0.578;0.927;0.891;0.859;0.198;0.211;0.83;0.934;0.879;0.966;0.196;0.284;0.045;1.0
