;ENSCAFT00000027066_90_90;ENST00000316856_90_90;ENST00000586375_90_90;ENST00000586534_90_90;ENST00000590881_90_90;ENST00000591499_90_90;ENST00000592268_90_90;ENST00000593114_90_90;ENSMUST00000003911_90_90;ENSMUST00000109761_90_90;ENSMUST00000128035_90_90;ENSMUST00000144675_90_90
ENSCAFT00000027066_90_90;1.0;0.969;0.232;1.0;0.442;0.284;0.836;0.221;0.969;1.0;0.857;0.482
ENST00000316856_90_90;0.969;1.0;0.195;0.97;0.472;0.284;0.812;0.221;1.0;0.97;0.832;0.469
ENST00000586375_90_90;0.232;0.195;1.0;0.224;0.088;0.077;0.267;0.0;0.195;0.224;0.262;0.216
ENST00000586534_90_90;1.0;0.97;0.224;1.0;0.457;0.279;0.841;0.219;0.97;1.0;0.861;0.498
ENST00000590881_90_90;0.442;0.472;0.088;0.457;1.0;0.0;0.356;0.0;0.472;0.457;0.378;0.589
ENST00000591499_90_90;0.284;0.284;0.077;0.279;0.0;1.0;0.331;0.655;0.284;0.279;0.32;0.0
ENST00000592268_90_90;0.836;0.812;0.267;0.841;0.356;0.331;1.0;0.259;0.812;0.841;0.861;0.339
ENST00000593114_90_90;0.221;0.221;0.0;0.219;0.0;0.655;0.259;1.0;0.221;0.219;0.248;0.0
ENSMUST00000003911_90_90;0.969;1.0;0.195;0.97;0.472;0.284;0.812;0.221;1.0;0.97;0.832;0.451
ENSMUST00000109761_90_90;1.0;0.97;0.224;1.0;0.457;0.279;0.841;0.219;0.97;1.0;0.861;0.478
ENSMUST00000128035_90_90;0.857;0.832;0.262;0.861;0.378;0.32;0.861;0.248;0.832;0.861;1.0;0.418
ENSMUST00000144675_90_90;0.482;0.469;0.216;0.498;0.589;0.0;0.339;0.0;0.451;0.478;0.418;1.0
