;ENSCAFT00000014361_90_90;ENSCAFT00000049149_90_90;ENST00000258104_90_90;ENST00000394120_90_90;ENST00000409366_90_90;ENST00000409582_90_90;ENST00000409651_90_90;ENST00000409744_90_90;ENST00000409762_90_90;ENST00000410020_90_90;ENST00000410041_90_90;ENST00000413539_90_90;ENST00000429174_90_90;ENSMUST00000081904_90_90;ENSMUST00000089595_90_90;ENSMUST00000113818_90_90;ENSMUST00000113821_90_90;ENSMUST00000113823_90_90;ENSMUST00000153860_90_90;ENSMUST00000168387_90_90;ENSMUST00000203695_90_90;ENSMUST00000203803_90_90;ENSMUST00000204354_90_90;ENSMUST00000204591_90_90;ENSMUST00000204987_90_90
ENSCAFT00000014361_90_90;1.0;0.706;0.5;0.588;0.647;0.647;0.647;0.688;0.588;0.75;0.688;0.556;0.556;0.647;0.556;0.588;0.474;0.556;0.526;0.5;0.611;0.556;0.647;0.611;0.611
ENSCAFT00000049149_90_90;0.706;1.0;0.625;0.625;0.688;0.688;0.588;0.733;0.625;0.688;0.625;0.588;0.688;0.588;0.588;0.625;0.588;0.588;0.647;0.611;0.556;0.5;0.688;0.647;0.647
ENST00000258104_90_90;0.5;0.625;1.0;0.846;0.786;0.786;0.786;0.714;0.846;0.667;0.714;0.923;0.923;0.562;0.667;0.6;0.786;0.667;0.733;0.8;0.625;0.667;0.562;0.625;0.625
ENST00000394120_90_90;0.588;0.625;0.846;1.0;0.923;0.667;0.923;0.846;0.714;0.786;0.846;0.786;0.786;0.667;0.786;0.714;0.667;0.562;0.625;0.688;0.733;0.562;0.667;0.529;0.733
ENST00000409366_90_90;0.647;0.688;0.786;0.923;1.0;0.733;0.857;0.923;0.667;0.857;0.786;0.733;0.857;0.625;0.733;0.667;0.625;0.529;0.688;0.647;0.688;0.529;0.733;0.588;0.8
ENST00000409582_90_90;0.647;0.688;0.786;0.667;0.733;1.0;0.733;0.786;0.923;0.857;0.786;0.857;0.857;0.625;0.529;0.562;0.625;0.733;0.688;0.647;0.588;0.625;0.625;0.8;0.588
ENST00000409651_90_90;0.647;0.588;0.786;0.923;0.857;0.733;1.0;0.786;0.786;0.857;0.923;0.857;0.733;0.733;0.733;0.667;0.625;0.625;0.588;0.647;0.8;0.625;0.625;0.588;0.688
ENST00000409744_90_90;0.688;0.733;0.714;0.846;0.923;0.786;0.786;1.0;0.714;0.923;0.846;0.667;0.786;0.667;0.667;0.714;0.562;0.562;0.625;0.588;0.625;0.471;0.786;0.625;0.733
ENST00000409762_90_90;0.588;0.625;0.846;0.714;0.667;0.923;0.786;0.714;1.0;0.786;0.846;0.923;0.786;0.667;0.562;0.6;0.667;0.786;0.625;0.688;0.625;0.667;0.562;0.733;0.529
ENST00000410020_90_90;0.75;0.688;0.667;0.786;0.857;0.857;0.857;0.923;0.786;1.0;0.923;0.733;0.733;0.733;0.625;0.667;0.529;0.625;0.588;0.556;0.688;0.529;0.733;0.688;0.688
ENST00000410041_90_90;0.688;0.625;0.714;0.846;0.786;0.786;0.923;0.846;0.846;0.923;1.0;0.786;0.667;0.786;0.667;0.714;0.562;0.667;0.529;0.588;0.733;0.562;0.667;0.625;0.625
ENST00000413539_90_90;0.556;0.588;0.923;0.786;0.733;0.857;0.857;0.667;0.923;0.733;0.786;1.0;0.857;0.625;0.625;0.562;0.733;0.733;0.688;0.75;0.688;0.733;0.529;0.688;0.588
ENST00000429174_90_90;0.556;0.688;0.923;0.786;0.857;0.857;0.733;0.786;0.786;0.733;0.667;0.857;1.0;0.529;0.625;0.562;0.733;0.625;0.8;0.75;0.588;0.625;0.625;0.688;0.688
ENSMUST00000081904_90_90;0.647;0.588;0.562;0.667;0.625;0.625;0.733;0.667;0.667;0.733;0.786;0.625;0.529;1.0;0.857;0.923;0.733;0.857;0.688;0.647;0.929;0.733;0.857;0.8;0.8
ENSMUST00000089595_90_90;0.556;0.588;0.667;0.786;0.733;0.529;0.733;0.667;0.562;0.625;0.667;0.625;0.625;0.857;1.0;0.923;0.857;0.733;0.8;0.75;0.929;0.733;0.857;0.688;0.929
ENSMUST00000113818_90_90;0.588;0.625;0.6;0.714;0.667;0.562;0.667;0.714;0.6;0.667;0.714;0.562;0.562;0.923;0.923;1.0;0.786;0.786;0.733;0.688;0.857;0.667;0.923;0.733;0.857
ENSMUST00000113821_90_90;0.474;0.588;0.786;0.667;0.625;0.625;0.625;0.562;0.667;0.529;0.562;0.733;0.733;0.733;0.857;0.786;1.0;0.857;0.929;0.867;0.8;0.857;0.733;0.8;0.8
ENSMUST00000113823_90_90;0.556;0.588;0.667;0.562;0.529;0.733;0.625;0.562;0.786;0.625;0.667;0.733;0.625;0.857;0.733;0.786;0.857;1.0;0.8;0.75;0.8;0.857;0.733;0.929;0.688
ENSMUST00000153860_90_90;0.526;0.647;0.733;0.625;0.688;0.688;0.588;0.625;0.625;0.588;0.529;0.688;0.8;0.688;0.8;0.733;0.929;0.8;1.0;0.812;0.75;0.8;0.8;0.867;0.867
ENSMUST00000168387_90_90;0.5;0.611;0.8;0.688;0.647;0.647;0.647;0.588;0.688;0.556;0.588;0.75;0.75;0.647;0.75;0.688;0.867;0.75;0.812;1.0;0.706;0.75;0.647;0.706;0.706
ENSMUST00000203695_90_90;0.611;0.556;0.625;0.733;0.688;0.588;0.8;0.625;0.625;0.688;0.733;0.688;0.588;0.929;0.929;0.857;0.8;0.8;0.75;0.706;1.0;0.8;0.8;0.75;0.867
ENSMUST00000203803_90_90;0.556;0.5;0.667;0.562;0.529;0.625;0.625;0.471;0.667;0.529;0.562;0.733;0.625;0.733;0.733;0.667;0.857;0.857;0.8;0.75;0.8;1.0;0.625;0.8;0.688
ENSMUST00000204354_90_90;0.647;0.688;0.562;0.667;0.733;0.625;0.625;0.786;0.562;0.733;0.667;0.529;0.625;0.857;0.857;0.923;0.733;0.733;0.8;0.647;0.8;0.625;1.0;0.8;0.929
ENSMUST00000204591_90_90;0.611;0.647;0.625;0.529;0.588;0.8;0.588;0.625;0.733;0.688;0.625;0.688;0.688;0.8;0.688;0.733;0.8;0.929;0.867;0.706;0.75;0.8;0.8;1.0;0.75
ENSMUST00000204987_90_90;0.611;0.647;0.625;0.733;0.8;0.588;0.688;0.733;0.529;0.688;0.625;0.588;0.688;0.8;0.929;0.857;0.8;0.688;0.867;0.706;0.867;0.688;0.929;0.75;1.0
