;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;1.0;0.143;0.143;0.083;0.083;0.5;0.5;0.5;0.5;0.091;0.091;0.2;0.2;0.1;0.1;0.091;0.1;0.154;0.167;0.077;0.077;0.154;0.167;0.182
transcript9_ENSXMAG00000026005;1.0;1.0;1.0;1.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1.0;1.0;0.5;0.5;0.5;0.5;1.0;1.0;0.5;0.5;1.0;1.0;1.0
transcript14_ENSAPOG00000016134;0.143;1.0;1.0;1.0;0.786;0.846;0.071;0.071;0.077;0.5;0.714;0.769;0.714;0.714;0.643;0.643;0.714;0.643;0.929;0.857;0.857;0.857;1.0;0.923;0.846
transcript14_ENSAPOG00000023408;0.143;1.0;1.0;1.0;0.786;0.846;0.071;0.071;0.077;0.5;0.714;0.769;0.714;0.714;0.643;0.643;0.714;0.643;0.929;0.857;0.857;0.857;1.0;0.923;0.846
transcript21_ENSAPOG00000016134;0.083;0.5;0.786;0.786;1.0;1.0;0.0;0.0;0.0;0.0;0.75;0.75;0.615;0.615;0.667;0.667;0.75;0.667;0.846;0.643;0.769;0.769;0.846;0.769;0.692
transcript21_ENSPNYG00000024266;0.083;0.5;0.846;0.846;1.0;1.0;0.0;0.0;0.0;0.0;0.75;0.75;0.615;0.615;0.667;0.667;0.75;0.667;0.846;0.692;0.769;0.769;0.846;0.769;0.692
transcript7_ENSAPOG00000023408;0.5;0.5;0.071;0.071;0.0;0.0;1.0;1.0;1.0;1.0;0.1;0.1;0.1;0.1;0.111;0.111;0.1;0.111;0.077;0.083;0.083;0.083;0.077;0.083;0.091
transcript7_ENSAOCG00000015695;0.5;0.5;0.071;0.071;0.0;0.0;1.0;1.0;1.0;1.0;0.1;0.1;0.1;0.1;0.111;0.111;0.1;0.111;0.077;0.083;0.083;0.083;0.077;0.083;0.091
transcript7_ENSPNYG00000024266;0.5;0.5;0.077;0.077;0.0;0.0;1.0;1.0;1.0;1.0;0.1;0.1;0.1;0.1;0.111;0.111;0.1;0.111;0.077;0.091;0.083;0.083;0.077;0.083;0.091
transcript7_ENSXMAG00000026005;0.5;0.5;0.5;0.5;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5;0.5;1.0;1.0;0.5;0.5;0.5
transcript23_ENSAPOG00000023408;0.091;0.5;0.714;0.714;0.75;0.75;0.1;0.1;0.1;1.0;1.0;1.0;0.538;0.538;0.727;0.727;0.818;0.727;0.769;0.571;0.833;0.833;0.769;0.692;0.75
transcript23_ENSPNYG00000024266;0.091;0.5;0.769;0.769;0.75;0.75;0.1;0.1;0.1;1.0;1.0;1.0;0.538;0.538;0.727;0.727;0.818;0.727;0.769;0.615;0.833;0.833;0.769;0.692;0.75
transcript28_ENSAPOG00000023408;0.2;1.0;0.714;0.714;0.615;0.615;0.1;0.1;0.1;0.5;0.538;0.538;1.0;1.0;0.462;0.462;0.667;0.583;0.769;0.571;0.692;0.692;0.769;0.692;0.615
transcript28_ENSAOCG00000015695;0.2;1.0;0.714;0.714;0.615;0.615;0.1;0.1;0.1;0.5;0.538;0.538;1.0;1.0;0.462;0.462;0.667;0.583;0.769;0.571;0.692;0.692;0.769;0.692;0.615
transcript29_ENSAPOG00000023408;0.1;0.5;0.643;0.643;0.667;0.667;0.111;0.111;0.111;1.0;0.727;0.727;0.462;0.462;1.0;1.0;0.727;0.8;0.692;0.615;0.75;0.75;0.692;0.615;0.667
transcript29_ENSAOCG00000015695;0.1;0.5;0.643;0.643;0.667;0.667;0.111;0.111;0.111;1.0;0.727;0.727;0.462;0.462;1.0;1.0;0.727;0.8;0.692;0.615;0.75;0.75;0.692;0.615;0.667
transcript30_ENSAPOG00000023408;0.091;0.5;0.714;0.714;0.75;0.75;0.1;0.1;0.1;1.0;0.818;0.818;0.667;0.667;0.727;0.727;1.0;0.727;0.769;0.571;0.833;0.833;0.769;0.692;0.615
transcript31_ENSAPOG00000023408;0.1;0.5;0.643;0.643;0.667;0.667;0.111;0.111;0.111;1.0;0.727;0.727;0.583;0.583;0.8;0.8;0.727;1.0;0.692;0.5;0.75;0.75;0.692;0.615;0.538
transcript17_ENSAOCG00000015695;0.154;1.0;0.929;0.929;0.846;0.846;0.077;0.077;0.077;0.5;0.769;0.769;0.769;0.769;0.692;0.692;0.769;0.692;1.0;0.786;0.923;0.923;1.0;0.923;0.846
transcript18_ENSAOCG00000015695;0.167;1.0;0.857;0.857;0.643;0.692;0.083;0.083;0.091;0.5;0.571;0.615;0.571;0.571;0.615;0.615;0.571;0.5;0.786;1.0;0.714;0.714;0.846;0.769;0.833
transcript26_ENSAOCG00000015695;0.077;0.5;0.857;0.857;0.769;0.769;0.083;0.083;0.083;1.0;0.833;0.833;0.692;0.692;0.75;0.75;0.833;0.75;0.923;0.714;1.0;1.0;0.923;0.846;0.769
