;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.353;0.233;0.367;0.5;0.188;0.188;0.333;0.4;0.267;0.188;0.233;0.4;0.367;0.267;0.333;0.438
ENSCAFT00000025580_90_90;0.353;1.0;0.6;0.733;0.867;0.111;0.111;0.7;0.767;0.633;0.111;0.6;0.767;0.733;0.633;0.7;0.259
ENST00000263846_90_90;0.233;0.6;1.0;0.905;0.826;0.075;0.075;0.927;0.884;0.974;0.105;1.0;0.884;0.905;0.974;0.927;0.07
ENST00000535826_90_90;0.367;0.733;0.905;1.0;0.913;0.093;0.093;0.976;0.848;0.929;0.095;0.905;0.848;0.826;0.929;0.844;0.163
ENST00000539008_90_90;0.5;0.867;0.826;0.913;1.0;0.085;0.085;0.891;0.935;0.848;0.087;0.826;0.935;0.913;0.848;0.891;0.174
ENST00000539246_90_90;0.188;0.111;0.075;0.093;0.085;1.0;1.0;0.07;0.091;0.1;0.5;0.077;0.093;0.07;0.103;0.071;0.5
ENST00000539468_90_90;0.188;0.111;0.075;0.093;0.085;1.0;1.0;0.07;0.091;0.1;0.5;0.077;0.093;0.07;0.103;0.071;0.5
ENST00000540677_90_90;0.333;0.7;0.927;0.976;0.891;0.07;0.07;1.0;0.826;0.905;0.098;0.927;0.826;0.844;0.905;0.864;0.14
ENST00000542670_90_90;0.4;0.767;0.884;0.848;0.935;0.091;0.091;0.826;1.0;0.907;0.093;0.884;1.0;0.977;0.907;0.953;0.109
ENST00000542836_90_90;0.267;0.633;0.974;0.929;0.848;0.1;0.1;0.905;0.907;1.0;0.103;0.974;0.907;0.884;1.0;0.905;0.093
ENST00000545053_90_90;0.188;0.111;0.105;0.095;0.087;0.5;0.5;0.098;0.093;0.103;1.0;0.105;0.093;0.095;0.103;0.098;0.333
ENSMUST00000073899_90_90;0.233;0.6;1.0;0.905;0.826;0.077;0.077;0.927;0.884;0.974;0.105;1.0;0.884;0.905;0.974;0.927;0.068
ENSMUST00000076968_90_90;0.4;0.767;0.884;0.848;0.935;0.093;0.093;0.826;1.0;0.907;0.093;0.884;1.0;0.977;0.907;0.953;0.106
ENSMUST00000169121_90_90;0.367;0.733;0.905;0.826;0.913;0.07;0.07;0.844;0.977;0.884;0.095;0.905;0.977;1.0;0.884;0.976;0.085
ENSMUST00000223586_90_90;0.267;0.633;0.974;0.929;0.848;0.103;0.103;0.905;0.907;1.0;0.103;0.974;0.907;0.884;1.0;0.905;0.091
ENSMUST00000224135_90_90;0.333;0.7;0.927;0.844;0.891;0.071;0.071;0.864;0.953;0.905;0.098;0.927;0.953;0.976;0.905;1.0;0.087
ENSMUST00000225452_90_90;0.438;0.259;0.07;0.163;0.174;0.5;0.5;0.14;0.109;0.093;0.333;0.068;0.106;0.085;0.091;0.087;1.0
