;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.75;0.548;0.172;0.091;0.172;0.091;0.069;0.033;0.476;0.459;0.476;0.286
ENST00000278422_90_90;0.75;1.0;0.724;0.241;0.188;0.241;0.188;0.138;0.1;0.524;0.436;0.524;0.306
ENST00000378312_90_90;0.548;0.724;1.0;0.333;0.111;0.333;0.111;0.19;0.136;0.366;0.263;0.366;0.114
ENST00000524972_90_90;0.172;0.241;0.333;1.0;0.231;1.0;0.231;0.375;0.375;0.105;0.097;0.105;0.042
ENST00000525035_90_90;0.091;0.188;0.111;0.231;1.0;0.231;1.0;0.3;0.3;0.128;0.161;0.128;0.227
ENST00000528110_90_90;0.172;0.241;0.333;1.0;0.231;1.0;0.231;0.375;0.375;0.105;0.097;0.105;0.042
ENST00000529403_90_90;0.091;0.188;0.111;0.231;1.0;0.231;1.0;0.3;0.3;0.128;0.161;0.128;0.227
ENST00000530114_90_90;0.069;0.138;0.19;0.375;0.3;0.375;0.3;1.0;0.6;0.026;0.033;0.026;0.0
ENST00000533602_90_90;0.033;0.1;0.136;0.375;0.3;0.375;0.3;0.6;1.0;0.0;0.0;0.0;0.0
ENSMUST00000053664_90_90;0.476;0.524;0.366;0.105;0.128;0.105;0.128;0.026;0.0;1.0;0.771;1.0;0.514
ENSMUST00000111664_90_90;0.459;0.436;0.263;0.097;0.161;0.097;0.161;0.033;0.0;0.771;1.0;0.771;0.667
ENSMUST00000111665_90_90;0.476;0.524;0.366;0.105;0.128;0.105;0.128;0.026;0.0;1.0;0.771;1.0;0.514
ENSMUST00000152149_90_90;0.286;0.306;0.114;0.042;0.227;0.042;0.227;0.0;0.0;0.514;0.667;0.514;1.0
