;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.96;0.887;1.0;0.992;0.874;0.951;0.839;0.782;0.899;0.95;0.744;0.744;0.881;0.91;0.778
transcript19_ppan;0.96;1.0;0.924;0.959;0.951;0.833;0.992;0.873;0.745;0.869;0.949;0.717;0.717;0.852;0.939;0.741
transcript20_ppan;0.887;0.924;1.0;0.885;0.877;0.761;0.914;0.948;0.678;0.818;0.872;0.671;0.671;0.799;0.91;0.675
transcript12_ptro;1.0;0.959;0.885;1.0;0.996;0.914;0.954;0.84;0.996;0.944;0.953;0.944;0.944;0.916;0.912;1.0
transcript12_hsap;0.992;0.951;0.877;0.996;1.0;0.764;0.961;0.854;0.585;0.748;0.941;0.569;0.569;0.752;0.901;0.567
transcript18_hsap;0.874;0.833;0.761;0.914;0.764;1.0;0.732;0.7;0.672;0.777;0.72;0.634;0.634;0.817;0.69;0.657
transcript19_hsap;0.951;0.992;0.914;0.954;0.961;0.732;1.0;0.887;0.561;0.726;0.94;0.549;0.549;0.728;0.93;0.542
transcript20_hsap;0.839;0.873;0.948;0.84;0.854;0.7;0.887;1.0;0.498;0.651;0.82;0.489;0.489;0.666;0.857;0.479
transcript21_hsap;0.782;0.745;0.678;0.996;0.585;0.672;0.561;0.498;1.0;0.714;0.559;0.935;0.935;0.677;0.535;0.985
transcript11_ggor;0.899;0.869;0.818;0.944;0.748;0.777;0.726;0.651;0.714;1.0;0.732;0.77;0.77;0.945;0.734;0.724
transcript12_ggor;0.95;0.949;0.872;0.953;0.941;0.72;0.94;0.82;0.559;0.732;1.0;0.549;0.549;0.737;0.93;0.548
transcript16_ggor;0.744;0.717;0.671;0.944;0.569;0.634;0.549;0.489;0.935;0.77;0.549;1.0;1.0;0.724;0.55;0.942
transcript17_ggor;0.744;0.717;0.671;0.944;0.569;0.634;0.549;0.489;0.935;0.77;0.549;1.0;1.0;0.724;0.55;0.942
transcript18_ggor;0.881;0.852;0.799;0.916;0.752;0.817;0.728;0.666;0.677;0.945;0.737;0.724;0.724;1.0;0.74;0.679
transcript19_ggor;0.91;0.939;0.91;0.912;0.901;0.69;0.93;0.857;0.535;0.734;0.93;0.55;0.55;0.74;1.0;0.524
transcript8_pabe;0.778;0.741;0.675;1.0;0.567;0.657;0.542;0.479;0.985;0.724;0.548;0.942;0.942;0.679;0.524;1.0
