;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.714;0.333;0.526;0.182;0.762;0.889;0.889;1.0;0.944;0.5
ENST00000222597_90_90;0.714;1.0;0.474;0.526;0.368;0.947;0.7;0.619;0.714;0.75;0.421
ENST00000415884_90_90;0.333;0.474;1.0;0.4;0.636;0.526;0.3;0.368;0.333;0.286;0.357
ENST00000420796_90_90;0.526;0.526;0.4;1.0;0.188;0.579;0.5;0.5;0.526;0.474;0.333
ENST00000432748_90_90;0.182;0.368;0.636;0.188;1.0;0.35;0.143;0.2;0.182;0.19;0.214
ENST00000440859_90_90;0.762;0.947;0.526;0.579;0.35;1.0;0.75;0.667;0.762;0.714;0.4
ENSMUST00000064240_90_90;0.889;0.7;0.3;0.5;0.143;0.75;1.0;0.778;0.889;0.833;0.562
ENSMUST00000085487_90_90;0.889;0.619;0.368;0.5;0.2;0.667;0.778;1.0;0.889;0.833;0.562
ENSMUST00000101499_90_90;1.0;0.714;0.333;0.526;0.182;0.762;0.889;0.889;1.0;0.944;0.5
ENSMUST00000185739_90_90;0.944;0.75;0.286;0.474;0.19;0.714;0.833;0.833;0.944;1.0;0.529
ENSMUST00000188326_90_90;0.5;0.421;0.357;0.333;0.214;0.4;0.562;0.562;0.5;0.529;1.0
