;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;1.0;0.963;1.0;0.391;0.16;0.963;0.963;0.423;0.561;0.051;0.561;0.908;1.0;0.051;0.964;0.964;0.348;1.0;0.053;0.082
ENST00000283256_90_90;1.0;1.0;0.929;1.0;0.391;0.153;0.929;0.929;0.404;0.538;0.05;0.538;0.908;1.0;0.05;0.929;0.929;0.361;1.0;0.054;0.085
ENST00000375427_90_90;0.963;0.929;1.0;0.929;0.339;0.113;1.0;1.0;0.354;0.483;0.05;0.484;0.842;0.929;0.05;1.0;1.0;0.311;0.929;0.054;0.085
ENST00000375437_90_90;1.0;1.0;0.929;1.0;0.391;0.153;0.929;0.929;0.404;0.538;0.05;0.538;0.908;1.0;0.05;0.929;0.929;0.361;1.0;0.054;0.085
ENST00000424833_90_90;0.391;0.391;0.339;0.391;1.0;0.366;0.339;0.339;0.719;0.667;0.138;0.668;0.299;0.391;0.138;0.339;0.339;0.944;0.391;0.0;0.0
ENST00000486878_90_90;0.16;0.153;0.113;0.153;0.366;1.0;0.113;0.113;0.22;0.249;0.0;0.249;0.17;0.153;0.0;0.118;0.118;0.419;0.16;0.0;0.0
ENST00000631182_90_90;0.963;0.929;1.0;0.929;0.339;0.113;1.0;1.0;0.354;0.483;0.05;0.484;0.842;0.929;0.05;1.0;1.0;0.311;0.929;0.054;0.085
ENST00000636071_90_90;0.963;0.929;1.0;0.929;0.339;0.113;1.0;1.0;0.354;0.483;0.05;0.484;0.842;0.929;0.05;1.0;1.0;0.311;0.929;0.054;0.085
ENST00000636135_90_90;0.423;0.404;0.354;0.404;0.719;0.22;0.354;0.354;1.0;0.667;0.121;0.668;0.316;0.404;0.121;0.369;0.369;0.73;0.423;0.0;0.0
ENST00000636384_90_90;0.561;0.538;0.483;0.538;0.667;0.249;0.483;0.483;0.667;1.0;0.094;0.914;0.45;0.538;0.094;0.502;0.502;0.66;0.561;0.0;0.0
ENST00000636662_90_90;0.051;0.05;0.05;0.05;0.138;0.0;0.05;0.05;0.121;0.094;1.0;0.094;0.0;0.05;1.0;0.051;0.051;0.15;0.051;0.0;0.0
ENST00000636769_90_90;0.561;0.538;0.484;0.538;0.668;0.249;0.484;0.484;0.668;0.914;0.094;1.0;0.45;0.538;0.094;0.502;0.502;0.66;0.561;0.0;0.0
ENST00000636985_90_90;0.908;0.908;0.842;0.908;0.299;0.17;0.842;0.842;0.316;0.45;0.0;0.45;1.0;0.908;0.0;0.842;0.842;0.269;0.908;0.059;0.095
ENST00000637266_90_90;1.0;1.0;0.929;1.0;0.391;0.153;0.929;0.929;0.404;0.538;0.05;0.538;0.908;1.0;0.05;0.929;0.929;0.361;1.0;0.054;0.085
ENST00000637367_90_90;0.051;0.05;0.05;0.05;0.138;0.0;0.05;0.05;0.121;0.094;1.0;0.094;0.0;0.05;1.0;0.051;0.051;0.15;0.051;0.0;0.0
ENSMUST00000028377_90_90;0.964;0.929;1.0;0.929;0.339;0.118;1.0;1.0;0.369;0.502;0.051;0.502;0.842;0.929;0.051;1.0;1.0;0.3;0.932;0.051;0.079
ENSMUST00000100067_90_90;0.964;0.929;1.0;0.929;0.339;0.118;1.0;1.0;0.369;0.502;0.051;0.502;0.842;0.929;0.051;1.0;1.0;0.3;0.932;0.051;0.079
ENSMUST00000144254_90_90;0.348;0.361;0.311;0.361;0.944;0.419;0.311;0.311;0.73;0.66;0.15;0.66;0.269;0.361;0.15;0.3;0.3;1.0;0.348;0.0;0.0
ENSMUST00000200829_90_90;1.0;1.0;0.929;1.0;0.391;0.16;0.929;0.929;0.423;0.561;0.051;0.561;0.908;1.0;0.051;0.932;0.932;0.348;1.0;0.051;0.079
ENSMUST00000202162_90_90;0.053;0.054;0.054;0.054;0.0;0.0;0.054;0.054;0.0;0.0;0.0;0.0;0.059;0.054;0.0;0.051;0.051;0.0;0.051;1.0;0.797
ENSMUST00000202508_90_90;0.082;0.085;0.085;0.085;0.0;0.0;0.085;0.085;0.0;0.0;0.0;0.0;0.095;0.085;0.0;0.079;0.079;0.0;0.079;0.797;1.0
