;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.521;0.656;0.56;0.709;0.709;0.852;0.675;0.516;0.547;0.522;0.5;0.559;0.662;0.548;0.548;0.472
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.521;0.656;0.56;0.709;0.709;0.852;0.675;0.516;0.547;0.522;0.5;0.559;0.662;0.548;0.548;0.472
transcript57_ENSMUSG00000054036;0.521;0.521;1.0;0.78;0.916;0.712;0.712;0.454;0.69;0.887;0.94;0.865;0.857;0.692;0.712;0.938;0.938;0.898
transcript64_ENSMUSG00000054036;0.656;0.656;0.78;1.0;0.851;0.807;0.807;0.569;0.78;0.708;0.762;0.76;0.756;0.863;0.718;0.831;0.831;0.702
transcript67_ENSMUSG00000054036;0.56;0.56;0.916;0.851;1.0;0.74;0.74;0.486;0.716;0.847;0.901;0.861;0.853;0.748;0.739;0.936;0.936;0.824
transcript9_MGP-CAROLIEiJ-G0020234;0.709;0.709;0.712;0.807;0.74;1.0;1.0;0.611;0.966;0.696;0.722;0.719;0.686;0.699;0.835;0.755;0.755;0.641
transcript9_MGP-PahariEiJ-G0020237;0.709;0.709;0.712;0.807;0.74;1.0;1.0;0.611;0.966;0.696;0.722;0.719;0.686;0.699;0.835;0.755;0.755;0.641
transcript62_MGP-CAROLIEiJ-G0020234;0.852;0.852;0.454;0.569;0.486;0.611;0.611;1.0;0.578;0.501;0.475;0.453;0.434;0.482;0.567;0.477;0.477;0.41
transcript63_MGP-CAROLIEiJ-G0020234;0.675;0.675;0.69;0.78;0.716;0.966;0.966;0.578;1.0;0.673;0.698;0.697;0.665;0.675;0.804;0.732;0.732;0.621
transcript7_MGP-PahariEiJ-G0020237;0.516;0.516;0.887;0.708;0.847;0.696;0.696;0.501;0.673;1.0;0.943;0.799;0.793;0.623;0.726;0.869;0.869;0.797
transcript48_MGP-PahariEiJ-G0020237;0.547;0.547;0.94;0.762;0.901;0.722;0.722;0.475;0.698;0.943;1.0;0.85;0.843;0.673;0.752;0.923;0.923;0.845
transcript8_ENSRNOG00000031503;0.522;0.522;0.865;0.76;0.861;0.719;0.719;0.453;0.697;0.799;0.85;1.0;0.953;0.776;0.718;0.918;0.918;0.885
transcript40_ENSRNOG00000031503;0.5;0.5;0.857;0.756;0.853;0.686;0.686;0.434;0.665;0.793;0.843;0.953;1.0;0.824;0.686;0.909;0.909;0.927
transcript49_ENSRNOG00000031503;0.559;0.559;0.692;0.863;0.748;0.699;0.699;0.482;0.675;0.623;0.673;0.776;0.824;1.0;0.623;0.732;0.732;0.765
transcript53_ENSRNOG00000031503;0.662;0.662;0.712;0.718;0.739;0.835;0.835;0.567;0.804;0.726;0.752;0.718;0.686;0.623;1.0;0.754;0.754;0.642
transcript54_ENSRNOG00000031503;0.548;0.548;0.938;0.831;0.936;0.755;0.755;0.477;0.732;0.869;0.923;0.918;0.909;0.732;0.754;1.0;1.0;0.843
transcript55_ENSRNOG00000031503;0.548;0.548;0.938;0.831;0.936;0.755;0.755;0.477;0.732;0.869;0.923;0.918;0.909;0.732;0.754;1.0;1.0;0.843
transcript41_ENSMUGG00000013649;0.472;0.472;0.898;0.702;0.824;0.641;0.641;0.41;0.621;0.797;0.845;0.885;0.927;0.765;0.642;0.843;0.843;1.0
