;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.123;0.123;0.146;0.15;0.152;0.096;0.104;0.106;0.111;0.11;0.095;0.102;0.099
transcript49_ENSMSIG00000000513;0.123;1.0;0.979;0.71;0.68;0.684;0.741;0.777;0.807;0.655;0.659;0.651;0.685;0.656
transcript49_MGP-SPRETEiJ-G0021131;0.123;0.979;1.0;0.698;0.668;0.672;0.75;0.786;0.818;0.646;0.649;0.641;0.676;0.646
transcript60_ENSMSIG00000000513;0.146;0.71;0.698;1.0;0.966;0.952;0.655;0.618;0.637;0.663;0.667;0.641;0.679;0.657
transcript61_ENSMSIG00000000513;0.15;0.68;0.668;0.966;1.0;0.986;0.631;0.595;0.613;0.639;0.641;0.617;0.656;0.635
transcript62_ENSMSIG00000000513;0.152;0.684;0.672;0.952;0.986;1.0;0.623;0.597;0.615;0.629;0.632;0.611;0.647;0.629
transcript40_MGP-SPRETEiJ-G0021131;0.096;0.741;0.75;0.655;0.631;0.623;1.0;0.897;0.919;0.841;0.844;0.845;0.903;0.855
transcript65_MGP-SPRETEiJ-G0021131;0.104;0.777;0.786;0.618;0.595;0.597;0.897;1.0;0.961;0.753;0.755;0.765;0.812;0.773
transcript66_MGP-SPRETEiJ-G0021131;0.106;0.807;0.818;0.637;0.613;0.615;0.919;0.961;1.0;0.767;0.77;0.78;0.829;0.788
transcript7_ENSMUSG00000054036;0.111;0.655;0.646;0.663;0.639;0.629;0.841;0.753;0.767;1.0;0.996;0.802;0.849;0.823
transcript46_ENSMUSG00000054036;0.11;0.659;0.649;0.667;0.641;0.632;0.844;0.755;0.77;0.996;1.0;0.806;0.852;0.826
transcript38_MGP-CAROLIEiJ-G0020234;0.095;0.651;0.641;0.641;0.617;0.611;0.845;0.765;0.78;0.802;0.806;1.0;0.922;0.968
transcript38_MGP-PahariEiJ-G0020237;0.102;0.685;0.676;0.679;0.656;0.647;0.903;0.812;0.829;0.849;0.852;0.922;1.0;0.892
transcript47_MGP-CAROLIEiJ-G0020234;0.099;0.656;0.646;0.657;0.635;0.629;0.855;0.773;0.788;0.823;0.826;0.968;0.892;1.0
