;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.918;0.887;0.953;0.799;0.918;0.76;0.772;1.0;0.866;1.0;1.0;1.0;0.81;1.0
transcript6_ENSECAG00000007947;0.918;1.0;0.966;0.874;0.871;1.0;0.828;0.717;0.91;0.795;0.91;0.908;0.907;0.757;0.914
transcript7_ENSECAG00000007947;0.887;0.966;1.0;0.887;0.836;0.966;0.793;0.677;0.874;0.764;0.874;0.874;0.865;0.725;0.883
transcript7_ENSMLUG00000027828;0.953;0.874;0.887;1.0;0.765;0.874;0.738;0.775;0.958;0.835;0.958;0.96;0.957;0.796;0.958
transcript19_ENSECAG00000007947;0.799;0.871;0.836;0.765;1.0;0.871;0.95;0.582;0.91;0.91;0.91;0.908;0.907;0.868;0.795
transcript20_ENSECAG00000007947;0.918;1.0;0.966;0.874;0.871;1.0;0.828;0.717;0.91;0.795;0.91;0.908;0.907;0.757;0.914
transcript21_ENSECAG00000007947;0.76;0.828;0.793;0.738;0.95;0.828;1.0;0.592;0.865;0.865;0.865;0.86;0.881;0.909;0.756
transcript13_ENSMLUG00000027828;0.772;0.717;0.677;0.775;0.582;0.717;0.592;1.0;0.737;0.624;0.737;0.741;0.735;0.644;0.772
transcript15_ENSCGRG00015005362;1.0;0.91;0.874;0.958;0.91;0.91;0.865;0.737;1.0;1.0;1.0;1.0;1.0;0.933;1.0
transcript15_ENSCGRG00000018457;0.866;0.795;0.764;0.835;0.91;0.795;0.865;0.624;1.0;1.0;1.0;1.0;1.0;0.933;0.868
transcript15_ENSCGRG00001010245;1.0;0.91;0.874;0.958;0.91;0.91;0.865;0.737;1.0;1.0;1.0;1.0;1.0;0.933;1.0
transcript15_ENSPEMG00000024651;1.0;0.908;0.874;0.96;0.908;0.908;0.86;0.741;1.0;1.0;1.0;1.0;1.0;0.928;1.0
transcript15_ENSSTOG00000019743;1.0;0.907;0.865;0.957;0.907;0.907;0.881;0.735;1.0;1.0;1.0;1.0;1.0;0.948;1.0
transcript36_ENSCGRG00000018457;0.81;0.757;0.725;0.796;0.868;0.757;0.909;0.644;0.933;0.933;0.933;0.928;0.948;1.0;0.809
transcript25_ENSCPOG00000024843;1.0;0.914;0.883;0.958;0.795;0.914;0.756;0.772;1.0;0.868;1.0;1.0;1.0;0.809;1.0
