;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.953;1.0;1.0;0.148;0.875;0.383;0.196;0.189;0.354;1.0;0.317;0.955;0.93;0.513
ENST00000355221_90_90;0.953;1.0;0.955;0.955;0.149;0.808;0.415;0.141;0.218;0.387;0.953;0.348;1.0;0.882;0.532
ENST00000359530_90_90;1.0;0.955;1.0;1.0;0.143;0.853;0.395;0.184;0.208;0.368;1.0;0.33;0.953;0.928;0.505
ENST00000396774_90_90;1.0;0.955;1.0;1.0;0.143;0.853;0.395;0.184;0.208;0.368;1.0;0.33;0.953;0.928;0.505
ENST00000519588_90_90;0.148;0.149;0.143;0.143;1.0;0.109;0.358;0.0;0.321;0.378;0.148;0.22;0.156;0.159;0.282
ENST00000520188_90_90;0.875;0.808;0.853;0.853;0.109;1.0;0.248;0.216;0.061;0.222;0.875;0.387;0.829;0.804;0.382
ENST00000521275_90_90;0.383;0.415;0.395;0.395;0.358;0.248;1.0;0.0;0.508;0.951;0.383;0.557;0.403;0.409;0.748
ENST00000522849_90_90;0.196;0.141;0.184;0.184;0.0;0.216;0.0;1.0;0.0;0.0;0.196;0.061;0.15;0.21;0.142
ENST00000524164_90_90;0.189;0.218;0.208;0.208;0.321;0.061;0.508;0.0;1.0;0.537;0.189;0.118;0.198;0.201;0.363
ENST00000524234_90_90;0.354;0.387;0.368;0.368;0.378;0.222;0.951;0.0;0.537;1.0;0.354;0.513;0.373;0.379;0.706
ENSMUST00000044369_90_90;1.0;0.953;1.0;1.0;0.148;0.875;0.383;0.196;0.189;0.354;1.0;0.317;0.955;0.93;0.513
ENSMUST00000192029_90_90;0.317;0.348;0.33;0.33;0.22;0.387;0.557;0.061;0.118;0.513;0.317;1.0;0.333;0.338;0.597
ENSMUST00000192698_90_90;0.955;1.0;0.953;0.953;0.156;0.829;0.403;0.15;0.198;0.373;0.955;0.333;1.0;0.885;0.539
ENSMUST00000192847_90_90;0.93;0.882;0.928;0.928;0.159;0.804;0.409;0.21;0.201;0.379;0.93;0.338;0.885;1.0;0.547
ENSMUST00000194676_90_90;0.513;0.532;0.505;0.505;0.282;0.382;0.748;0.142;0.363;0.706;0.513;0.597;0.539;0.547;1.0
