;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.833;0.958;0.801;0.958;0.351;0.855;0.377;0.333;0.837;0.309;0.978;0.837;0.401;0.054;0.114
ENSCAFT00000043863_90_90;0.833;1.0;0.78;0.915;0.78;0.391;0.676;0.411;0.391;0.944;0.329;0.815;0.944;0.395;0.07;0.107
ENST00000264183_90_90;0.958;0.78;1.0;0.821;1.0;0.351;0.841;0.32;0.344;0.831;0.315;1.0;0.831;0.41;0.031;0.117
ENST00000349213_90_90;0.801;0.915;0.821;1.0;0.821;0.432;0.673;0.335;0.404;1.0;0.379;0.831;1.0;0.448;0.039;0.146
ENST00000366603_90_90;0.958;0.78;1.0;0.821;1.0;0.351;0.841;0.32;0.344;0.831;0.315;1.0;0.831;0.41;0.031;0.117
ENST00000418304_90_90;0.351;0.391;0.351;0.432;0.351;1.0;0.383;0.0;0.0;0.415;0.914;0.343;0.415;0.835;0.0;0.348
ENST00000421364_90_90;0.855;0.676;0.841;0.673;0.841;0.383;1.0;0.352;0.244;0.686;0.353;0.849;0.686;0.46;0.06;0.131
ENST00000444620_90_90;0.377;0.411;0.32;0.335;0.32;0.0;0.352;1.0;0.461;0.355;0.0;0.34;0.355;0.0;0.149;0.0
ENST00000474953_90_90;0.333;0.391;0.344;0.404;0.344;0.0;0.244;0.461;1.0;0.437;0.0;0.37;0.437;0.0;0.084;0.0
ENSMUST00000039538_90_90;0.837;0.944;0.831;1.0;0.831;0.415;0.686;0.355;0.437;1.0;0.348;0.813;1.0;0.412;0.036;0.136
ENSMUST00000110533_90_90;0.309;0.329;0.315;0.379;0.315;0.914;0.353;0.0;0.0;0.348;1.0;0.288;0.348;0.702;0.0;0.35
ENSMUST00000110534_90_90;0.978;0.815;1.0;0.831;1.0;0.343;0.849;0.34;0.37;0.813;0.288;1.0;0.813;0.398;0.028;0.106
ENSMUST00000110536_90_90;0.837;0.944;0.831;1.0;0.831;0.415;0.686;0.355;0.437;1.0;0.348;0.813;1.0;0.412;0.036;0.136
ENSMUST00000129488_90_90;0.401;0.395;0.41;0.448;0.41;0.835;0.46;0.0;0.0;0.412;0.702;0.398;0.412;1.0;0.0;0.268
ENSMUST00000151151_90_90;0.054;0.07;0.031;0.039;0.031;0.0;0.06;0.149;0.084;0.036;0.0;0.028;0.036;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.114;0.107;0.117;0.146;0.117;0.348;0.131;0.0;0.0;0.136;0.35;0.106;0.136;0.268;0.0;1.0
