;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.803;0.804;0.637;0.18;0.793;0.212;0.212;0.292;0.803;0.991;0.877;0.866;0.762
ENST00000265651_90_90;0.803;1.0;0.873;0.76;0.248;0.863;0.335;0.335;0.365;0.846;0.709;0.807;0.797;0.686
ENST00000448981_90_90;0.804;0.873;1.0;0.634;0.281;0.988;0.211;0.211;0.414;0.956;0.782;0.913;0.901;0.768
ENST00000526785_90_90;0.637;0.76;0.634;1.0;0.013;0.641;0.441;0.441;0.125;0.615;0.564;0.642;0.649;0.521
ENST00000529137_90_90;0.18;0.248;0.281;0.013;1.0;0.269;0.0;0.0;0.657;0.271;0.176;0.203;0.191;0.233
ENST00000530401_90_90;0.793;0.863;0.988;0.641;0.269;1.0;0.214;0.214;0.402;0.944;0.772;0.901;0.912;0.756
ENST00000531080_90_90;0.212;0.335;0.211;0.441;0.0;0.214;1.0;1.0;0.0;0.205;0.188;0.214;0.216;0.095
ENST00000532057_90_90;0.212;0.335;0.211;0.441;0.0;0.214;1.0;1.0;0.0;0.205;0.188;0.214;0.216;0.095
ENST00000532927_90_90;0.292;0.365;0.414;0.125;0.657;0.402;0.0;0.0;1.0;0.4;0.285;0.33;0.318;0.379
ENST00000534136_90_90;0.803;0.846;0.956;0.615;0.271;0.944;0.205;0.205;0.4;1.0;0.759;0.873;0.862;0.742
ENSMUST00000028603_90_90;0.991;0.709;0.782;0.564;0.176;0.772;0.188;0.188;0.285;0.759;1.0;0.857;0.846;0.752
ENSMUST00000102565_90_90;0.877;0.807;0.913;0.642;0.203;0.901;0.214;0.214;0.33;0.873;0.857;1.0;0.988;0.854
ENSMUST00000111135_90_90;0.866;0.797;0.901;0.649;0.191;0.912;0.216;0.216;0.318;0.862;0.846;0.988;1.0;0.842
ENSMUST00000111136_90_90;0.762;0.686;0.768;0.521;0.233;0.756;0.095;0.095;0.379;0.742;0.752;0.854;0.842;1.0
