;ENSCAFT00000021663_90_90;ENSCAFT00000021664_90_90;ENST00000252268_90_90;ENST00000415073_90_90;ENST00000528416_90_90;ENST00000531989_90_90;ENST00000532102_90_90;ENSMUST00000025746_90_90;ENSMUST00000118623_90_90;ENSMUST00000136983_90_90
ENSCAFT00000021663_90_90;1.0;0.965;0.965;0.529;1.0;0.297;0.271;0.546;0.965;1.0
ENSCAFT00000021664_90_90;0.965;1.0;1.0;0.511;0.965;0.286;0.262;0.527;1.0;0.965
ENST00000252268_90_90;0.965;1.0;1.0;0.511;0.965;0.286;0.262;0.527;1.0;0.965
ENST00000415073_90_90;0.529;0.511;0.511;1.0;0.529;0.192;0.472;0.356;0.511;0.529
ENST00000528416_90_90;1.0;0.965;0.965;0.529;1.0;0.297;0.271;0.546;0.965;1.0
ENST00000531989_90_90;0.297;0.286;0.286;0.192;0.297;1.0;0.0;0.067;0.286;0.297
ENST00000532102_90_90;0.271;0.262;0.262;0.472;0.271;0.0;1.0;0.238;0.262;0.271
ENSMUST00000025746_90_90;0.546;0.527;0.527;0.356;0.546;0.067;0.238;1.0;0.527;0.546
ENSMUST00000118623_90_90;0.965;1.0;1.0;0.511;0.965;0.286;0.262;0.527;1.0;0.965
ENSMUST00000136983_90_90;1.0;0.965;0.965;0.529;1.0;0.297;0.271;0.546;0.965;1.0
