;ENSCAFT00000022358_90_90;ENST00000402521_90_90;ENST00000426333_90_90;ENST00000588374_90_90;ENST00000589769_90_90;ENST00000590124_90_90;ENST00000591382_90_90;ENST00000591856_90_90;ENST00000592576_90_90;ENST00000592701_90_90;ENST00000593072_90_90;ENSMUST00000021306_90_90;ENSMUST00000107060_90_90;ENSMUST00000132543_90_90;ENSMUST00000138483_90_90;ENSMUST00000172611_90_90;ENSMUST00000173679_90_90
ENSCAFT00000022358_90_90;1.0;0.904;0.961;0.077;0.149;0.195;0.961;0.032;0.917;0.195;0.257;1.0;0.98;0.103;0.056;0.032;0.955
ENST00000402521_90_90;0.904;1.0;0.942;0.045;0.158;0.206;0.942;0.056;0.897;0.137;0.199;0.904;0.885;0.11;0.023;0.034;0.861
ENST00000426333_90_90;0.961;0.942;1.0;0.077;0.149;0.195;1.0;0.052;0.955;0.195;0.257;0.961;0.942;0.103;0.056;0.032;0.917
ENST00000588374_90_90;0.077;0.045;0.077;1.0;0.0;0.0;0.077;0.0;0.082;0.369;0.278;0.077;0.08;0.0;0.788;0.0;0.082
ENST00000589769_90_90;0.149;0.158;0.149;0.0;1.0;0.374;0.149;0.0;0.157;0.0;0.0;0.149;0.153;0.413;0.0;0.0;0.157
ENST00000590124_90_90;0.195;0.206;0.195;0.0;0.374;1.0;0.195;0.0;0.203;0.0;0.0;0.195;0.199;0.212;0.0;0.0;0.203
ENST00000591382_90_90;0.961;0.942;1.0;0.077;0.149;0.195;1.0;0.052;0.955;0.195;0.257;0.961;0.942;0.103;0.056;0.032;0.917
ENST00000591856_90_90;0.032;0.056;0.052;0.0;0.0;0.0;0.052;1.0;0.056;0.0;0.0;0.032;0.033;0.0;0.0;0.0;0.034
ENST00000592576_90_90;0.917;0.897;0.955;0.082;0.157;0.203;0.955;0.056;1.0;0.207;0.24;0.917;0.898;0.109;0.059;0.034;0.958
ENST00000592701_90_90;0.195;0.137;0.195;0.369;0.0;0.0;0.195;0.0;0.207;1.0;0.748;0.195;0.174;0.0;0.284;0.0;0.207
ENST00000593072_90_90;0.257;0.199;0.257;0.278;0.0;0.0;0.257;0.0;0.24;0.748;1.0;0.257;0.236;0.0;0.212;0.0;0.24
ENSMUST00000021306_90_90;1.0;0.904;0.961;0.077;0.149;0.195;0.961;0.032;0.917;0.195;0.257;1.0;0.98;0.103;0.056;0.032;0.955
ENSMUST00000107060_90_90;0.98;0.885;0.942;0.08;0.153;0.199;0.942;0.033;0.898;0.174;0.236;0.98;1.0;0.106;0.057;0.033;0.934
ENSMUST00000132543_90_90;0.103;0.11;0.103;0.0;0.413;0.212;0.103;0.0;0.109;0.0;0.0;0.103;0.106;1.0;0.0;0.0;0.109
ENSMUST00000138483_90_90;0.056;0.023;0.056;0.788;0.0;0.0;0.056;0.0;0.059;0.284;0.212;0.056;0.057;0.0;1.0;0.0;0.059
ENSMUST00000172611_90_90;0.032;0.034;0.032;0.0;0.0;0.0;0.032;0.0;0.034;0.0;0.0;0.032;0.033;0.0;0.0;1.0;0.034
ENSMUST00000173679_90_90;0.955;0.861;0.917;0.082;0.157;0.203;0.917;0.034;0.958;0.207;0.24;0.955;0.934;0.109;0.059;0.034;1.0
