;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript7_ENSMSIG00000000513;1.0;0.947;1.0;0.831;0.718;0.772;0.755;0.748;0.871;0.764;0.806;0.88;0.924;0.867;0.909;0.718;0.741;0.867;0.843;0.866;0.757;0.855
transcript7_ENSMUSG00000054036;0.947;1.0;0.93;0.684;0.793;0.867;0.863;0.835;0.655;0.787;0.818;0.653;0.713;0.642;0.7;0.8;0.817;0.716;0.695;0.713;0.661;0.705
transcript7_MGP-SPRETEiJ-G0021131;1.0;0.93;1.0;0.619;0.821;0.867;0.819;0.855;0.726;0.827;0.869;0.65;0.7;0.641;0.688;0.819;0.853;0.646;0.628;0.643;0.658;0.637
transcript71_MGP-SPRETEiJ-G0021131;0.831;0.684;0.619;1.0;0.725;0.964;0.916;0.952;0.968;0.79;0.632;0.865;0.885;0.856;0.874;0.963;0.77;0.973;0.956;0.956;0.973;0.965
transcript50_MGP-PahariEiJ-G0020237;0.718;0.793;0.821;0.725;1.0;0.942;0.874;0.951;0.732;0.798;0.791;0.654;0.607;0.645;0.598;1.0;1.0;0.721;0.703;0.703;0.741;0.712
transcript55_ENSMSIG00000000513;0.772;0.867;0.867;0.964;0.942;1.0;0.931;0.971;0.976;0.782;0.807;0.831;0.771;0.819;0.759;0.942;0.976;1.0;0.976;0.976;0.981;0.988
transcript64_ENSMSIG00000000513;0.755;0.863;0.819;0.916;0.874;0.931;1.0;0.903;0.906;0.84;0.87;0.783;0.762;0.771;0.75;0.874;0.906;0.952;0.928;0.928;0.913;0.94
transcript67_ENSMSIG00000000513;0.748;0.835;0.855;0.952;0.951;0.971;0.903;1.0;0.988;0.757;0.776;0.819;0.741;0.807;0.729;0.951;0.988;0.988;0.988;0.964;0.99;0.976
transcript54_ENSMUSG00000054036;0.871;0.655;0.726;0.968;0.732;0.976;0.906;0.988;1.0;0.835;0.693;0.937;0.886;0.926;0.875;0.953;0.795;1.0;0.979;0.979;1.0;0.989
transcript60_ENSMSIG00000000513;0.764;0.787;0.827;0.79;0.798;0.782;0.84;0.757;0.835;1.0;1.0;0.942;0.871;0.928;0.857;0.798;0.788;0.783;0.759;0.759;0.767;0.771
