;transcript2_ENSHGLG00100003156;transcript2_ENSPCIG00000036398;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript21_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript23_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript19_ENSPCIG00000036398;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript14_ENSHGLG00100006079
transcript2_ENSHGLG00100003156;1.0;1.0;0.865;0.865;0.987;0.987;0.885;0.942;0.741;0.987;0.885;0.885;0.845;0.719;0.613;0.415;0.951;0.951
transcript2_ENSPCIG00000036398;1.0;1.0;0.865;0.865;0.987;0.987;0.885;0.942;0.774;0.987;0.885;0.885;0.845;0.719;0.613;0.415;0.951;0.951
transcript8_ENSHGLG00100003156;0.865;0.865;1.0;1.0;0.853;0.853;0.978;0.894;0.834;0.853;0.978;0.978;0.864;0.814;0.694;0.471;0.873;0.873
transcript8_ENSHGLG00000019563;0.865;0.865;1.0;1.0;0.853;0.853;0.978;0.894;0.875;0.853;0.978;0.978;0.864;0.814;0.694;0.471;0.873;0.873
transcript16_ENSHGLG00100003156;0.987;0.987;0.853;0.853;1.0;1.0;0.873;0.954;0.729;1.0;0.873;0.873;0.833;0.706;0.6;0.403;0.936;0.936
transcript16_ENSHGLG00000019563;0.987;0.987;0.853;0.853;1.0;1.0;0.873;0.954;0.762;1.0;0.873;0.873;0.833;0.706;0.6;0.403;0.936;0.936
transcript18_ENSHGLG00100003156;0.885;0.885;0.978;0.978;0.873;0.873;1.0;0.915;0.833;0.873;1.0;1.0;0.885;0.813;0.694;0.474;0.899;0.899
transcript21_ENSHGLG00100003156;0.942;0.942;0.894;0.894;0.954;0.954;0.915;1.0;0.764;0.954;0.915;0.915;0.811;0.742;0.631;0.426;0.966;0.966
transcript22_ENSHGLG00100003156;0.741;0.774;0.834;0.875;0.729;0.762;0.833;0.764;1.0;0.729;0.873;0.873;0.881;0.865;0.733;0.514;0.76;0.76
transcript23_ENSHGLG00100003156;0.987;0.987;0.853;0.853;1.0;1.0;0.873;0.954;0.729;1.0;0.873;0.873;0.833;0.706;0.6;0.403;0.936;0.936
transcript13_ENSHGLG00000019563;0.885;0.885;0.978;0.978;0.873;0.873;1.0;0.915;0.873;0.873;1.0;1.0;0.885;0.813;0.694;0.474;0.899;0.899
transcript19_ENSHGLG00000019563;0.885;0.885;0.978;0.978;0.873;0.873;1.0;0.915;0.873;0.873;1.0;1.0;0.885;0.813;0.694;0.474;0.899;0.899
transcript19_ENSPCIG00000036398;0.845;0.845;0.864;0.864;0.833;0.833;0.885;0.811;0.881;0.833;0.885;0.885;1.0;0.818;0.709;0.476;0.786;0.786
transcript26_ENSHGLG00000019563;0.719;0.719;0.814;0.814;0.706;0.706;0.813;0.742;0.865;0.706;0.813;0.813;0.818;1.0;0.848;0.566;0.73;0.73
transcript27_ENSHGLG00000019563;0.613;0.613;0.694;0.694;0.6;0.6;0.694;0.631;0.733;0.6;0.694;0.694;0.709;0.848;1.0;0.653;0.637;0.637
transcript28_ENSHGLG00000019563;0.415;0.415;0.471;0.471;0.403;0.403;0.474;0.426;0.514;0.403;0.474;0.474;0.476;0.566;0.653;1.0;0.464;0.464
transcript7_ENSHGLG00100006079;0.951;0.951;0.873;0.873;0.936;0.936;0.899;0.966;0.76;0.936;0.899;0.899;0.786;0.73;0.637;0.464;1.0;1.0
transcript14_ENSHGLG00100006079;0.951;0.951;0.873;0.873;0.936;0.936;0.899;0.966;0.76;0.936;0.899;0.899;0.786;0.73;0.637;0.464;1.0;1.0
