;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript31_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript7_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;1.0;0.846;1.0;0.769;0.923;0.923;0.923;1.0;1.0;0.846
transcript37_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.917;0.917;0.917;0.917;1.0;1.0;0.917
transcript37_ENSCGRG00001010245;0.846;1.0;1.0;0.857;0.917;0.786;0.786;0.786;0.857;0.857;0.846
transcript31_ENSCGRG00001010245;1.0;1.0;0.857;1.0;0.786;0.929;0.929;0.929;1.0;1.0;0.857
transcript49_ENSCGRG00001010245;0.769;0.917;0.917;0.786;1.0;0.714;0.714;0.714;0.786;0.786;0.769
transcript51_ENSCGRG00001010245;0.923;0.917;0.786;0.929;0.714;1.0;0.857;0.857;0.929;0.929;0.786
transcript50_ENSCGRG00001010245;0.923;0.917;0.786;0.929;0.714;0.857;1.0;0.857;0.929;0.929;0.786
transcript42_ENSPEMG00000024651;0.923;0.917;0.786;0.929;0.714;0.857;0.857;1.0;0.929;0.929;0.786
transcript43_ENSPEMG00000024651;1.0;1.0;0.857;1.0;0.786;0.929;0.929;0.929;1.0;1.0;0.857
transcript31_ENSPEMG00000024651;1.0;1.0;0.857;1.0;0.786;0.929;0.929;0.929;1.0;1.0;0.857
transcript7_ENSPEMG00000024651;0.846;0.917;0.846;0.857;0.769;0.786;0.786;0.786;0.857;0.857;1.0
