;ENSCAFT00000011939_90_90;ENST00000288986_90_90;ENST00000467911_90_90;ENST00000469404_90_90;ENST00000476286_90_90;ENST00000481752_90_90;ENST00000485096_90_90;ENST00000488930_90_90;ENST00000491539_90_90;ENST00000496489_90_90;ENSMUST00000112874_90_90;ENSMUST00000116522_90_90;ENSMUST00000186591_90_90;ENSMUST00000188670_90_90
ENSCAFT00000011939_90_90;1.0;1.0;0.462;0.846;0.154;1.0;0.231;0.615;0.308;0.385;0.846;1.0;0.538;0.462
ENST00000288986_90_90;1.0;1.0;0.438;0.75;0.2;1.0;0.333;0.667;0.4;0.4;0.75;1.0;0.6;0.533
ENST00000467911_90_90;0.462;0.438;1.0;0.615;0.0;0.438;0.182;0.5;0.273;0.556;0.615;0.438;0.308;0.333
ENST00000469404_90_90;0.846;0.75;0.615;1.0;0.0;0.75;0.125;0.438;0.188;0.357;1.0;0.75;0.375;0.312
ENST00000476286_90_90;0.154;0.2;0.0;0.0;1.0;0.2;0.6;0.3;0.5;0.125;0.0;0.2;0.333;0.375
ENST00000481752_90_90;1.0;1.0;0.438;0.75;0.2;1.0;0.333;0.667;0.4;0.4;0.75;1.0;0.6;0.533
ENST00000485096_90_90;0.231;0.333;0.182;0.125;0.6;0.333;1.0;0.5;0.833;0.375;0.125;0.333;0.556;0.625
ENST00000488930_90_90;0.615;0.667;0.5;0.438;0.3;0.667;0.5;1.0;0.6;0.6;0.438;0.667;0.583;0.636
ENST00000491539_90_90;0.308;0.4;0.273;0.188;0.5;0.4;0.833;0.6;1.0;0.5;0.188;0.4;0.667;0.75
ENST00000496489_90_90;0.385;0.4;0.556;0.357;0.125;0.4;0.375;0.6;0.5;1.0;0.357;0.4;0.5;0.556
ENSMUST00000112874_90_90;0.846;0.75;0.615;1.0;0.0;0.75;0.125;0.438;0.188;0.357;1.0;0.75;0.375;0.312
ENSMUST00000116522_90_90;1.0;1.0;0.438;0.75;0.2;1.0;0.333;0.667;0.4;0.4;0.75;1.0;0.6;0.533
ENSMUST00000186591_90_90;0.538;0.6;0.308;0.375;0.333;0.6;0.556;0.583;0.667;0.5;0.375;0.6;1.0;0.889
ENSMUST00000188670_90_90;0.462;0.533;0.333;0.312;0.375;0.533;0.625;0.636;0.75;0.556;0.312;0.533;0.889;1.0
