;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.957;1.0;1.0;1.0;0.957;0.514;0.957;0.262;0.62;0.345;0.423;0.143;0.594;0.553;0.454;0.928;0.972;0.076;0.248;0.05;0.277;0.445;0.069;0.342;0.972
ENST00000166534_90_90;0.957;1.0;0.917;0.917;0.917;1.0;0.513;1.0;0.262;0.619;0.345;0.422;0.143;0.534;0.553;0.453;0.95;0.869;0.073;0.241;0.047;0.268;0.43;0.069;0.331;0.869
ENST00000360568_90_90;1.0;0.917;1.0;1.0;1.0;0.917;0.514;0.917;0.262;0.62;0.345;0.423;0.143;0.534;0.553;0.454;0.869;0.95;0.073;0.241;0.047;0.269;0.43;0.069;0.332;0.95
ENST00000379086_90_90;1.0;0.917;1.0;1.0;1.0;0.917;0.514;0.917;0.262;0.62;0.345;0.423;0.143;0.534;0.553;0.454;0.869;0.95;0.073;0.241;0.047;0.269;0.43;0.069;0.332;0.95
ENST00000379100_90_90;1.0;0.917;1.0;1.0;1.0;0.917;0.514;0.917;0.262;0.62;0.345;0.423;0.143;0.534;0.553;0.454;0.869;0.95;0.073;0.241;0.047;0.269;0.43;0.069;0.332;0.95
ENST00000379104_90_90;0.957;1.0;0.917;0.917;0.917;1.0;0.513;1.0;0.262;0.619;0.345;0.422;0.143;0.534;0.553;0.453;0.95;0.869;0.073;0.241;0.047;0.268;0.43;0.069;0.331;0.869
ENST00000395164_90_90;0.514;0.513;0.514;0.514;0.514;0.513;1.0;0.513;0.536;0.827;0.675;0.838;0.284;0.73;0.924;0.892;0.465;0.465;0.149;0.51;0.103;0.554;0.857;0.131;0.668;0.465
ENST00000401867_90_90;0.957;1.0;0.917;0.917;0.917;1.0;0.513;1.0;0.262;0.619;0.345;0.422;0.143;0.534;0.553;0.453;0.95;0.869;0.073;0.241;0.047;0.268;0.43;0.069;0.331;0.869
ENST00000416053_90_90;0.262;0.262;0.262;0.262;0.262;0.262;0.536;0.262;1.0;0.444;0.793;0.638;0.534;0.39;0.496;0.6;0.212;0.213;0.278;0.774;0.173;0.725;0.495;0.265;0.619;0.213
ENST00000417528_90_90;0.62;0.619;0.62;0.62;0.62;0.619;0.827;0.619;0.444;1.0;0.558;0.693;0.235;0.837;0.895;0.737;0.57;0.571;0.123;0.422;0.087;0.459;0.709;0.108;0.553;0.571
ENST00000418055_90_90;0.345;0.345;0.345;0.345;0.345;0.345;0.675;0.345;0.793;0.558;1.0;0.807;0.421;0.493;0.624;0.758;0.296;0.296;0.22;0.752;0.146;0.817;0.643;0.198;0.805;0.296
ENST00000428369_90_90;0.423;0.422;0.423;0.423;0.423;0.422;0.838;0.422;0.638;0.693;0.807;1.0;0.339;0.611;0.774;0.939;0.373;0.374;0.177;0.605;0.119;0.658;0.816;0.159;0.795;0.374
ENST00000428841_90_90;0.143;0.143;0.143;0.143;0.143;0.143;0.284;0.143;0.534;0.235;0.421;0.339;1.0;0.208;0.263;0.319;0.118;0.118;0.466;0.419;0.272;0.391;0.266;0.199;0.333;0.118
ENST00000431054_90_90;0.594;0.534;0.534;0.534;0.534;0.534;0.73;0.534;0.39;0.837;0.493;0.611;0.208;1.0;0.79;0.651;0.552;0.553;0.155;0.45;0.157;0.487;0.735;0.103;0.581;0.553
ENST00000439698_90_90;0.553;0.553;0.553;0.553;0.553;0.553;0.924;0.553;0.496;0.895;0.624;0.774;0.263;0.79;1.0;0.824;0.504;0.504;0.138;0.47;0.096;0.512;0.791;0.121;0.617;0.504
ENST00000453286_90_90;0.454;0.453;0.454;0.454;0.454;0.453;0.892;0.453;0.6;0.737;0.758;0.939;0.319;0.651;0.824;1.0;0.404;0.404;0.167;0.57;0.113;0.619;0.874;0.149;0.748;0.404
ENSMUST00000019050_90_90;0.928;0.95;0.869;0.869;0.869;0.95;0.465;0.95;0.212;0.57;0.296;0.373;0.118;0.552;0.504;0.404;1.0;0.919;0.068;0.305;0.068;0.332;0.489;0.084;0.392;0.919
ENSMUST00000093107_90_90;0.972;0.869;0.95;0.95;0.95;0.869;0.465;0.869;0.213;0.571;0.296;0.374;0.118;0.553;0.504;0.404;0.919;1.0;0.069;0.306;0.068;0.333;0.489;0.084;0.393;1.0
ENSMUST00000125132_90_90;0.076;0.073;0.073;0.073;0.073;0.073;0.149;0.073;0.278;0.123;0.22;0.177;0.466;0.155;0.138;0.167;0.068;0.069;1.0;0.212;0.392;0.201;0.145;0.0;0.175;0.069
ENSMUST00000126840_90_90;0.248;0.241;0.241;0.241;0.241;0.241;0.51;0.241;0.774;0.422;0.752;0.605;0.419;0.45;0.47;0.57;0.305;0.306;0.212;1.0;0.203;0.933;0.643;0.241;0.798;0.306
ENSMUST00000129499_90_90;0.05;0.047;0.047;0.047;0.047;0.047;0.103;0.047;0.173;0.087;0.146;0.119;0.272;0.157;0.096;0.113;0.068;0.068;0.392;0.203;1.0;0.192;0.14;0.0;0.168;0.068
ENSMUST00000135653_90_90;0.277;0.268;0.269;0.269;0.269;0.268;0.554;0.268;0.725;0.459;0.817;0.658;0.391;0.487;0.512;0.619;0.332;0.333;0.201;0.933;0.192;1.0;0.688;0.225;0.854;0.333
ENSMUST00000138477_90_90;0.445;0.43;0.43;0.43;0.43;0.43;0.857;0.43;0.495;0.709;0.643;0.816;0.266;0.735;0.791;0.874;0.489;0.489;0.145;0.643;0.14;0.688;1.0;0.158;0.806;0.489
ENSMUST00000141258_90_90;0.069;0.069;0.069;0.069;0.069;0.069;0.131;0.069;0.265;0.108;0.198;0.159;0.199;0.103;0.121;0.149;0.084;0.084;0.0;0.241;0.0;0.225;0.158;1.0;0.194;0.084
ENSMUST00000151218_90_90;0.342;0.331;0.332;0.332;0.332;0.331;0.668;0.331;0.619;0.553;0.805;0.795;0.333;0.581;0.617;0.748;0.392;0.393;0.175;0.798;0.168;0.854;0.806;0.194;1.0;0.393
ENSMUST00000174616_90_90;0.972;0.869;0.95;0.95;0.95;0.869;0.465;0.869;0.213;0.571;0.296;0.374;0.118;0.553;0.504;0.404;0.919;1.0;0.069;0.306;0.068;0.333;0.489;0.084;0.393;1.0
