;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.947;0.921;0.816;0.947;0.263;0.395;0.474;0.605;0.976;0.585;0.561;0.976;0.561;0.049;0.049;0.171;0.146;0.171
ENST00000290246_90_90;0.947;1.0;0.983;0.914;1.0;0.131;0.259;0.672;0.746;0.945;0.345;0.327;0.945;0.327;0.038;0.038;0.132;0.113;0.055
ENST00000352077_90_90;0.921;0.983;1.0;0.897;0.983;0.133;0.241;0.684;0.759;0.927;0.327;0.309;0.927;0.309;0.038;0.038;0.135;0.115;0.056
ENST00000372176_90_90;0.816;0.914;0.897;1.0;0.914;0.143;0.172;0.736;0.815;0.855;0.255;0.236;0.855;0.236;0.0;0.0;0.038;0.125;0.06
ENST00000396391_90_90;0.947;1.0;0.983;0.914;1.0;0.131;0.259;0.672;0.746;0.945;0.345;0.327;0.945;0.327;0.038;0.038;0.132;0.113;0.055
ENST00000425546_90_90;0.263;0.131;0.133;0.143;0.131;1.0;0.238;0.02;0.098;0.164;0.476;0.429;0.164;0.429;0.0;0.0;0.0;0.231;0.364
ENST00000450812_90_90;0.395;0.259;0.241;0.172;0.259;0.238;1.0;0.0;0.034;0.255;0.714;0.667;0.255;0.667;0.133;0.133;0.467;0.4;0.0
ENST00000452857_90_90;0.474;0.672;0.684;0.736;0.672;0.02;0.0;1.0;0.826;0.63;0.038;0.038;0.63;0.038;0.0;0.0;0.0;0.0;0.054
ENST00000467800_90_90;0.605;0.746;0.759;0.815;0.746;0.098;0.034;0.826;1.0;0.741;0.109;0.111;0.741;0.111;0.0;0.0;0.0;0.022;0.071
ENSMUST00000071699_90_90;0.976;0.945;0.927;0.855;0.945;0.164;0.255;0.63;0.741;1.0;0.353;0.364;1.0;0.364;0.031;0.031;0.108;0.108;0.106
ENSMUST00000074046_90_90;0.585;0.345;0.327;0.255;0.345;0.476;0.714;0.038;0.109;0.353;1.0;0.926;0.353;0.926;0.074;0.074;0.259;0.259;0.296
ENSMUST00000094329_90_90;0.561;0.327;0.309;0.236;0.327;0.429;0.667;0.038;0.111;0.364;0.926;1.0;0.364;1.0;0.08;0.08;0.28;0.28;0.32
ENSMUST00000103088_90_90;0.976;0.945;0.927;0.855;0.945;0.164;0.255;0.63;0.741;1.0;0.353;0.364;1.0;0.364;0.031;0.031;0.108;0.108;0.106
ENSMUST00000103091_90_90;0.561;0.327;0.309;0.236;0.327;0.429;0.667;0.038;0.111;0.364;0.926;1.0;0.364;1.0;0.08;0.08;0.28;0.28;0.32
ENSMUST00000126318_90_90;0.049;0.038;0.038;0.0;0.038;0.0;0.133;0.0;0.0;0.031;0.074;0.08;0.031;0.08;1.0;0.333;0.286;0.0;0.0
ENSMUST00000128690_90_90;0.049;0.038;0.038;0.0;0.038;0.0;0.133;0.0;0.0;0.031;0.074;0.08;0.031;0.08;0.333;1.0;0.286;0.0;0.0
ENSMUST00000133205_90_90;0.171;0.132;0.135;0.038;0.132;0.0;0.467;0.0;0.0;0.108;0.259;0.28;0.108;0.28;0.286;0.286;1.0;0.077;0.0
ENSMUST00000137188_90_90;0.146;0.113;0.115;0.125;0.113;0.231;0.4;0.0;0.022;0.108;0.259;0.28;0.108;0.28;0.0;0.0;0.077;1.0;0.0
ENSMUST00000148643_90_90;0.171;0.055;0.056;0.06;0.055;0.364;0.0;0.054;0.071;0.106;0.296;0.32;0.106;0.32;0.0;0.0;0.0;0.0;1.0
